Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02AB023,CopyPaste,HG,2024-01-14T23:45:00,2024-01-24T13:35:00,2024-01-25T12:04:39,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,Offset,HG,2024-01-10T16:40:00,2024-01-24T15:35:00,2024-01-25T12:05:31,-5,SRC: Offset of -0.011m applied back to last visit due to incorrect logger reset. ,Offset:-0.011,Normal
02AB023,DeleteRegion,HG,2024-01-10T16:25:00,2024-01-10T16:35:00,2024-01-12T17:55:18,-5,DISREGARD: Onsite maintenance,,Normal
02AB023,DeleteRegion,HG,2023-12-17T05:45:00,2023-12-17T05:45:00,2023-12-19T19:24:03,-5,DISREGARD: telemetry spike,,Normal
02AB023,CopyPaste,HG,2023-12-17T03:45:00,2023-12-25T00:10:00,2024-01-12T17:54:09,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap Fill & data spikesOverride: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-09-27T07:00:00,2023-11-14T21:20:00,2024-01-12T17:49:36,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap Fill & data spikesOverride: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-09-27T06:00:00,2023-09-27T07:05:00,2024-01-12T17:51:10,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,Drift,HG,2023-09-26T18:25:00,2024-01-10T16:20:00,2024-01-12T17:56:43,-5,SRC: Drift of -0.009m applied visit to visit (CORRECTION WAS REVISED TO -0.014m MDS 2024-02-08),"DriftPoints:(Offset:0,Time:2023-09-26T18:25:00Z);(Offset:-0.014,Time:2024-01-10T16:20:00Z)",Normal
02AB023,CopyPaste,HG,2023-09-26T18:25:00,2023-09-26T18:55:00,2024-01-12T17:47:42,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-09-26T18:08:39,2023-09-26T18:25:45,2023-09-27T13:51:16,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-07-13T17:35:00,2023-09-26T18:25:00,2023-09-27T13:52:23,-5,"COPY PASTE:FOR DATA GAPS, MISSING AND ERRONEOUS DATA POINTSOverride: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,Drift,HG,2023-07-13T17:20:00,2023-09-26T18:40:00,2023-09-27T13:54:03,-5,SRC APPLIED VISIT TO VISIT: -0.005m,"DriftPoints:(Offset:0,Time:2023-07-13T17:20:00Z);(Offset:-0.005,Time:2023-09-26T18:40:00Z)",Normal
02AB023,CopyPaste,HG,2023-07-05T13:05:00,2023-07-05T14:10:00,2023-07-14T18:32:52,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-07-05T03:05:00,2023-07-05T04:10:00,2023-07-24T12:36:21,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-07-05T00:05:00,2023-07-05T01:10:00,2023-07-24T12:35:51,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-07-04T21:05:00,2023-07-04T23:10:00,2023-07-24T12:34:28,-5,"COPY PASTE - Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-06-14T22:05:00,2023-06-14T23:05:00,2023-07-14T18:40:23,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,DeleteRegion,HG,2023-06-03T12:50:00,2023-06-03T12:50:00,2023-07-14T18:33:50,-5,DISREGARD: spike,,Normal
02AB023,CopyPaste,HG,2023-05-15T17:05:00,2023-05-15T17:20:00,2023-07-14T18:34:31,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-05-13T03:05:00,2023-05-13T07:50:00,2023-07-14T18:35:47,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,CopyPaste,HG,2023-05-11T20:05:00,2023-05-11T22:10:00,2023-07-14T18:35:05,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,Drift,HG,2023-05-08T17:30:00,2023-07-13T17:15:00,2023-07-14T18:30:15,-5,SRC APPLIED VISIT TO VISIT: -0.033m,"DriftPoints:(Offset:0,Time:2023-05-08T17:30:00Z);(Offset:-0.033,Time:2023-07-13T17:15:00Z)",Normal
02AB023,Drift,HG,2023-05-02T17:35:00,2023-05-08T17:25:00,2023-05-08T18:40:01,-5,SRC APPLIED VISIT TO VISIT: +0.012m,"DriftPoints:(Offset:0,Time:2023-05-02T17:35:00Z);(Offset:0.012,Time:2023-05-08T17:25:00Z)",Normal
02AB023,Drift,HG,2023-04-18T15:56:00,2023-05-02T17:30:00,2023-05-02T20:02:11,-5,SRC APPLIED VISIT TO VISIT: +0.008m,"DriftPoints:(Offset:0,Time:2023-04-18T15:56:00Z);(Offset:0.008,Time:2023-05-02T17:30:00Z)",Normal
02AB023,CopyPaste,QR,2023-04-15T17:15:00,2023-04-15T20:55:00,2023-07-11T16:08:58,-5,ICE - Override: Log Linear‌Q(t) = 43.75933964711672e^(0.13621563080362056t)‌,,Normal
02AB023,CopyPaste,QR,2023-04-14T17:15:00,2023-04-14T23:25:00,2023-07-11T16:13:01,-5,ICE - Override: Log Linear‌Q(t) = 36.498246864469884e^(0.5005711692318323t)‌,,Normal
02AB023,CopyPaste,QR,2023-04-13T23:45:00,2023-04-14T04:35:00,2023-07-11T16:15:09,-5,ICE - Override: Log Linear‌Q(t) = 28.182614497283257e^(0.5623310465259928t)‌,,Normal
02AB023,CopyPaste,QR,2023-04-13T17:30:00,2023-04-13T17:55:00,2023-07-11T16:35:14,-5,ICE - Override: Log Linear‌Q(t) = 25.43654543878694e^(0.18723219193067742t)‌,,Normal
02AB023,CopyPaste,HG,2023-03-23T13:05:00,2023-03-23T14:10:00,2023-10-20T18:43:26,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,Drift,HG,2023-03-16T16:25:00,2023-04-18T16:00:00,2023-04-18T20:21:08,-5,SRC APPLIED VISIT TO VISIT: +0.031m,"DriftPoints:(Offset:0,Time:2023-03-16T16:25:00Z);(Offset:0.031,Time:2023-04-18T16:00:00Z)",Normal
02AB023,CopyPaste,HG,2023-03-05T18:05:00,2023-03-05T19:10:00,2023-10-20T18:42:14,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02AB023, time shift: 00:00 minutes.‌",,PreProcessing
02AB023,Drift,HG,2023-02-16T18:05:00,2023-03-16T16:20:00,2023-03-20T13:15:20,-5,SRC APPLIED VISIT TO VISIT: -0.006m,"DriftPoints:(Offset:0,Time:2023-02-16T18:05:00Z);(Offset:-0.006,Time:2023-03-16T16:20:00Z)",Normal
02AB023,CopyPaste,QR,2023-01-19T13:25:00,2023-03-16T17:20:00,2023-07-11T17:25:57,-5,ICE - Override: Log Linear‌Q(t) = 0.26123308167696385e^(0.012865422981777466t)‌,,Normal
