Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02CG003,2024-06-05T18:25:30,-5,Discharge/Débit,,7.94,0.442,11.0,-0.0115,-0.072399996,0.0168,"Measurement condition : Vegetation; Mostly Cloudy , Light Rain , Light Wind Swirling/Variable","ALGAE GROWTH ON LIP OF CULVERT, ROCKS FILLING IN CORRUGATIONS INSIDE CULVERT","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",4.2,1.28,0.344,23.0,11.8,Provisional/Provisoire,5.99
02CG003,2024-06-05T17:45:00,-5,Stage/Niveau d'eau,7.939,,,,,,,,,HG: 7.945 Purged  (PU),,,,,,Provisional/Provisoire,
02CG003,2024-04-16T19:55:30,-5,Discharge/Débit,,8.055,0.847,11.0,-0.0138,-0.066300005,-0.066300005,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ MMT TAKEN JUST UPSTREAM OF CULVERT Mid-section",4.5,2.21,0.383,13.8,9.9,Provisional/Provisoire,6.5
02CG003,2024-04-16T19:22:00,-5,Stage/Niveau d'eau,8.055,,,,,,,,,HG: 8.049 Purged  (PU),,,,,,Provisional/Provisoire,
02CG003,2024-01-10T19:26:30,-5,Discharge/Débit,,7.955,0.532,11.0,0.00255,0.015800001,0.015800001,"Measurement condition : Clear; Mostly Cloudy , Light Rain , Moderate Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",4.35,1.64,0.325,-4.0,7.6,Final/Finales,5.59
02CG003,2024-01-10T18:42:00,-5,Stage/Niveau d'eau,7.953,,,,,,,,,HG: 7.954 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02CG003,2023-09-25T20:17:30,-5,Discharge/Débit,,7.921,0.426,11.0,0.00199,0.0135,0.0135,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",,"MMT TAKEN JUST UPSTREAM OF CULVERT. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",5.0,1.86,0.23,20.4,13.2,Final/Finales,10.4
02CG003,2023-09-25T19:50:00,-5,Stage/Niveau d'eau,7.921,,,,,,,,,HG: 7.921 No Reset (NR),,,,,,Final/Finales,
02CG003,2023-07-10T18:44:00,-5,Discharge/Débit,,7.93,0.45,11.0,-0.001,0.008,0.008,"Measurement condition : Debris; Mostly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",A FEW BRANCHES CAUGHT ON LIP OF CULVERT. DEBRIS REMOVED AFTER 1ST MMT AT 13:16,MANUALLY ENTERED BY RFT - MAF,2.8,0.606,0.742,25.0,12.2,Final/Finales,5.47
02CG003,2023-07-10T17:54:30,-5,Discharge/Débit,,7.965,0.425,11.0,0.042,-0.2365,-0.2365,"Measurement condition : Debris; Mostly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",A FEW BRANCHES CAUGHT ON LIP OF CULVERT. DEBRIS REMOVED AFTER 1ST MMT AT 13:16,"CONTROL CLEAR MMT (M2) CONDUCTED AFTER DEBRIS REMOVED AND STAGE SETTLED @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",2.8,0.59,0.72,25.0,12.2,Final/Finales,5.47
