Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02EC009,CopyPaste,QR,2024-01-19T18:25:00,2024-01-20T12:30:00,2024-02-08T15:45:53,-5,ICEOverride: Log Linear‌Q(t) = 0.9596245059720887e^(-0.11186453988470411t)‌,,Normal
02EC009,CopyPaste,QR,2024-01-17T03:55:00,2024-01-17T13:25:00,2024-02-08T15:48:52,-5,ICEOverride: Log Linear‌Q(t) = 1.0768107797055142e^(-0.431924772148101t)‌,,Normal
02EC009,Drift,QR,2024-01-16T21:55:00,2024-01-17T13:25:00,2024-02-08T15:50:16,-5,ICE,"DriftPoints:(Offset:0,Time:2024-01-16T21:55:00Z);(Offset:-0.01368112615578454,Time:2024-01-16T22:25:00Z);(Offset:-0.008857573176117128,Time:2024-01-17T01:40:00Z);(Offset:0,Time:2024-01-17T01:50:00Z);(Offset:-0.010974920800459254,Time:2024-01-17T02:45:00Z);(Offset:-0.012680049633076118,Time:2024-01-17T11:10:00Z);(Offset:0,Time:2024-01-17T13:25:00Z)",Normal
02EC009,CopyPaste,QR,2024-01-15T15:50:00,2024-01-15T16:15:00,2024-02-08T16:01:35,-5,ICEOverride: Log Linear‌Q(t) = 1.6022164042521374e^(3.953546235031149t)‌,,Normal
02EC009,Drift,QR,2024-01-14T22:20:00,2024-01-15T15:50:00,2024-02-08T16:03:36,-5,ICE,"DriftPoints:(Offset:0,Time:2024-01-14T22:20:00Z);(Offset:-0.5767320094921691,Time:2024-01-15T02:50:00Z);(Offset:-0.45673870134080574,Time:2024-01-15T04:15:00Z);(Offset:0,Time:2024-01-15T05:55:00Z);(Offset:0,Time:2024-01-15T09:30:00Z);(Offset:-0.1770236337840958,Time:2024-01-15T15:00:00Z);(Offset:0,Time:2024-01-15T15:50:00Z)",Normal
02EC009,Drift,QR,2024-01-14T22:15:00,2024-01-15T17:15:00,2024-02-08T15:57:25,-5,ICE,"DriftPoints:(Offset:0,Time:2024-01-14T22:15:00Z);(Offset:-1.7899936935406005,Time:2024-01-15T15:45:00Z);(Offset:-0.46304849035442075,Time:2024-01-15T16:15:00Z);(Offset:-0.2758080679491206,Time:2024-01-15T17:10:00Z);(Offset:0,Time:2024-01-15T17:15:00Z)",Normal
02EC009,CopyPaste,HG,2023-08-28T05:07:17,2023-09-08T13:15:37,2023-09-08T16:42:30,-5,"COPY PASTE: DUE TO TRANSMISSION ISSUES WITH BELL - Override: Copy & Paste‌Source Data Set: Stage.Logger@02EC009, time shift: 00:00 minutes.‌",,PreProcessing
02EC009,DeleteRegion,HG,2023-05-08T21:15:00,2023-05-08T21:20:00,2023-05-09T15:29:36,-5,DISREGARD: DUE TO ON SITE ACTIVITIES,,Normal
02EC009,CopyPaste,QR,2023-03-19T22:35:00,2023-03-20T11:50:00,2023-07-26T19:13:06,-5,ICEOverride: Log Linear‌Q(t) = 3.1174416494500745e^(-0.6284577513000267t)‌,,Normal
02EC009,CopyPaste,QR,2023-03-18T21:45:00,2023-03-19T09:30:00,2023-07-26T19:12:12,-5,ICEOverride: Log Linear‌Q(t) = 5.317486910231981e^(-0.7804052246631061t)‌,,Normal
02EC009,Drift,QR,2023-03-04T16:35:00,2023-03-08T11:45:00,2023-07-26T19:16:40,-5,ICE,"DriftPoints:(Offset:0,Time:2023-03-04T16:35:00Z);(Offset:-0.43304650906321474,Time:2023-03-04T22:40:00Z);(Offset:0,Time:2023-03-08T11:45:00Z)",Normal
02EC009,CopyPaste,QR,2023-02-27T21:40:00,2023-02-28T06:55:00,2023-07-26T17:46:56,-5,ICEOverride: Log Linear‌Q(t) = 1.2286834627990073e^(-0.5705778789049697t)‌,,Normal
