Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02EC018,13.02,"13.000 but extended bottom end, top end graded estimated",LogarithmicTable,Provisional/Provisoire,(0.782);
02EC018,13.001,13.000 but extended bottom end,LogarithmicTable,Final/Finales,(0.782);
02EC018,13,same as curve 12 but high end has been modified to better reflect historic measurements,LogarithmicTable,Final/Finales,(0.782);
02EC018,12,"same as curve 11, extended down to 0.990",LogarithmicTable,Final/Finales,(0.782);
02EC018,11,drawn to 2012 mmts,LogarithmicTable,Final/Finales,(0.782);
02EC018,10.000,drawn to 2011 mmts,LogarithmicTable,Final/Finales,(0.78);
02EC018,9.000,,LinearTable,Final/Finales,
02EC018,8.000,,LinearTable,Final/Finales,
02EC018,7.000-SC3,,LinearTable,Final/Finales,
02EC018,7.000-SC2,,LinearTable,Final/Finales,
02EC018,7.000,,LinearTable,Final/Finales,
02EC018,7.000-SC1,,LinearTable,Final/Finales,
02EC018,6.000,,LinearTable,Final/Finales,
02EC018,5.000,,LinearTable,Final/Finales,
02EC018,4.000,,LinearTable,Final/Finales,
