STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02EC018,H,2002,H,8.0,5,31,15,0,EST,2.450000047683716, ,Maximum
02EC018,H,2002,L,8.0,7,12,21,41,EST,0.9610000252723694, ,Minimum
02EC018,H,2003,H,8.0,3,24,0,25,EST,2.859999895095825, ,Maximum
02EC018,H,2003,L,8.0,7,18,23,0,EST,0.9639999866485596, ,Minimum
02EC018,H,2004,H,8.0,3,7,17,5,EST,2.752000093460083, ,Maximum
02EC018,H,2004,L,8.0,8,26,4,25,EST,1.0219999551773071, ,Minimum
02EC018,H,2005,H,8.0,4,4,22,10,EST,2.427999973297119,,Maximum
02EC018,H,2005,L,8.0,7,15,1,5,EST,0.9710000157356262,,Minimum
02EC018,H,2006,H,8.0,3,12,13,0,EST,2.490999937057495,,Maximum
02EC018,H,2006,L,8.0,6,26,23,15,EST,1.0160000324249268,,Minimum
02EC018,H,2007,H,8.0,3,17,18,46,EST,2.2880001068115234,,Maximum
02EC018,H,2007,L,8.0,8,15,14,0,EST,0.9710000157356262,,Minimum
02EC018,H,2008,H,8.0,4,3,2,50,EST,3.025000095367432,,Maximum
02EC018,H,2008,L,8.0,7,20,1,1,EST,1.0369999408721924,,Minimum
02EC018,H,2009,H,8.0,2,14,5,5,EST,3.118000030517578,,Maximum
02EC018,H,2009,L,8.0,9,20,22,10,EST,1.1369999647140503,,Minimum
02EC018,H,2010,H,8.0,3,15,19,45,EST,2.815999984741211,,Maximum
02EC018,H,2010,L,8.0,7,9,3,0,EST,1.055999994277954,,Minimum
02EC018,H,2011,H,8.0,3,14,0,15,EST,2.427999973297119,,Maximum
02EC018,H,2011,L,8.0,7,24,3,40,EST,1.0080000162124634,,Minimum
02EC018,H,2012,H,8.0,8,13,0,50,EST,2.0420000553131104,,Maximum
02EC018,H,2012,L,8.0,7,22,17,20,EST,1.0080000162124634,,Minimum
