Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02FE010,2024-05-14T18:51:00,-5,Stage/Niveau d'eau,3.554,,,,,,,,,GC: 0.000 Reset (RS),,,,,,Provisional/Provisoire,
02FE010,2024-05-14T18:40:00,-5,Stage/Niveau d'eau,3.554,,,,,,,,,GC: 0.000 HG: 3.574 Purged  (PU),,,,,,Provisional/Provisoire,
02FE010,2024-02-19T15:41:00,-5,Stage/Niveau d'eau,3.781,,,,,,,,,GC: 0.000 HG: 3.782 No Reset (NR),,,,,,Provisional/Provisoire,
02FE010,2024-02-19T14:36:00,-5,Stage/Niveau d'eau,3.802,,,,,,,,,GC: 0.000 HG: 2.864,,,,,,Provisional/Provisoire,
02FE010,2024-01-05T15:20:00,-5,Stage/Niveau d'eau,3.683,,,,,,,,,GC: 0.000 HG: 3.681,,,,,,Final/Finales,
02FE010,2024-01-05T15:05:00,-5,Stage/Niveau d'eau,3.683,,,,,,,,,GC: 0.000 HG: 3.681,,,,,,Final/Finales,
02FE010,2023-11-10T14:36:00,-5,Stage/Niveau d'eau,4.678,,,,,,,,,GC: 0.000 HG: 4.680 No Reset (NR),,,,,,Final/Finales,
02FE010,2023-11-10T14:33:00,-5,Stage/Niveau d'eau,4.678,,,,,,,,,GC: 0.000 HG: 4.688,,,,,,Final/Finales,
02FE010,2023-09-14T15:07:00,-5,Stage/Niveau d'eau,3.335,,,,,,,,,GC: 0.000 HG: 3.332,,,,,,Final/Finales,
02FE010,2023-09-14T15:02:00,-5,Stage/Niveau d'eau,3.335,,,,,,,,,GC: 0.000 HG: 3.333,,,,,,Final/Finales,
02FE010,2023-08-04T12:18:00,-5,Stage/Niveau d'eau,3.224,,,,,,,,,GC: 0.000 HG: 3.212 Purged  (PU),,,,,,Final/Finales,
02FE010,2023-05-11T13:07:00,-5,Stage/Niveau d'eau,3.527,,,,,,,,,GC: 0.000 HG: 3.530 No Reset (NR),,,,,,Final/Finales,
02FE010,2023-03-07T17:42:00,-5,Stage/Niveau d'eau,3.453,,,,,,,,,GC: 0.000 HG: 3.453,,,,,,Final/Finales,
02FE010,2023-02-09T17:59:00,-5,Stage/Niveau d'eau,3.607,,,,,,,,,GC: 0.000 HG: 3.598,,,,,,Final/Finales,
02FE010,2023-01-11T16:39:00,-5,Stage/Niveau d'eau,3.679,,,,,,,,,GC: 0.000 HG: 3.677 No Reset (NR),,,,,,Final/Finales,
02FE010,2022-12-09T14:41:00,-5,Stage/Niveau d'eau,3.303,,,,,,,,,HG: 3.304,,,,,,Final/Finales,
02FE010,2022-10-21T17:38:00,-5,Stage/Niveau d'eau,3.162,,,,,,,,,GC: 0.000 HG: 3.162,,,,,,Final/Finales,
02FE010,2022-10-21T17:34:00,-5,Stage/Niveau d'eau,3.162,,,,,,,,,GC: 0.000 HG: 3.168 Reset (RS),,,,,,Final/Finales,
02FE010,2022-10-21T17:32:00,-5,Stage/Niveau d'eau,3.162,,,,,,,,,GC: 0.000 HG: 3.171,,,,,,Final/Finales,
02FE010,2022-09-15T15:27:00,-5,Stage/Niveau d'eau,3.077,,,,,,,,,HG: 3.077 Reset (RS),,,,,,Final/Finales,
02FE010,2022-09-15T15:25:00,-5,Stage/Niveau d'eau,3.077,,,,,,,,,HG: 3.057,,,,,,Final/Finales,
02FE010,2022-09-15T15:22:00,-5,Stage/Niveau d'eau,3.077,,,,,,,,,HG: 3.059,,,,,,Final/Finales,
02FE010,2022-07-14T15:55:00,-5,Stage/Niveau d'eau,3.083,,,,,,,,,HG: 3.083 Reset (RS),,,,,,Final/Finales,
02FE010,2022-07-14T15:48:00,-5,Stage/Niveau d'eau,3.083,,,,,,,,,HG: 3.093,,,,,,Final/Finales,
02FE010,2022-05-20T16:57:00,-5,Stage/Niveau d'eau,3.599,,,,,,,,,HG: 3.618,,,,,,Final/Finales,
02FE010,2022-04-08T15:24:00,-5,Stage/Niveau d'eau,3.876,,,,,,,,,GC: 0 HG: 3.872,,,,,,Final/Finales,
02FE010,2022-01-21T17:33:00,-5,Stage/Niveau d'eau,3.412,,,,,,,,,HG: 3.409 SRC: 0.003 No Reset (NR),,,,,,Final/Finales,
02FE010,2021-10-21T15:28:00,-5,Stage/Niveau d'eau,3.763,,,,,,,,,HG: 3.766 SRC: -0.008 **Used incorrect MP Bolt elevation of 9.742 in field. Correct elevation is 9.747.  Corrected WL value in AQ from 3.758 to 3.763. TM - 2022-01-24,,,,,,Final/Finales,
02FE010,2021-09-16T15:39:00,-5,Stage/Niveau d'eau,3.323,,,,,,,,,HG: 3.326 SRC: -0.003 Purged  (PU),,,,,,Final/Finales,
02FE010,2021-08-12T14:09:00,-5,Stage/Niveau d'eau,3.117,,,,,,,,,HG: 3.118 SRC: -0.001,,,,,,Final/Finales,
02FE010,2021-07-07T14:31:00,-5,Stage/Niveau d'eau,3.183,,,,,,,,,GC: 0.000 HG: 3.183 G.C. Applied (GCA),,,,,,Final/Finales,
02FE010,2021-07-07T14:29:00,-5,Stage/Niveau d'eau,3.178,,,,,,,,,GC: 0.000 HG: 3.179 SRC: -0.001,,,,,,Final/Finales,
02FE010,2021-06-08T18:19:00,-5,Stage/Niveau d'eau,3.141,,,,,,,,,HG: 3.136 Found (FD),,,,,,Final/Finales,
02FE010,2021-04-13T17:48:00,-5,Stage/Niveau d'eau,4.587,,,,,,,,,GC: 0.000 HG: 4.588 SRC: -0.006 Purged  (PU),,,,,,Final/Finales,
02FE010,2021-03-04T13:56:00,-5,Stage/Niveau d'eau,4.133,,,,,,,,,GC: 0.000 HG: 4.136 SRC: -0.003 No Reset (NR),,,,,,Final/Finales,
02FE010,2021-01-29T15:44:00,-5,Stage/Niveau d'eau,3.545,,,,,,,,,HG: 3.544 SRC: 0.001 No Reset (NR),,,,,,Final/Finales,
02FE010,2020-11-23T16:00:00,-5,Stage/Niveau d'eau,3.235,,,,,,,,,HG: 3.236 SRC: -0.001 No Reset (NR),,,,,,Final/Finales,
02FE010,2020-09-30T15:39:00,-5,Stage/Niveau d'eau,3.06,,,,,,,,,HG: 3.060,,,,,,Final/Finales,
