Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02FE014,18.00,"Minor scour change to the right at mid-low stages. This is defined by 2020 and 2021 measurements. However, the curve was updated with 2 breakpoints. This allows the curve to better reflect whatis actually happing at the low stages. This station has a riffle control at extreme lows and is bank controled through the mid stages. This lower breakpoint will reduce the size of the late summer shifts allowing the shift to reflect the real backwater rather than adjust for curve inadequacies.",LogarithmicTable,Provisional/Provisoire,(3.8474:3.53);(4.6825:3.58);(3.72);
02FE014,17.00,"2015 measurements indicated a scour of the section control. During 2015 there was beaver activity. After removal, there was still an indication of scour present. The new rating affects all stages as both segments are more reflective of the scour at the section control and the historical trends at the overbank flow. This rating starts after the removal of the beaver activity.",LogarithmicTable,Final/Finales,(4.6825:3.56);(3.72);
02FE014,16.000,New curve starts at March peak at 4.561 m where blends with old cuve.,LogarithmicTable,Final/Finales,(3.91578:3.621);(3.679);
02FE014,15.000,NEW HWS CURVE,LogarithmicTable,Final/Finales,(3.85463:3.622);(3.68);
02FE014,14.000,,LinearTable,Final/Finales,
02FE014,13.000,SAME AS CURVE 12.00 ABOVE 4.56,LinearTable,Final/Finales,
02FE014,12.000,"Similar to HQ#7.0, Same as HQ#11 above 4.64m",LinearTable,Final/Finales,
02FE014,11.000,Same as #10 above 4.12 m. Ext. High End (2008),LinearTable,Final/Finales,
02FE014,11.000-SC4,,LinearTable,Final/Finales,
02FE014,11.000-SC3,,LinearTable,Final/Finales,
02FE014,11.000-SC2,,LinearTable,Final/Finales,
02FE014,11.000-SC1,,LinearTable,Final/Finales,
02FE014,10.000,Same as #9 above 4.28 m.,LinearTable,Final/Finales,
02FE014,9.000,Same as #8 above 4.60m,LinearTable,Final/Finales,
02FE014,8.000,,LinearTable,Final/Finales,
