Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02FE017,DeleteRegion,HG,2024-01-24T19:55:00,2024-01-24T19:55:00,2024-01-25T15:59:30,-5,DISREGARD: Data spike,,Normal
02FE017,CopyPaste,QR,2024-01-14T12:45:00,2024-01-23T21:10:00,2024-01-31T13:01:25,-5,CORRECTION:ICEOverride: Log Linear‌Q(t) = 1.881709772462911e^(-0.06357171757554791t)‌,,Normal
02FE017,CopyPaste,HG,2024-01-13T01:55:00,2024-01-13T05:30:00,2024-02-06T19:01:19,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@02FE017, time shift: 00:00 minutes.‌",,PreProcessing
02FE017,Drift,HG,2024-01-11T19:20:00,2024-02-06T16:30:00,2024-02-06T19:02:40,-5,SRC: Drift of -0.005m applied visit to visit,"DriftPoints:(Offset:0,Time:2024-01-11T19:20:00Z);(Offset:-0.005,Time:2024-02-06T16:30:00Z)",Normal
02FE017,CopyPaste,QR,2023-11-28T06:10:00,2023-11-30T08:40:00,2024-01-25T16:16:34,-5,CORRECTION: ICEOverride: Log Linear‌Q(t) = 0.5423004764685614e^(0.03765735035103042t)‌,,Normal
02FE017,AdjustableTrim,HG,2023-11-23T23:30:00,2023-11-27T05:00:00,2023-12-19T14:32:59,-5,,"UpperThresholdPoints:(Time:2023-11-23T23:30:00Z,Value:7.218529044566251);(Time:2023-11-24T12:20:02.852Z,Value:7.209540007592585);(Time:2023-11-24T21:47:21.13Z,Value:7.207199112547359);(Time:2023-11-25T16:50:37.355Z,Value:7.201955507646055);(Time:2023-11-25T19:26:31.385Z,Value:7.2006446064207275);(Time:2023-11-26T03:31:32.814Z,Value:7.200550970618918);(Time:2023-11-26T11:49:33.729Z,Value:7.196056452132085);(Time:2023-11-26T12:37:11.905Z,Value:7.196805538546558);(Time:2023-11-26T19:54:35.158Z,Value:7.199240069393593);(Time:2023-11-27T05:00:00Z,Value:7.210101822403439),TrimAction:Delete",Normal
02FE017,CopyPaste,HG,2023-11-08T18:25:00,2023-11-09T05:05:00,2024-01-25T14:55:40,-5,"COPY & PASTE: from Stage.Logger for Telemetry Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@02FE017, time shift: 00:00 minutes.‌",,PreProcessing
02FE017,DeleteRegion,HG,2023-09-11T15:55:00,2023-09-11T15:55:00,2023-09-12T14:42:24,-5,DISREGARD: DUE TO ON SITE PURGE,,Normal
02FE017,CopyPaste,HG,2023-08-14T16:30:00,2023-08-14T17:35:00,2023-09-12T14:39:05,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02FE017, time shift: 00:00 minutes.‌",,PreProcessing
02FE017,Deviation,HG,2023-08-09T19:25:00,2023-09-02T07:45:00,2023-09-22T17:50:58,-5,Excessive Painting,"DeviationValue:0.004,DeviationType:DeviationFromAverage,WindowSizeInMinutes:100",Normal
02FE017,CopyPaste,HG,2023-08-08T16:30:00,2023-08-08T17:35:00,2023-09-12T14:38:27,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02FE017, time shift: 00:00 minutes.‌",,PreProcessing
02FE017,CopyPaste,HG,2023-08-03T16:30:00,2023-08-03T17:35:00,2023-09-12T14:37:53,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02FE017, time shift: 00:00 minutes.‌",,PreProcessing
02FE017,Drift,HG,2023-07-31T16:40:00,2023-09-11T15:50:00,2023-09-12T14:41:50,-5,SRC APPLIED VISIT TO VISIT: -0.004m,"DriftPoints:(Offset:0,Time:2023-07-31T16:40:00Z);(Offset:-0.004,Time:2023-09-11T15:50:00Z)",Normal
