STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02GA005,H,2006,H,8.0,3,14,3,30,EST,3.063999891281128,,Maximum
02GA005,H,2006,L,8.0,8,23,13,20,EST,1.7319999933242798,,Minimum
02GA005,H,2007,H,8.0,3,27,4,45,EST,2.621000051498413,,Maximum
02GA005,H,2007,L,8.0,8,17,18,50,EST,1.7029999494552612,,Minimum
02GA005,H,2008,H,8.0,12,28,11,10,EST,3.82699990272522,,Maximum
02GA005,H,2008,L,8.0,7,19,17,50,EST,1.7549999952316284,,Minimum
02GA005,H,2009,H,8.0,2,12,7,40,EST,3.4170000553131104,,Maximum
02GA005,H,2009,L,8.0,9,21,2,0,EST,1.7480000257492063,,Minimum
02GA005,H,2010,H,8.0,3,13,7,56,EST,3.140000104904175,,Maximum
02GA005,H,2010,L,8.0,9,2,8,45,EST,1.741000056266785,,Minimum
02GA005,H,2011,H,8.0,3,18,13,0,EST,3.101999998092652,,Maximum
02GA005,H,2011,L,8.0,8,2,17,0,EST,1.7369999885559082,,Minimum
02GA005,H,2012,H,8.0,3,8,15,30,EST,2.690999984741211,,Maximum
02GA005,H,2012,L,8.0,7,25,11,50,EST,1.7050000429153442,,Minimum
02GA005,H,2013,H,8.0,5,22,6,10,EST,2.8420000076293945,,Maximum
02GA005,H,2013,L,8.0,10,5,18,30,EST,1.7610000371932983,,Minimum
02GA005,H,2014,H,8.0,4,13,12,50,EST,3.2839999198913574,,Maximum
02GA005,H,2014,L,8.0,2,18,0,35,EST,1.680999994277954,,Minimum
02GA005,H,2017,H,8.0,6,23,16,0,EST,3.8420000076293945,,Maximum
02GA005,H,2017,L,8.0,8,29,16,10,EST,1.753000020980835,,Minimum
02GA005,H,2018,H,8.0,2,20,20,45,EST,3.930000066757202,,Maximum
02GA005,H,2018,L,8.0,9,5,10,55,EST,1.659999966621399,,Minimum
02GA005,H,2019,H,8.0,2,5,4,50,EST,3.5969998836517334, ,Maximum
02GA005,H,2021,H,8.0,3,12,1,0,EST,3.444000005722046, ,Maximum
02GA005,H,2021,L,8.0,8,21,6,25,EST,1.722000002861023, ,Minimum
02GA005,H,2022,H,8.0,3,19,23,15,EST,2.7070000171661377, ,Maximum
02GA005,H,2022,L,8.0,8,21,8,15,EST,1.7059999704360962, ,Minimum
02GA005,H,2023,H,8.0,4,1,16,55,EST,3.0160000324249268, ,Maximum
02GA005,H,2023,L,8.0,6,7,14,50,EST,1.7400000095367432, ,Minimum
02GA005,H,2024,H,8.0,12,30,12,25,EST,2.563999891281128, ,Maximum
02GA005,H,2024,L,8.0,9,21,1,40,EST,1.7339999675750732, ,Minimum
02GA005,Q,2006,L,,8,23,13,20,EST,0.02500000037252903, ,Minimum
02GA005,Q,2007,H,,3,27,4,45,EST,38.70000076293945, ,Maximum
02GA005,Q,2007,L,,8,17,18,50,EST,0.008999999612569809, ,Minimum
02GA005,Q,2008,H,,4,1,17,20,EST,124.0, ,Maximum
02GA005,Q,2008,L,,7,19,17,50,EST,0.2509999871253968, ,Minimum
02GA005,Q,2009,H,,2,12,7,40,EST,112.0, ,Maximum
02GA005,Q,2009,L,,9,21,2,0,EST,0.1169999986886978, ,Minimum
02GA005,Q,2010,H,,3,14,3,36,EST,75.5999984741211, ,Maximum
02GA005,Q,2010,L,,9,2,8,45,EST,0.05900000035762787, ,Minimum
02GA005,Q,2011,H,,3,18,13,0,EST,81.30000305175781,,Maximum
02GA005,Q,2011,L,,8,2,17,0,EST,0.11500000208616255,,Minimum
02GA005,Q,2012,H,,3,8,15,30,EST,42.29999923706055,,Maximum
02GA005,Q,2012,L,,7,25,11,50,EST,0.026000000536441803,,Minimum
02GA005,Q,2013,H,,5,22,6,10,EST,55.29999923706055,,Maximum
02GA005,Q,2013,L,,10,5,18,30,EST,0.2619999945163727,,Minimum
02GA005,Q,2014,H,,4,13,12,50,EST,102.0,,Maximum
02GA005,Q,2017,H,,6,23,16,0,EST,181.0,,Maximum
02GA005,Q,2017,L,,10,3,22,20,EST,0.09700000286102296,,Minimum
02GA005,Q,2018,L,,9,4,9,15,EST,0.0,,Minimum
02GA005,Q,2020,H,,1,11,21,40,EST,176.0, ,Maximum
02GA005,Q,2020,L,,8,26,3,35,EST,0.032999999821186066, ,Minimum
02GA005,Q,2021,L,,8,21,6,25,EST,0.02800000086426735, ,Minimum
02GA005,Q,2022,H,,3,19,23,15,EST,43.59999847412109, ,Maximum
02GA005,Q,2022,L,,8,3,14,20,EST,0.0010000000474974513, ,Minimum
02GA005,Q,2023,H,,4,1,16,55,EST,71.0999984741211, ,Maximum
02GA005,Q,2023,L,,10,5,18,25,EST,0.11599999666213988, ,Minimum
02GA005,Q,2024,H,,12,30,12,25,EST,32.70000076293945, ,Maximum
02GA005,Q,2024,L,,9,21,1,40,EST,0.06599999964237213, ,Minimum
