Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02GA005,2024-04-22T17:00:00,-5,Stage/Niveau d'eau,1.932,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
02GA005,2024-04-22T16:32:30,-5,Discharge/Débit,,1.933,2.66,6.0,-0.00817,-0.0635,-0.0635,"Measurement condition : Debris; Clear , No Precipitation , Very Light Wind Swirling/Variable",Removed log after mmt. Check trace,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.dis File). @ Mid-section",15.0,7.06,0.377,5.0,7.0,Provisional/Provisoire,7.6
02GA005,2024-04-22T16:22:00,-5,Stage/Niveau d'eau,1.934,,,,,,,,,GC: 0.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  CTRL Cleared (CC),,,,,,Provisional/Provisoire,
02GA005,2024-04-22T16:05:00,-5,Stage/Niveau d'eau,1.933,,,,,,,,,GC: 0.000 HG: 1.934 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
02GA005,2024-04-12T21:45:00,-5,Stage/Niveau d'eau,2.416,,,,,,,,,GC: 0.000 Reset (RS),,,,,,Provisional/Provisoire,
02GA005,2024-04-12T21:40:00,-5,Stage/Niveau d'eau,2.419,,,,,,,,,GC: 0.000 Surge: 0.006  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02GA005,2024-04-12T21:13:00,-5,Discharge/Débit,,2.412,21.6,6.0,-0.0188,-0.049000002,-0.0234,"Measurement condition : Clear; Cloudy , Light Rain , Moderate Wind Swirling/Variable",Log on very left side of dam.,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",25.2,60.2,0.358,,8.3,Provisional/Provisoire,5.7
02GA005,2024-04-12T20:30:00,-5,Stage/Niveau d'eau,2.404,,,,,,,,,GC: 0.000 HG: 2.403 Surge: 0.006  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02GA005,2024-01-08T19:55:00,-5,Stage/Niveau d'eau,1.844,,,,,,,,,GC: 0.000 Found (FD),,,,,,Final/Finales,
02GA005,2024-01-08T19:38:30,-5,Discharge/Débit,,1.844,1.16,6.0,-0.00139,-0.0174,-0.0174,"Measurement condition : Clear; Cloudy , No Precipitation , Very Light Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",11.7,5.01,0.231,1.0,1.0,Final/Finales,6.99
02GA005,2024-01-08T19:25:00,-5,Stage/Niveau d'eau,1.844,,,,,,,,,GC: 0.000 HG: 1.844 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Final/Finales,
02GA005,2023-10-12T18:06:00,-5,Stage/Niveau d'eau,1.761,,,,,,,,,GC: 0.000 CTRL Cleared (CC),,,,,,Final/Finales,
02GA005,2023-10-12T17:46:30,-5,Discharge/Débit,,1.761,0.201,6.0,-0.00868,-0.22799999,-0.0222,"Measurement condition : Debris; Clear , No Precipitation , Moderate Wind Swirling/Variable",Cleared after mmt. Check trace,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.dis File). @ Mid-section",10.8,3.98,0.051,14.0,10.0,Final/Finales,8.2
02GA005,2023-10-12T17:42:00,-5,Stage/Niveau d'eau,1.761,,,,,,,,,GC: 0.000 HG: 1.761 Found (FD),,,,,,Final/Finales,
02GA005,2023-07-19T13:35:00,-5,Stage/Niveau d'eau,1.852,,,,,,,,,GC: 0.000 Found (FD),,,,,,Final/Finales,
02GA005,2023-07-19T13:11:00,-5,Discharge/Débit,,1.853,1.26,6.0,-0.00372,-0.0436,-0.0092,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind Blowing Cross Stream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.dis File). @ Mid-section",11.5,4.99,0.252,20.0,18.0,Final/Finales,7.6
02GA005,2023-07-19T12:41:00,-5,Stage/Niveau d'eau,1.853,,,,,,,,,GC: 0.000 HG: 1.853 Found (FD),,,,,,Final/Finales,
02GA005,2023-06-07T13:45:00,-5,Stage/Niveau d'eau,1.758,,,,,,,,,GC: 0.000 HG: 1.758 Recovered (RC),,,,,,Final/Finales,
