Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02GC002,Offset,HG,2023-12-01T15:10:00,2024-01-10T16:45:00,2024-01-11T01:11:06,-5,SRC: Shaft encoder offset lost for unknown reason. Offset of -0.791m applied from observed jump to field visit when logger was reset.,Offset:-0.791,Normal
02GC002,CopyPaste,HG,2023-06-26T12:10:00,2023-06-26T12:50:00,2023-08-17T18:44:20,-5,"COPY AND PASTE FROM STAGE LOGGEROverride: Copy & Paste‌Source Data Set: Stage.Logger@02GC002, time shift: 00:00 minutes.‌",,PreProcessing
02GC002,DeleteRegion,HG,2023-05-10T17:45:00,2023-05-10T18:00:00,2023-05-11T14:48:09,-5,DISREGARD: DUE TO ON SITE INTAKE FLUSH,,Normal
02GC002,CopyPaste,HG,2023-04-17T00:10:00,2023-04-17T00:40:00,2023-05-11T14:49:47,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02GC002, time shift: 00:00 minutes.‌",,PreProcessing
02GC002,CopyPaste,HG,2023-03-19T04:10:00,2023-03-19T04:40:00,2023-05-30T13:57:39,-5,"Override: Copy & Paste‌Source Data Set: Stage.Logger@02GC002, time shift: 00:00 minutes.‌",,Normal
02GC002,CopyPaste,QR,2023-02-25T15:35:00,2023-02-26T13:20:00,2023-06-05T14:47:28,-5,Override: Log Linear‌Q(t) = 0.8413500767806198e^(0.3315558367123318t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-24T19:35:00,2023-02-25T15:40:00,2023-05-02T12:47:37,-5,Override: Log Linear‌Q(t) = 1.1926427060328801e^(-0.41640097535597964t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-23T16:45:00,2023-02-25T01:20:00,2023-06-05T14:46:12,-5,Override: Log Linear‌Q(t) = 1.0543878844409815e^(0.016302194333367773t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-22T21:15:00,2023-02-23T17:10:00,2023-05-02T12:36:41,-5,Override: Log Linear‌Q(t) = 1.3105891617837173e^(-0.26771247225369654t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-07T15:40:00,2023-02-08T00:30:00,2023-06-05T14:43:59,-5,Override: Log Linear‌Q(t) = 0.8374765675367822e^(1.1408582286579032t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-05T01:40:00,2023-02-07T18:50:00,2023-05-01T18:50:48,-5,Override: Log Linear‌Q(t) = 1.0389556060767862e^(-0.022614356091226098t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-04T16:40:00,2023-02-04T19:25:00,2023-06-05T14:43:03,-5,,,Normal
02GC002,CopyPaste,QR,2023-02-03T21:10:00,2023-02-04T19:25:00,2023-05-01T18:39:43,-5,Override: Log Linear‌Q(t) = 1.2984826655340707e^(0.10822434723323054t)‌,,Normal
02GC002,CopyPaste,QR,2023-02-01T07:05:00,2023-02-01T16:50:00,2023-05-01T17:54:07,-5,Override: Log Linear‌Q(t) = 2.170403430952744e^(-0.4888854142783269t)‌,,Normal
02GC002,CopyPaste,QR,2023-01-15T09:40:00,2023-01-15T21:00:00,2023-06-05T14:41:51,-5,Override: Log Linear‌Q(t) = 0.8325572520642123e^(0.38264226701181825t)‌,,Normal
02GC002,CopyPaste,QR,2022-12-25T00:45:00,2022-12-29T09:45:00,2023-02-15T17:27:07,-5,Override: Log Linear‌Q(t) = 0.49433871087513137e^(-0.08895746324781145t)‌,,Normal
02GC002,CopyPaste,QR,2022-12-23T23:00:00,2022-12-29T16:35:00,2023-02-16T15:12:50,-5,Override: Log Linear‌Q(t) = 0.2533691091195855e^(0.03495161161125142t)‌,,Normal
02GC002,CopyPaste,QR,2022-12-23T13:45:00,2022-12-29T17:25:00,2023-02-21T15:11:09,-5,,,Normal
02GC002,CopyPaste,QR,2022-12-23T13:15:00,2022-12-24T11:55:00,2023-02-15T18:00:06,-5,Override: Log Linear‌Q(t) = 0.6150857129886493e^(-0.45279720421391567t)‌,,Normal
02GC002,CopyPaste,QR,2022-09-27T19:10:00,2022-10-04T04:40:00,2023-01-30T14:10:37,-5,Estimating due to likely water diversion upstream of gauge due to construction.Override: Log Linear‌Q(t) = 0.2669660019805659e^(-0.10920005015780662t)‌,,Normal
02GC002,DeleteRegion,HG,2022-05-18T22:15:00,2022-05-18T22:25:00,2022-05-30T19:26:44,-5,Flushed intakes.,,Normal
02GC002,CopyPaste,QR,2022-03-14T10:40:00,2022-03-14T14:05:00,2022-07-14T14:31:22,-5,Override: Log Linear‌Q(t) = 2.0721598145466387e^(-0.16485660082948345t)‌,,Normal
02GC002,CopyPaste,QR,2022-03-04T14:20:00,2022-03-05T12:05:00,2022-07-14T14:33:36,-5,Override: Log Linear‌Q(t) = 2.008227791987254e^(-0.23537100193157948t)‌,,Normal
02GC002,CopyPaste,QR,2022-02-17T11:20:00,2022-02-17T16:10:00,2022-07-14T14:06:39,-5,Override: Log Linear‌Q(t) = 53.76011291723592e^(3.123230604404193t)‌,,Normal
02GC002,RevertToRaw,QR,2022-02-17T06:00:00,2022-02-17T12:55:00,2022-07-14T14:04:41,-5,,,Normal
02GC002,CopyPaste,QR,2022-02-17T05:45:00,2022-02-17T11:10:00,2022-07-14T14:04:57,-5,Override: Log Linear‌Q(t) = 4.248477478330848e^(10.86775131297553t)‌,,Normal
02GC002,CopyPaste,QR,2022-02-16T15:45:00,2022-02-16T22:00:00,2022-06-09T13:27:18,-5,EST Q - ICEOverride: Log Linear‌Q(t) = 0.834433492098746e^(0.35455809169657837t)‌,,Normal
02GC002,CopyPaste,QR,2022-02-16T05:30:00,2022-02-17T12:30:00,2022-07-14T13:52:24,-5,Override: Log Linear‌Q(t) = 0.34887253157704057e^(3.948061299357757t)‌,,Normal
02GC002,CopyPaste,QR,2022-02-16T04:15:00,2022-02-17T02:00:00,2022-07-14T13:53:25,-5,Override: Log Linear‌Q(t) = 0.349013447809669e^(1.0599755996674238t)‌,,Normal
