STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02GC031,H,2002,H,8.0,2,21,0,15,EST,3.2330000400543213, ,Maximum
02GC031,H,2002,L,8.0,9,10,11,0,EST,1.2829999923706057, ,Minimum
02GC031,H,2003,H,8.0,3,18,2,0,EST,3.7190001010894775, ,Maximum
02GC031,H,2003,L,8.0,9,9,8,0,EST,1.2890000343322754, ,Minimum
02GC031,H,2004,H,8.0,12,31,23,55,EST,3.476999998092652, ,Maximum
02GC031,H,2004,L,8.0,10,9,6,45,EST,1.2910000085830688, ,Minimum
02GC031,H,2005,H,8.0,2,15,4,0,EST,3.632999897003174, ,Maximum
02GC031,H,2005,L,8.0,9,14,12,5,EST,1.284999966621399, ,Minimum
02GC031,H,2006,H,8.0,3,9,15,25,EST,3.559000015258789,,Maximum
02GC031,H,2006,L,8.0,8,18,6,35,EST,1.3229999542236328,,Minimum
02GC031,H,2007,H,8.0,1,6,10,25,EST,3.372999906539917,,Maximum
02GC031,H,2007,L,8.0,9,6,21,0,EST,1.4019999504089355,,Minimum
02GC031,H,2008,H,8.0,1,9,11,50,EST,4.171999931335449,,Maximum
02GC031,H,2008,L,8.0,9,7,7,0,EST,1.412999987602234,,Minimum
02GC031,H,2009,H,8.0,2,12,5,15,EST,4.288000106811523,,Maximum
02GC031,H,2009,L,8.0,9,21,3,0,EST,1.4520000219345093,,Minimum
02GC031,H,2010,H,8.0,4,8,12,0,EST,3.2309999465942383,,Maximum
02GC031,H,2010,L,8.0,9,1,20,0,EST,1.4190000295639038,,Minimum
02GC031,H,2011,H,8.0,11,29,20,0,EST,4.074999809265137,,Maximum
02GC031,H,2011,L,8.0,8,7,14,10,EST,1.4390000104904177,,Minimum
02GC031,H,2012,H,8.0,1,17,19,15,EST,2.776000022888184,,Maximum
02GC031,H,2012,L,8.0,8,8,14,0,EST,1.430999994277954,,Minimum
02GC031,H,2013,H,8.0,1,30,5,40,EST,3.5969998836517334,,Maximum
02GC031,H,2013,L,8.0,8,25,17,30,EST,1.3930000066757202,,Minimum
02GC031,H,2014,H,8.0,11,24,13,25,EST,3.3499999046325684,,Maximum
02GC031,H,2014,L,8.0,8,11,12,10,EST,1.4110000133514404,,Minimum
02GC031,H,2015,H,8.0,6,28,9,20,EST,3.0230000019073486,,Maximum
02GC031,H,2015,L,8.0,8,23,19,30,EST,1.3650000095367432,,Minimum
02GC031,H,2016,H,8.0,4,1,6,30,EST,3.434999942779541,,Maximum
02GC031,H,2016,L,8.0,8,11,7,40,EST,1.378999948501587,,Minimum
02GC031,H,2017,H,8.0,3,31,9,10,EST,3.299999952316284,,Maximum
02GC031,H,2017,L,8.0,10,3,11,0,EST,1.284999966621399,,Minimum
02GC031,H,2018,H,8.0,1,12,12,0,EST,4.060999870300293,,Maximum
