Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02GC031,2024-06-12T14:19:00,-5,Stage/Niveau d'eau,1.563,,,,,,,,,GC: 0.000 HG: 1.564 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02GC031,2024-06-12T13:15:00,-5,Stage/Niveau d'eau,1.563,,,,,,,,,GC: 0.000 HG: 1.564 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02GC031,2024-06-12T12:47:30,-5,Discharge/Débit,,1.563,0.458,19.0,-0.0241,-0.1918,0.542,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable","Same large tree on RB of gauge pool, not affecting control.","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.9,2.11,0.217,19.2,15.0,Provisional/Provisoire,3.61
02GC031,2024-06-12T12:05:00,-5,Stage/Niveau d'eau,1.562,,,,,,,,,GC: 0.000 HG: 1.565 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02GC031,2024-05-01T13:30:00,-5,Stage/Niveau d'eau,1.879,,,,,,,,,GC: 0.000 HG: 1.880 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02GC031,2024-05-01T13:16:30,-5,Discharge/Débit,,1.882,3.33,19.0,-0.00725,-0.024300002,-0.024300002,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Light Wind Swirling/Variable",Flow into grasses on either bank. Large tree just U/S of control on RB.,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",13.7,12.9,0.258,12.8,12.0,Provisional/Provisoire,5.3
02GC031,2024-05-01T12:45:00,-5,Stage/Niveau d'eau,1.888,,,,,,,,,GC: 0.000 HG: 1.889 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02GC031,2024-03-15T14:42:00,-5,Stage/Niveau d'eau,1.949,,,,,,,,,GC: 0.000 HG: 1.939,,,,,,Provisional/Provisoire,
02GC031,2024-03-15T13:56:00,-5,Stage/Niveau d'eau,1.96,,,,,,,,,GC: 0.000 HG: 1.956,,,,,,Provisional/Provisoire,
02GC031,2024-03-15T13:49:00,-5,Stage/Niveau d'eau,1.955,,,,,,,,,HG: 1.957 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02GC031,2024-03-15T13:36:30,-5,Discharge/Débit,,1.964,4.29,19.0,-0.00903,-0.025799999,-0.025799999,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind Swirling/Variable",Weir underwater. Couple trees stuck on RB just U/S of weir.,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ Decided to use MP BR for MGH as ECG appears slow to react to changes in WL due to suspected partial plugging of intakes. MP BR captured drop in WL over time of mmt while ECG remained static. ADCP by Moving Boat",13.9,12.5,0.344,5.8,6.9,Provisional/Provisoire,4.6
02GC031,2024-03-15T12:57:00,-5,Stage/Niveau d'eau,1.971,,,,,,,,,GC: 0.000 HG: 1.957,,,,,,Provisional/Provisoire,
02GC031,2024-03-15T12:45:00,-5,Stage/Niveau d'eau,1.955,,,,,,,,,HG: 1.956 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02GC031,2024-01-10T15:22:00,-5,Stage/Niveau d'eau,2.853,,,,,,,,,GC: 0.000 HG: 2.855 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02GC031,2024-01-10T14:58:30,-5,Discharge/Débit,,2.926,23.1,19.0,0.0391,0.042,0.042,"Measurement condition : Clear; Cloudy , Flurries , Moderate Wind Blowing Cross Stream","Some debris on tree on left bank, does not look significantly effective at this stage.","@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",18.7,30.1,0.767,-0.4,3.0,Final/Finales,5.2
02GC031,2024-01-10T13:15:00,-5,Stage/Niveau d'eau,3.011,,,,,,,,,HG: 3.000 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02GC031,2023-11-21T16:06:00,-5,Stage/Niveau d'eau,1.665,,,,,,,,,GC: 0.000 HG: 1.666 No Reset (NR),,,,,,Final/Finales,
02GC031,2023-11-21T15:44:00,-5,Discharge/Débit,,1.664,0.073,19.0,-0.265,-0.938,-0.90160006,"Measurement condition : Debris; Cloudy , Heavy Rain , Light Wind Swirling/Variable",Channel spanning debris composed of wood and grasses. ,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",6.3,0.636,0.115,2.0,2.0,Final/Finales,11.1
