STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02GD004,H,2002,H,8.0,4,14,6.0,35.0,EST,9.968000411987305, ,Maximum
02GD004,H,2002,L,8.0,9,14,7.0,0.0,EST,8.701000213623047, ,Minimum
02GD004,H,2003,H,8.0,3,19,14.0,53.0,EST,10.097000122070312, ,Maximum
02GD004,H,2003,L,8.0,9,9,14.0,30.0,EST,8.71500015258789, ,Minimum
02GD004,H,2004,H,8.0,3,6,3.0,15.0,EST,10.57800006866455,,Maximum
02GD004,H,2004,L,8.0,10,9,19.0,35.0,EST,8.746000289916992,,Minimum
02GD004,H,2005,H,8.0,2,16,14.0,55.0,EST,10.177000045776367,,Maximum
02GD004,H,2005,L,8.0,9,13,23.0,0.0,EST,8.737000465393066,,Minimum
02GD004,H,2006,H,8.0,7,27,23.0,10.0,EST,10.510000228881836,,Maximum
02GD004,H,2006,L,8.0,7,9,23.0,25.0,EST,8.772000312805176,,Minimum
02GD004,H,2007,H,8.0,3,15,5.0,0.0,EST,10.04599952697754,,Maximum
02GD004,H,2007,L,8.0,9,25,22.0,0.0,EST,8.737000465393066,,Minimum
02GD004,H,2008,H,8.0,4,1,18.0,50.0,EST,10.810999870300291,,Maximum
02GD004,H,2008,L,8.0,9,3,22.0,40.0,EST,8.751999855041504,,Minimum
02GD004,H,2009,H,8.0,2,12,9.0,20.0,EST,10.866000175476074,,Maximum
02GD004,H,2009,L,8.0,9,20,20.0,50.0,EST,8.765999794006348,,Minimum
02GD004,H,2010,H,8.0,7,29,2.0,40.0,EST,10.345999717712402,,Maximum
02GD004,H,2010,L,8.0,9,2,15.0,0.0,EST,8.77400016784668,,Minimum
02GD004,H,2011,H,8.0,11,30,4.0,0.0,EST,10.375,,Maximum
02GD004,H,2012,H,8.0,1,1,20.0,0.0,EST,9.609999656677246,,Maximum
02GD004,H,2012,L,8.0,8,8,16.0,0.0,EST,8.71399974822998,,Minimum
02GD004,H,2013,H,8.0,3,12,3.0,0.0,EST,10.555999755859377,,Maximum
02GD004,H,2013,L,8.0,8,26,20.0,0.0,EST,8.760000228881836,,Minimum
02GD004,H,2014,H,8.0,11,24,21.0,50.0,EST,10.272000312805176,,Maximum
02GD004,H,2014,L,8.0,8,31,15.0,0.0,EST,8.789999961853027,,Minimum
02GD004,H,2015,H,8.0,4,10,12.0,50.0,EST,10.218000411987305,,Maximum
