STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02GE008,H,2003,H,8.0,3,19,11,7,EST,6.150000095367432, ,Maximum
02GE008,H,2003,L,8.0,9,11,11,15,EST,4.561999797821045, ,Minimum
02GE008,H,2004,H,8.0,12,31,23,59,EST,6.209000110626221, ,Maximum
02GE008,H,2004,L,8.0,9,21,3,30,EST,4.5960001945495605, ,Minimum
02GE008,H,2005,H,8.0,2,16,11,55,EST,6.568999767303467,,Maximum
02GE008,H,2006,H,8.0,3,10,14,0,EST,5.948999881744385,,Maximum
02GE008,H,2006,L,8.0,7,10,11,55,EST,4.573999881744385,,Minimum
02GE008,H,2007,H,8.0,3,15,4,40,EST,6.043000221252441,,Maximum
02GE008,H,2007,L,8.0,8,4,9,0,EST,4.513999938964844,,Minimum
02GE008,H,2008,H,8.0,12,28,4,51,EST,6.166999816894531,,Maximum
02GE008,H,2008,L,8.0,9,3,17,30,EST,4.553999900817871,,Minimum
02GE008,H,2009,H,8.0,2,12,0,40,EST,6.498000144958496,,Maximum
02GE008,H,2009,L,8.0,9,16,19,30,EST,4.566999912261963,,Minimum
02GE008,H,2010,H,8.0,1,26,2,45,EST,6.189000129699707,,Maximum
02GE008,H,2010,L,8.0,8,31,6,45,EST,4.556000232696533,,Minimum
02GE008,H,2011,H,8.0,2,19,16,25,EST,6.526000022888184,,Maximum
02GE008,H,2011,L,8.0,8,18,3,25,EST,4.590000152587891,,Minimum
02GE008,H,2012,H,8.0,1,18,7,45,EST,5.504000186920166,,Maximum
02GE008,H,2012,L,8.0,7,11,6,30,EST,4.548999786376953,,Minimum
02GE008,H,2013,H,8.0,9,22,18,20,EST,6.10699987411499,,Maximum
02GE008,H,2013,L,8.0,8,19,7,10,EST,4.557000160217285,,Minimum
02GE008,H,2014,H,8.0,1,12,6,35,EST,6.026999950408936,,Maximum
02GE008,H,2014,L,8.0,9,1,8,50,EST,4.545000076293945,,Minimum
02GE008,H,2015,H,8.0,3,18,7,15,EST,6.28000020980835,,Maximum
02GE008,H,2015,L,8.0,9,23,10,15,EST,4.517000198364258,,Minimum
02GE008,H,2016,H,8.0,2,21,3,50,EST,5.823999881744385,,Maximum
02GE008,H,2016,L,8.0,7,28,12,55,EST,4.507999897003174,,Minimum
02GE008,H,2017,H,8.0,5,5,23,15,EST,5.810999870300293,,Maximum
02GE008,H,2017,L,8.0,9,27,23,30,EST,4.526999950408936,,Minimum
02GE008,H,2018,H,8.0,2,21,12,55,EST,6.301000118255615,,Maximum
02GE008,H,2018,L,8.0,6,13,16,30,EST,4.566999912261963,,Minimum
02GE008,H,2019,H,8.0,2,5,5,25,EST,6.501999855041504, ,Maximum
02GE008,H,2019,L,8.0,8,5,13,45,EST,4.563000202178955, ,Minimum
02GE008,H,2020,H,8.0,1,12,10,45,EST,6.067999839782715, ,Maximum
02GE008,H,2020,L,8.0,7,31,6,5,EST,4.527999877929688, ,Minimum
02GE008,H,2021,H,8.0,9,23,4,45,EST,5.815999984741211, ,Maximum
02GE008,H,2021,L,8.0,8,24,11,10,EST,4.558000087738037, ,Minimum
02GE008,H,2022,H,8.0,2,18,23,10,EST,6.636000156402588, ,Maximum
02GE008,H,2022,L,8.0,9,13,4,35,EST,4.508999824523926, ,Minimum
02GE008,H,2023,H,8.0,4,1,9,30,EST,6.165999889373779, ,Maximum
02GE008,H,2023,L,8.0,6,23,2,20,EST,4.561999797821045, ,Minimum
02GE008,Q,2003,H,,12,30,22,25,EST,15.100000381469728, ,Maximum
02GE008,Q,2003,L,,9,11,11,15,EST,0.01600000075995922, ,Minimum
02GE008,Q,2004,H,,5,24,5,35,EST,22.200000762939453, ,Maximum
02GE008,Q,2004,L,,9,21,3,30,EST,0.05299999937415123, ,Minimum
02GE008,Q,2005,H,,2,16,0,0,EST,16.0,B,Maximum
02GE008,Q,2005,L,,9,10,7,30,EST,0.009999999776482582, ,Minimum
02GE008,Q,2006,H,,3,10,14,0,EST,18.799999237060547, ,Maximum
02GE008,Q,2006,L,,7,10,11,55,EST,0.02800000086426735, ,Minimum
02GE008,Q,2007,H,,3,15,4,40,EST,19.399999618530277, ,Maximum
02GE008,Q,2007,L,,8,3,5,15,EST,0.0, ,Minimum
02GE008,Q,2008,H,,12,29,4,46,EST,22.799999237060547, ,Maximum
02GE008,Q,2008,L,,9,3,17,30,EST,0.008999999612569809, ,Minimum
02GE008,Q,2009,H,,2,12,0,40,EST,29.799999237060547, ,Maximum
02GE008,Q,2009,L,,9,16,19,30,EST,0.04100000113248825, ,Minimum
02GE008,Q,2010,H,,3,14,0,45,EST,17.299999237060547, ,Maximum
02GE008,Q,2010,L,,8,31,6,45,EST,0.004000000189989805, ,Minimum
02GE008,Q,2011,H,,2,19,16,25,EST,30.299999237060547,,Maximum
02GE008,Q,2011,L,,8,18,3,25,EST,0.0560000017285347,,Minimum
02GE008,Q,2012,H,,1,18,7,45,EST,9.520000457763672,,Maximum
02GE008,Q,2012,L,,7,11,5,45,EST,0.008999999612569809,,Minimum
02GE008,Q,2013,H,,9,22,18,20,EST,24.399999618530277,,Maximum
02GE008,Q,2013,L,,8,19,7,10,EST,0.027000000700354576,,Minimum
02GE008,Q,2014,L,,9,1,8,50,EST,0.02199999988079071,,Minimum
02GE008,Q,2015,H,,4,10,19,15,EST,14.399999618530272,,Maximum
