Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02HA006,2024-05-02T18:25:00,-5,Stage/Niveau d'eau,5.667,,,,,,,,,GC: 0.000 HG: 5.667 No Reset (NR),,,,,,Provisional/Provisoire,
02HA006,2024-05-02T18:11:30,-5,Discharge/Débit,,5.668,0.655,20.0,-0.00754,-0.0639,-0.0639,"Measurement condition : Vegetation; Clear ,  ,  ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",10.4,2.07,0.317,18.0,20.0,Provisional/Provisoire,6.39
02HA006,2024-05-02T17:43:00,-5,Stage/Niveau d'eau,5.668,,,,,,,,,GC: 0.000 HG: 5.666 Found (FD),,,,,,Provisional/Provisoire,
02HA006,2024-03-21T18:32:00,-5,Stage/Niveau d'eau,5.785,,,,,,,,,GC: 0.000 HG: 5.785 No Reset (NR),,,,,,Provisional/Provisoire,
02HA006,2024-03-21T18:16:00,-5,Discharge/Débit,,5.786,1.6,20.0,-0.00586,-0.036199998,-0.036199998,"Measurement condition : Clear; Mostly Cloudy , Light Snow ,  ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",21.6,5.43,0.295,-3.0,3.8,Provisional/Provisoire,13.3
02HA006,2024-03-21T17:50:00,-5,Stage/Niveau d'eau,5.786,,,,,,,,,GC: 0.000 HG: 5.787 Found (FD),,,,,,Provisional/Provisoire,
02HA006,2024-01-30T18:19:00,-5,Stage/Niveau d'eau,6.211,,,,,,,,,GC: 0.000 HG: 6.213 Reset (RS),,,,,,Final/Finales,
02HA006,2024-01-30T18:03:30,-5,Discharge/Débit,,6.215,11.6,20.0,0.0105,0.051599998,-0.0001,"Measurement condition : Clear; Cloudy ,  ,  ",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ ADCP by Moving Boat",22.5,12.3,0.947,1.0,2.0,Final/Finales,7.2
02HA006,2024-01-30T17:18:00,-5,Stage/Niveau d'eau,6.219,,,,,,,,,GC: 0.000 HG: 6.221 Found (FD),,,,,,Final/Finales,
02HA006,2023-11-22T19:28:00,-5,Stage/Niveau d'eau,5.784,,,,,,,,,GC: 0.000 HG: 5.782 No Reset (NR),,,,,,Final/Finales,
