Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02HC028,22.03,Extended extreme low end as ESTIMATED,LogarithmicTable,Provisional/Provisoire,(10.29067:10.075);(10.084);
02HC028,22.02,"Extendedhigh end to capture peak flow on Jan 11, 2020",LogarithmicTable,Final/Finales,(10.29067:10.075);(10.084);
02HC028,22.001,Extended low end to capture low flow in July 2016,LogarithmicTable,Final/Finales,(10.29067:10.075);(10.084);
02HC028,22,High end adjusted to a best fit,LogarithmicTable,Final/Finales,(10.29067:10.075);(10.084);
02HC028,21,Low end extension,LogarithmicTable,Final/Finales,(10.075);
02HC028,20,,LogarithmicTable,Final/Finales,(10.075);
02HC028,19.000,Extended from GH 12.1 m to 12.4 m in 2009,LinearTable,Final/Finales,
02HC028,18.000-SC3,,LinearTable,Final/Finales,
02HC028,18.000,,LinearTable,Final/Finales,
02HC028,17.000,,LinearTable,Final/Finales,
02HC028,16.000-SC2,,LinearTable,Final/Finales,
02HC028,16.000,,LinearTable,Final/Finales,
02HC028,15.000-SC1,,LinearTable,Final/Finales,
02HC028,15.000,,LinearTable,Final/Finales,
02HC028,14.000,,LinearTable,Final/Finales,
02HC028,13.000,,LinearTable,Final/Finales,
