Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02HC028,2024-06-10T17:25:00,-5,Stage/Niveau d'eau,10.261,,,,,,,,,GC: 0.000 HG: 10.261 HG2: 10.264,,,,,,Provisional/Provisoire,
02HC028,2024-06-10T15:10:00,-5,Stage/Niveau d'eau,10.268,,,,,,,,,GC: 0.000 HG: 10.268 HG2: 10.428 Flushed (FL),,,,,,Provisional/Provisoire,
02HC028,2024-05-27T19:25:30,-5,Discharge/Débit,,10.618,3.81,22.03,-0.015,0.0529,0.0002,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Very Light Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ WELL DIDNT DRAIN AFTER FIRST FLUSH, FLUSHED AGAIN ~15:15. INTAKE VALVE BROKEN? BAD +0.176 m RESET OF HG2 AT 14:36 ? READING AT 14:50 FOR HG2 ADDED FROM LOGGER AFTER CORRECTING FOR SUSPECTED BAD RESET AT 14:36. ASSUME SRC = 0,000 FOR HG UP TO THIS VISIT, THEN SWITCH TO HG2 GOING FORWARD. Mid-section",8.7,5.63,0.677,20.0,18.0,Provisional/Provisoire,4.5
02HC028,2024-05-27T19:14:00,-5,Stage/Niveau d'eau,10.612,,,,,,,,,GC: 0.000 HG2: 10.651 Purged  (PU),,,,,,Provisional/Provisoire,
02HC028,2024-05-27T19:05:00,-5,Stage/Niveau d'eau,10.602,,,,,,,,,GC: 0.000 HG: 10.600 HG2: 10.638,,,,,,Provisional/Provisoire,
02HC028,2024-03-26T17:38:00,-5,Stage/Niveau d'eau,10.413,,,,,,,,,GC: 0.000,,,,,,Provisional/Provisoire,
02HC028,2024-03-26T17:21:30,-5,Discharge/Débit,,10.414,1.46,22.03,-0.00293,-0.0164,0.024500001,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ RB SCOURED AT GAUGE. Mid-section",9.1,3.47,0.419,8.0,4.0,Provisional/Provisoire,4.84
02HC028,2024-03-26T17:00:00,-5,Stage/Niveau d'eau,10.414,,,,,,,,,GC: 0.000 HG: 10.412 HG2: 10.422,,,,,,Provisional/Provisoire,
02HC028,2024-01-31T17:59:00,-5,Stage/Niveau d'eau,10.438,,,,,,,,,GC: 0.000 HG: 10.438,,,,,,Provisional/Provisoire,
02HC028,2024-01-31T17:39:00,-5,Discharge/Débit,,10.438,1.59,22.03,-0.0115,-0.0594,-0.0312,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ RIGHT BANK SCOURED AT GAUGE, EXPOSING HISTORICAL INTAKE RISER ELBOW. HG2 ORIFICE LINE SEVERED. REINSTALLED ATTACHED TO RE-BAR SET IN STREAM BED ~1 M FROM HISTORICAL INTAKE RISER. Mid-section",9.1,3.58,0.445,5.0,2.0,Provisional/Provisoire,7.88
