Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02HJ001,CopyPaste,QR,2024-01-14T03:55:00,2024-01-14T16:40:00,2024-01-27T16:30:17,-5,Override: Log Linear‌Q(t) = 2.05710639674207e^(-0.01059593190699842t)‌,,Normal
02HJ001,CopyPaste,QR,2024-01-13T01:10:00,2024-01-13T07:15:00,2024-01-27T16:27:44,-5,Override: Log Linear‌Q(t) = 1.6875994327408543e^(-0.2679209537552565t)‌,,Normal
02HJ001,CopyPaste,QR,2024-01-12T10:45:00,2024-01-12T14:05:00,2024-01-27T16:26:26,-5,Override: Log Linear‌Q(t) = 1.6275665082251087e^(-0.1134756997090632t)‌,,Normal
02HJ001,CopyPaste,QR,2023-12-21T08:40:00,2023-12-21T14:00:00,2024-01-27T17:34:05,-5,Override: Log Linear‌Q(t) = 1.178862254230006e^(-0.888386453333514t)‌,,Normal
02HJ001,CopyPaste,QR,2023-12-14T03:10:00,2023-12-14T15:45:00,2024-01-27T16:22:33,-5,Override: Log Linear‌Q(t) = 0.9355908389066037e^(-0.11048946768140867t)‌,,Normal
02HJ001,CopyPaste,QR,2023-11-29T03:30:00,2023-11-29T15:10:00,2024-01-27T16:18:30,-5,Override: Log Linear‌Q(t) = 0.5314911868643463e^(0.08107161091629866t)‌,,Normal
02HJ001,Drift,HG,2023-07-20T11:38:00,2023-10-04T11:25:00,2023-10-05T14:05:39,-5,SRC APPLIED VISIT TO VISIT: -0.004m,"DriftPoints:(Offset:0,Time:2023-07-20T11:38:00Z);(Offset:-0.004,Time:2023-10-04T11:25:00Z)",Normal
02HJ001,DeleteRegion,HG,2023-05-16T12:40:00,2023-05-16T12:45:00,2023-05-16T15:05:25,-5,DISREGARD: DUE TO ON SITE INTAKE FLUSH,,Normal
02HJ001,DeleteRegion,HG,2023-01-24T14:25:00,2023-01-24T14:25:00,2023-01-24T15:23:25,-5,DISREGARD ERRONEOUS POINT,,Normal
02HJ001,CopyPaste,HG,2023-01-24T13:35:00,2023-01-24T13:46:14,2023-01-24T15:24:02,-5,"COPY AND PASTE FOR LOST DATA POINT DURING VISITOverride: Copy & Paste‌Source Data Set: Stage.Logger@02HJ001, time shift: 00:00 minutes.‌",,PreProcessing
02HJ001,CopyPaste,HG,2022-10-24T06:55:00,2022-10-25T12:50:00,2022-10-25T13:50:16,-5,"Copy & Paste from Stage.Logger - Gap FillOverride: Copy & Paste‌Source Data Set: Stage.Logger@02HJ001, time shift: 00:00 minutes.‌",,PreProcessing
02HJ001,Offset,HG,2022-09-23T15:05:00,2022-10-25T12:50:00,2022-09-26T18:46:57,-5,SRC: Offset of -.230 applied from jump observed on Sept 23 when shaft encoder lost offset to Oct 25 visit when the logger was reset.,Offset:-0.23,Normal
02HJ001,DeleteRegion,HG,2022-05-17T12:45:00,2022-05-17T12:45:00,2022-05-17T17:23:12,-5,Well intakes flushed,,Normal
02HJ001,Offset,HG,2022-04-12T18:40:00,2022-05-17T12:15:00,2022-04-12T20:18:28,-5,"SRC: Offset of +.166m applied from April 12, when logger lost offset to May 17 when logger was reset.  ",Offset:0.166,Normal
02HJ001,Drift,HG,2022-01-14T17:25:00,2022-03-11T13:40:00,2022-03-11T16:06:02,-5,SRC: +.009 applied from WL drop observed on Jan 14 and drifting to +.008 on March 11 visit.,"DriftPoints:(Offset:0.009,Time:2022-01-14T17:25:00Z);(Offset:0.008,Time:2022-03-11T13:40:00Z)",Normal
02HJ001,Drift,HG,2021-09-23T13:35:00,2021-12-08T13:17:00,2021-12-21T14:48:42,-5,SRC: Drift of +.002 applied visit to visit,"DriftPoints:(Offset:0,Time:2021-09-23T13:35:00Z);(Offset:0.002,Time:2021-12-08T13:17:00Z)",Normal
02HJ001,DeleteRegion,HG,2021-09-18T01:05:00,2021-09-18T01:05:00,2021-09-20T11:40:20,-5,disregard data - erroneous value,,Normal
02HJ001,DeleteRegion,HG,2021-09-08T03:35:00,2021-09-08T03:35:00,2021-11-10T20:22:29,-5,DISREGARD - erroneous value,,Normal
02HJ001,DeleteRegion,HG,2021-07-11T01:00:00,2021-07-11T01:00:00,2021-07-14T11:53:43,-5,DISREGARD DATA,,Normal
02HJ001,RevertToRaw,HG,2021-07-11T00:25:00,2021-07-11T01:35:00,2021-07-14T11:53:28,-5,,,Normal
02HJ001,DeleteRegion,HG,2021-06-30T12:20:00,2021-06-30T12:20:00,2021-09-17T12:49:41,-5,,,Normal
02HJ001,DeleteRegion,HG,2021-06-15T01:50:00,2021-06-15T01:50:00,2021-06-21T10:13:44,-5,disregard data,,Normal
02HJ001,DeleteRegion,HG,2021-06-12T01:25:00,2021-06-12T01:25:00,2021-06-21T10:13:18,-5,disregard data,,Normal
02HJ001,DeleteRegion,HG,2021-06-11T02:40:00,2021-06-11T02:40:00,2021-06-21T10:12:33,-5,disregard data,,Normal
