STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02HK008,H,2002,H,8.0,6,16,9,0,EST,2.469000101089477, ,Maximum
02HK008,H,2002,L,8.0,9,25,15,38,EST,1.215999960899353, ,Minimum
02HK008,H,2003,H,8.0,3,23,22,47,EST,2.380000114440918, ,Maximum
02HK008,H,2003,L,8.0,9,10,9,31,EST,1.187999963760376, ,Minimum
02HK008,H,2004,H,8.0,3,6,1,45,EST,2.4059998989105225, ,Maximum
02HK008,H,2004,L,8.0,9,7,4,15,EST,1.225000023841858, ,Minimum
02HK008,H,2005,H,8.0,4,3,14,50,EST,2.430000066757202,,Maximum
02HK008,H,2005,L,8.0,8,30,10,0,EST,1.194000005722046,,Minimum
02HK008,H,2006,H,8.0,3,14,3,40,EST,2.319999933242798,,Maximum
02HK008,H,2006,L,8.0,9,2,7,2,EST,1.2100000381469729,,Minimum
02HK008,H,2007,H,8.0,4,20,3,46,EST,2.1670000553131104,,Maximum
02HK008,H,2007,L,8.0,9,25,18,0,EST,1.1959999799728394,,Minimum
02HK008,H,2008,H,8.0,4,12,10,50,EST,2.561000108718872,,Maximum
02HK008,H,2008,L,8.0,9,5,13,0,EST,1.2389999628067017,,Minimum
02HK008,H,2009,H,8.0,4,4,11,20,EST,2.5209999084472656,,Maximum
02HK008,H,2009,L,8.0,9,20,9,15,EST,1.2289999723434448,,Minimum
02HK008,H,2011,H,8.0,3,18,22,5,EST,2.4809999465942383,,Maximum
02HK008,H,2011,L,8.0,9,12,17,0,EST,1.2380000352859497,,Minimum
02HK008,H,2012,H,8.0,3,17,1,0,EST,2.2249999046325684,,Maximum
02HK008,H,2012,L,8.0,9,3,17,30,EST,1.187999963760376,,Minimum
02HK008,H,2013,H,8.0,3,12,19,0,EST,2.4089999198913574,,Maximum
02HK008,H,2013,L,8.0,8,22,7,30,EST,1.246999979019165,,Minimum
02HK008,H,2014,H,8.0,4,8,15,0,EST,2.678999900817871,,Maximum
02HK008,H,2014,L,8.0,8,29,13,30,EST,1.27400004863739,,Minimum
