Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02HM004,18.00,New curve to account for more recent measurements with low end measurements taken closer to the gauge.,LogarithmicTable,Provisional/Provisoire,(6.51467:6.105);(5.92);
02HM004,17.01,Lowered bottom end for 2016 low water.,LogarithmicTable,Final/Finales,(6.5194:6.101);(5.81);
02HM004,17.00,Fine tuning curve and using newer methods of drawing.,LogarithmicTable,Final/Finales,(6.5194:6.101);(5.81);
02HM004,16.000,Adjusting upper end to 2013 and 2014 measurements.,LogarithmicTable,Final/Finales,(6.105);
02HM004,15.000,NEW CURVE USING RDT,LogarithmicTable,Final/Finales,(6.105);
02HM004,14.000,Adj low end of curve to account for changing ctl,LinearTable,Final/Finales,
02HM004,13.000,Curve 12 Changed  6.125-7.7 to reflect 07/08 Mmnts,LinearTable,Final/Finales,
02HM004,12.000,,LinearTable,Final/Finales,
02HM004,12.000-SC4,,LinearTable,Final/Finales,
02HM004,12.000-SC3,,LinearTable,Final/Finales,
02HM004,11.000,,LinearTable,Final/Finales,
02HM004,11.000-SC1,,LinearTable,Final/Finales,
02HM004,10.000,,LinearTable,Final/Finales,
