STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02KA015,H,2009,H,8.0,4,5,9,20,EST,4.743000030517578,,Maximum
02KA015,H,2009,L,8.0,9,26,7,15,EST,3.562000036239624,,Minimum
02KA015,H,2010,L,8.0,8,15,5,45,EST,3.4679999351501465,,Minimum
02KA015,H,2011,H,8.0,4,12,20,50,EST,4.960000038146973,,Maximum
02KA015,H,2012,H,8.0,3,18,23,0,EST,4.995999813079834,,Maximum
02KA015,H,2012,L,8.0,9,7,15,0,EST,3.4749999046325684,,Minimum
02KA015,H,2013,H,8.0,4,20,10,0,EST,5.186999797821045,,Maximum
02KA015,H,2013,L,8.0,8,23,19,0,EST,3.4739999771118164,,Minimum
02KA015,H,2014,H,8.0,4,14,14,0,EST,4.761000156402588,,Maximum
02KA015,H,2014,L,8.0,8,12,4,0,EST,3.526000022888184,,Minimum
02KA015,H,2015,L,8.0,9,7,17,55,EST,3.46399998664856,,Minimum
02KA015,H,2016,H,8.0,4,23,13,15,EST,4.61299991607666,,Maximum
02KA015,H,2017,H,8.0,4,17,11,10,EST,4.980999946594238,,Maximum
02KA015,H,2017,L,8.0,8,3,7,40,EST,3.553999900817871,,Minimum
02KA015,H,2018,H,8.0,5,3,11,55,EST,4.873000144958496, ,Maximum
02KA015,H,2018,L,8.0,7,22,11,25,EST,3.447999954223633, ,Minimum
02KA015,H,2019,H,8.0,4,22,8,0,EST,5.28000020980835, ,Maximum
02KA015,H,2019,L,8.0,9,3,8,25,EST,3.421999931335449, ,Minimum
02KA015,H,2020,H,8.0,4,7,2,45,EST,4.451000213623047, ,Maximum
02KA015,H,2020,L,8.0,6,22,22,25,EST,3.5739998817443848, ,Minimum
02KA015,H,2021,H,8.0,3,26,15,5,EST,4.422999858856201, ,Maximum
02KA015,H,2021,L,8.0,9,4,15,35,EST,3.4570000171661377, ,Minimum
02KA015,H,2022,H,8.0,4,15,8,30,EST,4.494999885559082, ,Maximum
02KA015,H,2022,L,8.0,9,12,21,55,EST,3.4679999351501465, ,Minimum
02KA015,H,2023,H,8.0,4,17,13,45,EST,5.142000198364258, ,Maximum
02KA015,H,2023,L,8.0,8,7,4,30,EST,3.5179998874664307, ,Minimum
02KA015,H,2024,H,8.0,4,13,19,35,EST,4.309000015258789, ,Maximum
02KA015,H,2024,L,8.0,8,16,9,55,EST,3.509000062942505, ,Minimum
02KA015,Q,2009,H,,4,5,9,20,EST,26.0, ,Maximum
02KA015,Q,2009,L,,9,26,7,15,EST,0.16200000047683716, ,Minimum
02KA015,Q,2010,H,,4,9,2,30,EST,8.59000015258789, ,Maximum
02KA015,Q,2010,L,,8,15,5,45,EST,0.00800000037997961, ,Minimum
02KA015,Q,2011,H,,4,12,20,50,EST,33.900001525878906,,Maximum
02KA015,Q,2012,H,,3,21,22,0,EST,33.79999923706055,,Maximum
02KA015,Q,2013,H,,4,20,10,0,EST,43.79999923706055,,Maximum
02KA015,Q,2013,L,,8,23,19,0,EST,0.07999999821186066,,Minimum
02KA015,Q,2014,H,,4,23,7,0,EST,22.0,,Maximum
02KA015,Q,2014,L,,8,12,4,0,EST,0.16200000047683716,,Minimum
02KA015,Q,2016,H,,4,23,10,10,EST,20.100000381469727,,Maximum
02KA015,Q,2017,H,,4,17,11,10,EST,34.900001525878906,,Maximum
02KA015,Q,2017,L,,8,3,7,40,EST,0.2280000001192093,,Minimum
02KA015,Q,2018,H,,5,3,11,55,EST,29.399999618530277, ,Maximum
02KA015,Q,2018,L,,7,31,13,30,EST,0.05099999904632568, ,Minimum
02KA015,Q,2019,H,,4,22,8,0,EST,47.70000076293945, ,Maximum
02KA015,Q,2020,H,,4,7,2,45,EST,15.300000190734863, ,Maximum
02KA015,Q,2020,L,,6,22,22,25,EST,0.2949999868869781, ,Minimum
02KA015,Q,2021,H,,3,26,15,5,EST,14.5, ,Maximum
02KA015,Q,2021,L,,9,4,19,25,EST,0.05299999937415123, ,Minimum
02KA015,Q,2022,H,,4,15,8,30,EST,16.5, ,Maximum
02KA015,Q,2022,L,,9,12,21,55,EST,0.07500000298023224, ,Minimum
02KA015,Q,2023,H,,4,17,13,45,EST,40.5, ,Maximum
02KA015,Q,2023,L,,8,7,4,30,EST,0.17800000309944153, ,Minimum
02KA015,Q,2024,H,,4,13,19,35,EST,11.600000381469728, ,Maximum
02KA015,Q,2024,L,,8,16,13,15,EST,0.1449999958276749, ,Minimum
