STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02KC018,H,2008,H,8.0,4,11,1,50,EST,5.2820000648498535,,Maximum
02KC018,H,2009,H,8.0,3,31,18,30,EST,5.267000198364258,,Maximum
02KC018,H,2011,H,8.0,4,12,15,0,EST,5.526000022888184,,Maximum
02KC018,H,2011,L,8.0,9,21,15,0,EST,2.532999992370605,,Minimum
02KC018,H,2012,H,8.0,3,19,15,0,EST,4.638999938964844,,Maximum
02KC018,H,2012,L,8.0,9,4,9,0,EST,2.444000005722046,,Minimum
02KC018,H,2013,H,8.0,4,20,17,0,EST,5.289000034332275,,Maximum
02KC018,H,2014,H,8.0,4,13,5,15,EST,4.664000034332275,,Maximum
02KC018,H,2014,L,8.0,8,12,7,10,EST,2.5369999408721924,,Minimum
02KC018,H,2015,H,8.0,4,3,22,45,EST,3.884000062942505,,Maximum
02KC018,H,2015,L,8.0,9,30,23,20,EST,2.484999895095825,,Minimum
02KC018,H,2016,H,8.0,4,2,12,40,EST,4.919000148773193,,Maximum
02KC018,H,2016,L,8.0,8,11,18,10,EST,2.489000082015991,,Minimum
02KC018,H,2017,H,8.0,4,12,15,40,EST,6.03000020980835,,Maximum
02KC018,H,2017,L,8.0,9,29,3,40,EST,2.630000114440918,,Minimum
02KC018,H,2018,H,8.0,4,27,21,40,EST,5.173999786376953,,Maximum
02KC018,H,2018,L,8.0,9,21,0,0,EST,2.5390000343322754,,Minimum
02KC018,H,2019,H,8.0,4,21,3,25,EST,5.986000061035156, ,Maximum
02KC018,H,2019,L,8.0,8,26,2,55,EST,2.5160000324249268, ,Minimum
02KC018,H,2020,H,8.0,4,2,1,5,EST,5.206999778747559, ,Maximum
02KC018,H,2020,L,8.0,8,2,5,5,EST,2.615999937057495, ,Minimum
02KC018,H,2021,H,8.0,3,27,23,35,EST,4.317999839782715, ,Maximum
02KC018,H,2021,L,8.0,9,20,5,35,EST,2.496000051498413, ,Minimum
02KC018,H,2022,H,8.0,3,20,20,55,EST,3.992000102996826, ,Maximum
02KC018,H,2022,L,8.0,9,11,16,45,EST,2.5429999828338623, ,Minimum
02KC018,H,2023,H,8.0,4,15,5,35,EST,5.468999862670898, ,Maximum
02KC018,H,2023,L,8.0,9,30,19,35,EST,2.555999994277954, ,Minimum
02KC018,H,2024,H,8.0,6,24,11,50,EST,3.5209999084472656, ,Maximum
02KC018,H,2024,L,8.0,8,4,15,30,EST,2.565000057220459, ,Minimum
02KC018,Q,2008,H,,4,11,1,50,EST,58.400001525878906, ,Maximum
02KC018,Q,2009,H,,4,5,13,55,EST,51.0, ,Maximum
02KC018,Q,2011,H,,4,12,15,0,EST,69.0999984741211,,Maximum
02KC018,Q,2011,L,,9,17,21,0,EST,0.49799999594688416,,Minimum
02KC018,Q,2012,H,,3,20,21,0,EST,35.099998474121094,,Maximum
02KC018,Q,2013,H,,4,20,17,0,EST,62.5,,Maximum
02KC018,Q,2013,L,,8,26,8,0,EST,0.531000018119812,,Minimum
02KC018,Q,2014,L,,8,12,7,10,EST,0.6240000128746033,,Minimum
02KC018,Q,2015,L,,9,30,23,20,EST,0.3630000054836273,,Minimum
02KC018,Q,2016,H,,4,2,12,40,EST,57.70000076293945,,Maximum
02KC018,Q,2016,L,,8,11,18,10,EST,0.3190000057220459,,Minimum
02KC018,Q,2017,H,,4,12,15,40,EST,108.0,,Maximum
02KC018,Q,2017,L,,9,29,3,40,EST,1.2000000476837158,,Minimum
02KC018,Q,2018,H,,4,27,18,20,EST,70.30000305175781,,Maximum
02KC018,Q,2018,L,,9,21,0,0,EST,0.5410000085830688,,Minimum
02KC018,Q,2019,H,,4,21,3,25,EST,105.0, ,Maximum
02KC018,Q,2020,L,,8,2,5,5,EST,1.100000023841858, ,Minimum
02KC018,Q,2021,H,,3,27,23,35,EST,39.20000076293945, ,Maximum
02KC018,Q,2021,L,,9,20,5,35,EST,0.32499998807907104, ,Minimum
02KC018,Q,2022,H,,4,27,13,10,EST,23.100000381469727, ,Maximum
02KC018,Q,2022,L,,9,11,20,10,EST,0.4149999916553497, ,Minimum
02KC018,Q,2023,H,,4,15,5,35,EST,82.5999984741211, ,Maximum
02KC018,Q,2023,L,,9,30,19,35,EST,0.7770000100135803, ,Minimum
02KC018,Q,2024,H,,6,24,11,50,EST,16.299999237060547, ,Maximum
02KC018,Q,2024,L,,8,4,20,25,EST,0.7570000290870667, ,Minimum
