Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02KD002,Drift,HG,2023-09-27T13:00:00,2024-01-24T12:30:00,2024-01-25T19:59:05,-5,SRC: Logger not reset on 2024-01-23 visit due to surge. Drift of +0.006m applied from 2023-09-27 visit to 2024-01-24 visit when logger was reset.,"DriftPoints:(Offset:0,Time:2023-09-27T13:00:00Z);(Offset:0.006,Time:2024-01-24T12:30:00Z)",Normal
02KD002,DeleteRegion,HG,2023-09-27T12:10:00,2023-09-27T12:10:00,2023-10-24T18:34:32,-5,purged sensing line,,Normal
02KD002,Drift,HG,2023-09-27T11:50:00,2023-09-27T12:20:00,2023-09-27T17:43:03,-5,SRC APPLIED AFTER PURGE: -0.013m,"DriftPoints:(Offset:-0.013,Time:2023-09-27T11:50:00Z);(Offset:-0.013,Time:2023-09-27T12:20:00Z)",Normal
02KD002,Drift,HG,2023-07-11T18:30:00,2023-09-27T11:45:00,2023-09-27T17:42:25,-5,SRC APPLIED VISIT TO VISIT: -0.016m,"DriftPoints:(Offset:0,Time:2023-07-11T18:30:00Z);(Offset:-0.016,Time:2023-09-27T11:45:00Z)",Normal
02KD002,CopyPaste,HG,2023-05-30T20:20:00,2023-05-30T20:52:03,2023-05-31T14:14:57,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
02KD002,CopyPaste,HG,2023-05-03T06:40:00,2023-05-03T06:50:00,2023-05-31T14:13:54,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
02KD002,CopyPaste,HG,2023-04-05T20:20:00,2023-04-05T22:25:00,2023-05-31T14:12:32,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
02KD002,CopyPaste,HG,2023-04-05T11:20:00,2023-04-05T12:25:00,2024-02-15T13:38:07,-5,"Override: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
02KD002,CopyPaste,HG,2023-03-28T22:20:00,2023-03-29T08:25:00,2023-05-31T14:17:45,-5,"COPY PASTE:Override: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
02KD002,CopyPaste,QR,2023-02-03T21:15:00,2023-02-10T21:15:00,2024-01-09T15:32:13,-5,ICEOverride: Log Linear‌Q(t) = 10.838546811624285e^(-0.010512656750567851t)‌,,Normal
02KD002,Drift,HG,2023-01-23T18:35:00,2023-05-30T20:45:00,2023-05-31T14:15:43,-5,SRC APPLIED VISIT TO VISIT: +0.009m,"DriftPoints:(Offset:0,Time:2023-01-23T18:35:00Z);(Offset:0.009,Time:2023-05-30T20:45:00Z)",Normal
02KD002,CopyPaste,HG,2022-12-16T13:20:00,2022-12-16T14:25:00,2023-01-23T19:28:31,-5,"COPY AND PASTE FOR ERRONEOUS TRANSMISSIONOverride: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
02KD002,CopyPaste,HG,2022-12-16T07:20:00,2022-12-16T10:25:00,2023-01-23T19:26:49,-5,"COPY AND PASTE FOR GAP FILLINGOverride: Copy & Paste‌Source Data Set: Stage.Logger@02KD002, time shift: 00:00 minutes.‌",,PreProcessing
