Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02MC028,2024-06-04T16:35:00,-5,Stage/Niveau d'eau,1.612,,,,,,,,,HG: 1.613 No Reset (NR),,,,,,Provisional/Provisoire,
02MC028,2024-06-04T16:11:00,-5,Discharge/Débit,,1.613,0.17,7.0,-0.0394,-0.29610002,-0.29610002,"Measurement condition : Vegetation; Partly Cloudy , No Precipitation , Calm Wind ","Same tree stump on control, weeds in the notch. Did not clean/clear the control. ","FT2 Wading MMT taken on the u/s side of the footbridge. Good MMT. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ We did not notice a big difference in DWL and ECG reading, the values were similar due to being in a slow recession during the time of visit. Flushing of the intake had no direct impact on the well. We suspect a slow response time of the well during rapidly rising/receding WL. Therefore, DWL should be taken during these times.  Mid-section",8.0,1.94,0.088,25.0,23.0,Provisional/Provisoire,16.1
02MC028,2024-06-04T15:40:00,-5,Stage/Niveau d'eau,1.614,,,,,,,,,HG: 1.613 No Reset (NR),,,,,,Provisional/Provisoire,
02MC028,2024-06-04T15:05:00,-5,Stage/Niveau d'eau,1.613,,,,,,,,,HG: 1.615 No Reset (NR),,,,,,Provisional/Provisoire,
02MC028,2024-04-25T14:34:30,-5,Discharge/Débit,,1.772,2.39,7.0,0.00612,0.0571,0.0011,"Measurement condition : Debris; Clear , No Precipitation , Calm Wind ","1 tree stump, 1 small branch along with algae on all width of control.","FT2 Wading MMT taken on the d/s side of the footbridge. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ No SRC.  Mid-section",10.5,5.29,0.451,2.0,6.0,Provisional/Provisoire,5.38
02MC028,2024-04-25T13:10:00,-5,Stage/Niveau d'eau,1.77,,,,,,,,,HG: 1.770 No Reset (NR),,,,,,Provisional/Provisoire,
02MC028,2024-03-11T18:48:30,-5,Discharge/Débit,,1.936,7.41,7.0,0.0169,0.087299995,-0.0004,"Measurement condition : Debris; Partly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream","No ice, 1 tree stump on control. ","ADCP SPro MMT 20m d/s of Power Dam rd Bridge (Q = 7.43cms). Subtracting FT2 MMT (Q = 0.023cms) taken 50m u/s in the complimentary tributary situated on left bank d/s of control but u/s of ADCP MMT location. eHSN Q has been modified to subtract tributary Q, other values are all related to the ADCP MMT. Consult 02MC028_20240311_M2 summary file for details of the tributary MMT.  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ No SRC ADCP by Moving Boat",14.2,21.2,0.351,-2.0,1.0,Provisional/Provisoire,4.3
02MC028,2024-03-11T17:35:00,-5,Stage/Niveau d'eau,1.933,,,,,,,,,HG: 1.933 No Reset (NR),,,,,,Provisional/Provisoire,
02MC028,2024-02-26T16:56:00,-5,Discharge/Débit,,1.7,0.75,7.0,-0.0181,-0.2451,-0.0019,"Measurement condition : Debris; Clear , No Precipitation , Light Wind ","No ice, 1 tree stump on top of control","FT2 Wading MMT on d/s side of footbridge. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ No SRC Mid-section",9.6,3.1,0.242,2.0,0.0,Provisional/Provisoire,9.63
02MC028,2024-02-26T16:35:00,-5,Stage/Niveau d'eau,1.699,,,,,,,,,HG: 1.700 No Reset (NR),,,,,,Provisional/Provisoire,
