Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02YC001,16.0,Curve #16.00 is a Medium Water Refinement of Curve #15.00. This was based on measurements obtained in 2022 and 2023,LogarithmicTable,Provisional/Provisoire,(0.25);
02YC001,15.0,Slight curve curve refinement of curve 14 was required using a low water measurement that was taken during 2017.  This refinement is between 0.730m and 1.05meters.,LogarithmicTable,Final/Finales,(1.142:0.25);(0.42);
02YC001,14.0,Curve refinement using all mm from curve 13 plus 2013 mm,LogarithmicTable,Final/Finales,(1.142:0.25);(0.42);
02YC001,13.0,Extend low end to cover range for 2012,LogarithmicTable,Final/Finales,(1.142:0.45);(0.52);
02YC001,12.0,MEDIUM REFINEMENT USING 2010 MM.,LinearTable,Final/Finales,
02YC001,11.0,,LinearTable,Final/Finales,
02YC001,10.0,low-med change based on 2006 mm results,LinearTable,Final/Finales,
02YC001,9.0,,LinearTable,Final/Finales,
02YC001,8.0,,LinearTable,Final/Finales,
02YC001,7.0,,LinearTable,Final/Finales,
02YC001,6.0,,LinearTable,Final/Finales,
