Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02YL005,2024-05-01T12:44:00,-3.5,Discharge/Débit,,0.477,0.78,38.0,0.012,0.046,0.046,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Light Wind Blowing Cross Stream", 100% OPEN,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ HG TAKEN AS CORRECT - NO RESET Mid-section",5.5,2.01,0.387,,,Provisional/Provisoire,4.92
02YL005,2024-05-01T12:15:00,-3.5,Stage/Niveau d'eau,0.476,,,,,,,,,HG: 0.479 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02YL005,2024-04-12T18:25:00,-3.5,Discharge/Débit,,0.324,0.266,38.0,0.00438,0.0418,0.0418,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream",100% OPEN,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ HG RESET TO OSWL (0.005m) Mid-section",4.8,1.34,0.198,8.0,4.9,Provisional/Provisoire,10.2
02YL005,2024-04-12T17:35:00,-3.5,Stage/Niveau d'eau,0.323,,,,,,,,,HG: 0.318 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02YL005,2024-01-17T19:35:00,-3.5,Stage/Niveau d'eau,0.297,,,,,,,,,HG: 0.300 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02YL005,2023-12-14T14:25:00,-3.5,Stage/Niveau d'eau,0.429,,,,,,,,,HG: 0.428 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02YL005,2023-10-18T17:15:00,-3.5,Discharge/Débit,,0.269,0.151,37.0,0.0228,0.0273,0.0273,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind ",100% OPEN,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File).;2 DISCHARGE MEASUREMENTS TAKEN - SECOND MM 30.9 % FROM RATING CURVE 37.00 WITH DISCHARGE OF 0.151CMS AND A GH OF 0.267",5.0,1.06,0.142,10.0,8.3,Final/Finales,17.1
02YL005,2023-10-18T17:09:30,-3.5,Discharge/Débit,,0.269,0.154,37.0,0.0228,0.0477,0.0477,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind ",100% OPEN,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). 2 DISCHARGE MEASUREMENTS TAKEN - SECOND MM 30.9 % FROM RATING CURVE 37.00 WITH DISCHARGE OF 0.151CMS AND A GH OF 0.267 HG RESET TO OSWL (-0.012m) Mid-section",5.05,1.09,0.141,10.0,8.3,Final/Finales,17.1
02YL005,2023-10-18T16:40:00,-3.5,Stage/Niveau d'eau,0.269,,,,,,,,,HG: 0.281 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
02YL005,2023-08-09T12:50:30,-3.5,Discharge/Débit,,0.209,0.065,37.0,0.0184,0.0378,0.0378,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Blowing Downstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ 2 measurement were taken during site visit. HG CORRECT Mid-section",4.5,0.833,0.078,15.0,,Final/Finales,15.5
02YL005,2023-08-09T12:13:30,-3.5,Discharge/Débit,,0.209,0.061,37.0,0.0184,-0.029000001,-0.029000001,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Blowing Downstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @;2 measurement were taken during site visit.",4.5,0.842,0.073,15.0,,Final/Finales,15.5
02YL005,2023-08-09T11:25:00,-3.5,Stage/Niveau d'eau,0.209,,,,,,,,,HG: 0.209 No Reset (NR),,,,,,Final/Finales,
