Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02YN004,2024-05-01T20:42:00,-3.5,Discharge/Débit,,1.834,21.6,11.0,-0.00435,-0.0093,-0.0093,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Downstream",100% OPEN,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ HG RESET TO OSWL (0.012m) ADCP by Moving Boat",24.0,27.2,0.794,14.0,,Provisional/Provisoire,4.7
02YN004,2024-05-01T20:10:00,-3.5,Stage/Niveau d'eau,1.835,,,,,,,,,HG: 1.823 Surge: 0.004  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02YN004,2024-02-12T15:02:00,-3.5,Discharge/Débit,,1.445,1.43,11.0,-0.306,-0.8072,-0.8072,"Measurement condition : Ice; Cloudy , Flurries , Light Wind Blowing Upstream",100% ICE COVER - ICE APPEARS TO HAVE BUSTED OPEN AND RE-FROZE,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ HG NOT RESET - UNSURE IF CORRECT OR SLUSH ON LINE. IF A JUMP IN THE DATA WARRANTS A CORRECTION AND OPEN ENDED CORRECTION IN AQUARIUS MAY BE WARRANTED. OTHERWISE TO BE DETERMINED DURING SPRING VISIT  Mid-section",17.5,3.9,0.368,-6.0,0.2,Final/Finales,26.6
02YN004,2024-02-12T14:40:00,-3.5,Stage/Niveau d'eau,1.396,,,,,,,,,HG: 1.445 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02YN004,2023-12-12T18:05:00,-3.5,Stage/Niveau d'eau,2.347,,,,,,,,,HG: 2.317 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
02YN004,2023-05-27T18:48:00,-3.5,Discharge/Débit,,1.928,26.6,11.0,0.00356,0.0069,0.0069,"Measurement condition : Clear; Cloudy , No Precipitation , Moderate Wind Blowing Upstream",100% OPEN,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ HG CORRECT - NO RESET ADCP by Moving Boat",27.7,31.5,0.843,5.0,10.5,Final/Finales,10.0
02YN004,2023-05-27T18:10:00,-3.5,Stage/Niveau d'eau,1.933,,,,,,,,,HG: 1.933 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02YN004,2023-03-02T20:10:00,-3.5,Stage/Niveau d'eau,1.441,,,,,,,,,HG: 1.455 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02YN004,2022-11-16T13:25:00,-3.5,Stage/Niveau d'eau,1.435,,,,,,,,,HG: 1.455 Reset (RS),,,,,,Final/Finales,
02YN004,2022-05-19T12:26:30,-3.5,Discharge/Débit,,2.27,43.8,11.0,-0.0458,-0.0634,-0.0634,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Upstream",,RESET TO OSWL. ADCP by Moving Boat,36.3,53.0,0.827,5.0,6.0,Final/Finales,5.3
