Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02YO012,25.00,New curve #25.00 created for 2022.  Curve #25.00 is a clone of curve #24.00 with a change on the low end of curve.  This curve change is based on 5 open water measurements taken in 2022.,LogarithmicTable,Provisional/Provisoire,(1.24927:0.521);(0.521);
02YO012,24.00,New curve #24 for 2019.  New curve required due to refinement on low end.  This curve change occurred at GH of 0.730 and below.,LogarithmicTable,Final/Finales,(1.24927:0.521);(0.521);
02YO012,23.00,New curve #23 for 2018.  New curve required due to refinement on low end.  This curve change occurred at GH of 0.780 and below.,LogarithmicTable,Final/Finales,(1.24927:0.521);(0.521);
02YO012,22.00,New curve #22 for 2017.  New curve required due to refinement on both low and high ends of curve as a result of 2017 measurements.,LogarithmicTable,Final/Finales,(1.24927:0.521);(0.521);
02YO012,21.00,Low end refinement 1.249m and below based on 2016mmts.,LogarithmicTable,Final/Finales,(1.24927:0.521);(0.521);
02YO012,20.000,,LogarithmicTable,Final/Finales,(0.524);
02YO012,19.000,Refinement between 1.0m to 1.25.,LinearTable,Final/Finales,
02YO012,18.000,HQFIT1.0,LinearTable,Final/Finales,
02YO012,17.000,HQFIT1.0,LinearTable,Final/Finales,
02YO012,16.000,Curve change below 1.270 based on 2008 mms.,LinearTable,Final/Finales,
02YO012,15.000,HQFIT1.0,LinearTable,Final/Finales,
02YO012,14.000,Curve #14 refinement of 13 based on 2006 mms.,LinearTable,Final/Finales,
02YO012,13.000,#13 refinement of #12 below .98 using 2005 mm's.,LinearTable,Final/Finales,
02YO012,12.000,#12 refinement of #11 below .76 using 2004mm's,LinearTable,Final/Finales,
02YO012,11.000,#11 refinement of #10 below .69 using 2003mm's,LinearTable,Final/Finales,
02YO012,10.000,#10 refinement of #9 below .950 using 2002mm's,LinearTable,Final/Finales,
02YO012,9.000,#9 refinement of #8 using same mm except 2000-0706,LinearTable,Final/Finales,
02YO012,8.000,,LinearTable,Final/Finales,
02YO012,7.000,,LinearTable,Final/Finales,
02YO012,6.000,,LinearTable,Final/Finales,
02YO012,5.000-SC1,,LinearTable,Final/Finales,
02YO012,5.000,,LinearTable,Final/Finales,
02YO012,4.000,,LinearTable,Final/Finales,
