STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02YQ005,H,2011,H,8.0,10,27,10,30,NST,1.5700000524520874, ,Maximum
02YQ005,H,2011,L,8.0,8,31,18,30,NST,0.6480000019073486, ,Minimum
02YQ005,H,2012,H,8.0,2,14,5,30,NST,2.2790000438690186,,Maximum
02YQ005,H,2012,L,8.0,8,10,19,30,NST,0.5849999785423279,,Minimum
02YQ005,H,2013,H,8.0,3,15,17,30,NST,2.3359999656677246,,Maximum
02YQ005,H,2013,L,8.0,7,11,20,30,NST,0.621999979019165,,Minimum
02YQ005,H,2014,H,8.0,4,16,3,15,NST,2.2320001125335693,,Maximum
02YQ005,H,2014,L,8.0,8,4,22,0,NST,0.5239999890327454,,Minimum
02YQ005,H,2015,H,8.0,2,7,13,15,NST,2.369999885559082,,Maximum
02YQ005,H,2015,L,8.0,7,20,21,10,NST,0.5460000038146973,,Minimum
02YQ005,H,2016,H,8.0,10,11,1,30,NST,2.677999973297119,,Maximum
02YQ005,H,2016,L,8.0,8,22,18,15,NST,0.6129999756813049,,Minimum
02YQ005,H,2017,H,8.0,4,11,20,10,NST,2.0209999084472656,,Maximum
02YQ005,H,2017,L,8.0,7,20,14,55,NST,0.6000000238418579,,Minimum
02YQ005,H,2018,H,8.0,2,3,14,55,NST,2.993000030517578,,Maximum
02YQ005,H,2018,L,8.0,8,30,7,0,NST,0.4889999926090241,,Minimum
02YQ005,H,2019,H,8.0,4,2,9,5,NST,2.4590001106262207, ,Maximum
02YQ005,H,2019,L,8.0,9,10,9,15,NST,0.5820000171661377, ,Minimum
02YQ005,H,2020,H,8.0,5,3,9,55,NST,1.7990000247955322, ,Maximum
02YQ005,H,2020,L,8.0,7,29,20,5,NST,0.5580000281333923, ,Minimum
02YQ005,H,2021,H,8.0,4,13,4,30,NST,1.743000030517578, ,Maximum
02YQ005,H,2021,L,8.0,7,19,15,40,NST,0.5519999861717224, ,Minimum
02YQ005,H,2023,L,8.0,8,6,7,10,NST,0.574999988079071, ,Minimum
02YQ005,H,2024,L,8.0,7,31,14,55,NST,0.5860000252723694, ,Minimum
02YQ005,Q,1991,H,,5,18,8,29,NST,26.700000762939453,E,Maximum
02YQ005,Q,1993,H,,4,24,22,0,NST,48.20000076293945,,Maximum
02YQ005,Q,1994,H,,5,6,23,12,NST,27.100000381469727,,Maximum
02YQ005,Q,1995,H,,11,27,20,4,NST,35.900001525878906,,Maximum
02YQ005,Q,1996,H,,9,25,4,0,NST,42.5,,Maximum
02YQ005,Q,1997,H,,9,5,20,30,NST,37.400001525878906,,Maximum
02YQ005,Q,1998,H,,9,6,20,30,NST,49.79999923706055,,Maximum
02YQ005,Q,1999,H,,4,29,21,30,NST,18.200000762939453, ,Maximum
02YQ005,Q,2000,H,,10,11,6,30,NST,20.0, ,Maximum
02YQ005,Q,2001,H,,4,28,22,30,NST,31.0, ,Maximum
02YQ005,Q,2002,H,,11,15,16,30,NST,22.200000762939453, ,Maximum
02YQ005,Q,2003,H,,11,23,2,30,NST,58.29999923706055, ,Maximum
02YQ005,Q,2004,H,,9,21,21,30,NST,58.79999923706055, ,Maximum
02YQ005,Q,2005,H,,5,3,0,30,NST,28.799999237060547, ,Maximum
02YQ005,Q,2006,H,,4,18,10,30,NST,71.5999984741211,E,Maximum
02YQ005,Q,2007,H,,11,12,14,30,NST,13.100000381469728, ,Maximum
02YQ005,Q,2009,H,,7,5,23,30,NST,32.599998474121094, ,Maximum
02YQ005,Q,2010,H,,9,21,17,30,NST,77.30000305175781,E,Maximum
02YQ005,Q,2011,H,,10,27,10,30,NST,30.200000762939453, ,Maximum
02YQ005,Q,2011,L,,8,31,18,30,NST,0.2540000081062317, ,Minimum
02YQ005,Q,2012,H,,9,12,0,30,NST,27.399999618530277,,Maximum
02YQ005,Q,2012,L,,8,10,19,30,NST,0.1169999986886978,,Minimum
02YQ005,Q,2013,H,,8,31,7,30,NST,84.0999984741211,E,Maximum
02YQ005,Q,2013,L,,7,11,20,30,NST,0.15600000321865082,,Minimum
02YQ005,Q,2014,H,,4,16,21,45,NST,59.70000076293945,,Maximum
02YQ005,Q,2014,L,,8,4,22,0,NST,0.04199999943375588,,Minimum
02YQ005,Q,2015,H,,4,29,17,35,NST,35.0,,Maximum
02YQ005,Q,2015,L,,7,20,21,10,NST,0.07000000029802322,,Minimum
02YQ005,Q,2016,H,,10,11,1,30,NST,139.0,E,Maximum
02YQ005,Q,2016,L,,8,22,18,15,NST,0.2150000035762787,,Minimum
02YQ005,Q,2017,H,,4,30,5,15,NST,36.09999847412109,,Maximum
02YQ005,Q,2017,L,,7,20,14,55,NST,0.17900000512599945,,Minimum
02YQ005,Q,2018,H,,4,30,6,15,NST,45.70000076293945,,Maximum
02YQ005,Q,2018,L,,8,30,5,50,NST,0.009999999776482582,,Minimum
02YQ005,Q,2019,H,,4,22,23,25,NST,26.799999237060547, ,Maximum
02YQ005,Q,2019,L,,9,10,9,50,NST,0.11500000208616255, ,Minimum
02YQ005,Q,2020,H,,5,3,9,55,NST,47.29999923706055, ,Maximum
02YQ005,Q,2020,L,,7,29,20,5,NST,0.08900000154972076, ,Minimum
02YQ005,Q,2021,H,,4,13,4,30,NST,42.59999847412109, ,Maximum
02YQ005,Q,2021,L,,7,19,15,40,NST,0.06199999898672104, ,Minimum
02YQ005,Q,2023,L,,8,6,8,30,NST,0.10499999672174454, ,Minimum
02YQ005,Q,2024,H,,11,21,12,50,NST,41.20000076293945, ,Maximum
02YQ005,Q,2024,L,,7,31,14,55,NST,0.125, ,Minimum
