Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02YQ005,2024-05-21T15:03:30,-3.5,Discharge/Débit,,0.737,0.829,30.0,-0.0107,-0.18120001,0.0,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Calm Wind Swirling/Variable",,"DISCHARGE OBTAINED BEFORE CABLEWAY REMOVAL. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ SRC ERROR WITHIN 0.003 M. NO RESET. LOGGER CALLED CORRECT. Mid-section",17.7,6.52,0.127,17.0,22.4,Provisional/Provisoire,15.4
02YQ005,2024-05-21T14:40:00,-3.5,Stage/Niveau d'eau,0.738,,,,,,,,,HG: 0.737 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02YQ005,2024-01-25T19:30:00,-3.5,Stage/Niveau d'eau,0.812,,,,,,,,,HG: 0.809 No Reset (NR),,,,,,Final/Finales,
02YQ005,2024-01-25T19:12:00,-3.5,Discharge/Débit,,0.809,0.386,30.0,-0.157,-0.77379996,-0.77379996,"Measurement condition : Ice; Cloudy , Flurries , Light Wind Blowing Cross Stream",100% ICE COVER,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ HG TAKEN AS CORRECT - NO RESET  Mid-section",18.0,3.17,0.122,0.0,-2.0,Final/Finales,23.6
02YQ005,2023-11-06T19:51:00,-3.5,Discharge/Débit,,0.908,3.31,30.0,0.0154,0.0531,0.0531,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",,"Time on Flowtracker was in Labrador time. Half hour behind. Changed time on note to reflect NFLD time. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",20.0,10.0,0.33,1.0,2.9,Final/Finales,6.38
02YQ005,2023-11-06T19:05:00,-3.5,Stage/Niveau d'eau,0.908,,,,,,,,,GC: 0.000 HG: 0.908 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
02YQ005,2023-09-20T13:34:30,-3.5,Discharge/Débit,,0.811,1.87,30.0,0.02,0.0797,0.0797,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",100% OPEN,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ HG RESET TO OSWL (-0.007m) Mid-section",17.3,6.98,0.268,18.0,15.7,Final/Finales,8.97
02YQ005,2023-09-20T13:10:00,-3.5,Stage/Niveau d'eau,0.807,,,,,,,,,HG: 0.814 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
02YQ005,2023-06-14T19:52:00,-3.5,Discharge/Débit,,1.016,5.48,30.0,0.00798,0.0208,0.0208,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Calm Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",21.5,11.8,0.465,21.0,15.0,Final/Finales,6.91
02YQ005,2023-06-14T19:25:00,-3.5,Stage/Niveau d'eau,1.017,,,,,,,,,GC: 0.000 HG: 1.017 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Final/Finales,
