Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02YR004,DeleteRegion,HG,2024-01-07T16:30:00,2024-01-07T16:35:00,2024-01-08T14:38:06,-3.5,INVALID SPIKE,,Normal
02YR004,CopyPaste,QR,2023-04-08T21:50:00,2023-04-11T15:05:00,2023-09-28T13:01:09,-3.5,Override: Linear‌Q(t) = (-0.3744319271022377)t + 3.1697513988327763‌,,Normal
02YR004,CopyPaste,QR,2023-04-08T18:35:00,2023-04-09T08:20:00,2023-09-28T13:00:38,-3.5,Override: Linear‌Q(t) = (-0.3454814643861999)t + 3.2165353471350744‌,,Normal
02YR004,CopyPaste,QR,2023-04-08T14:20:00,2023-04-08T15:20:00,2023-09-28T13:00:18,-3.5,Override: Linear‌Q(t) = (-0.1751938022870192)t + 3.2551630253027435‌,,Normal
02YR004,CopyPaste,QR,2023-04-08T12:05:00,2023-04-08T14:35:00,2023-09-28T12:59:48,-3.5,Override: Linear‌Q(t) = (-0.00674092569851723)t + 3.2557949870869796‌,,Normal
02YR004,CopyPaste,QR,2023-04-08T11:20:00,2023-04-08T12:20:00,2023-09-28T13:00:29,-3.5,Override: Linear‌Q(t) = (0.24050394938231534)t + 3.2457037712200236‌,,Normal
02YR004,CopyPaste,QR,2023-04-08T04:35:00,2023-04-08T05:35:00,2023-09-28T13:00:07,-3.5,Override: Linear‌Q(t) = (0.6218139407971748)t + 3.1424288687068085‌,,Normal
02YR004,CopyPaste,QR,2023-04-08T03:50:00,2023-04-08T05:05:00,2023-09-28T12:59:58,-3.5,Override: Linear‌Q(t) = (0.9207089738517084)t + 3.1136567132739428‌,,Normal
02YR004,CopyPaste,QR,2023-04-07T10:05:00,2023-04-07T10:35:00,2023-09-28T12:59:27,-3.5,Override: Linear‌Q(t) = (1.0846457915342782)t + 1.914808434970871‌,,Normal
02YR004,CopyPaste,QR,2023-04-07T07:50:00,2023-04-07T08:20:00,2023-09-28T12:59:36,-3.5,Override: Linear‌Q(t) = (0.2858316675321504)t + 1.8700059587022486‌,,Normal
02YR004,CopyPaste,QR,2023-04-07T07:20:00,2023-04-07T10:20:00,2023-09-28T12:59:03,-3.5,Override: Linear‌Q(t) = (0.5327677695319224)t + 1.8537621280453382‌,,Normal
02YR004,CopyPaste,QR,2023-04-07T06:05:00,2023-04-07T08:05:00,2023-09-28T12:59:14,-3.5,Override: Linear‌Q(t) = (0.038895565532373944)t + 1.867169823715513‌,,Normal
02YR004,CopyPaste,QR,2023-04-03T23:05:00,2023-04-06T08:35:00,2023-09-28T12:58:18,-3.5,Override: Linear‌Q(t) = (-0.24807799496860833)t + 2.692135718854793‌,,Normal
02YR004,CopyPaste,QR,2023-04-03T14:20:00,2023-04-03T16:20:00,2023-09-28T12:57:55,-3.5,Override: Linear‌Q(t) = (-0.05835671055662495)t + 2.75072728088026‌,,Normal
02YR004,CopyPaste,QR,2023-04-03T07:05:00,2023-04-03T07:35:00,2023-09-28T12:58:07,-3.5,Override: Linear‌Q(t) = (0.6432631321932902)t + 2.708859685574026‌,,Normal
02YR004,CopyPaste,QR,2023-04-03T06:05:00,2023-04-03T07:20:00,2023-09-28T12:57:36,-3.5,Override: Linear‌Q(t) = (1.185312824200946)t + 2.65947165123232‌,,Normal
02YR004,CopyPaste,QR,2023-04-02T18:35:00,2023-04-02T19:20:00,2023-09-28T12:50:59,-3.5,Override: Linear‌Q(t) = (1.4861198989746427)t + 1.2588477747589777‌,,Normal
02YR004,CopyPaste,QR,2023-04-02T16:35:00,2023-04-02T19:05:00,2023-09-28T12:50:33,-3.5,Override: Linear‌Q(t) = (0.717534122362921)t + 1.1990532645620675‌,,Normal
02YR004,CopyPaste,QR,2023-04-02T15:50:00,2023-04-02T17:20:00,2023-09-28T12:50:49,-3.5,Override: Linear‌Q(t) = (0.3441785676381883)t + 1.199965045408522‌,,Normal
02YR004,CopyPaste,QR,2023-03-30T12:05:00,2023-03-31T01:35:00,2023-09-28T12:50:08,-3.5,Override: Linear‌Q(t) = (-0.041912828715060774)t + 1.2992188218164908‌,,Normal
02YR004,CopyPaste,HG,2023-03-28T20:15:00,2023-03-29T12:00:00,2023-05-12T11:37:23,-3.5,"Override: Copy & Paste‌Source Data Set: Stage.Logger@02YR004, time shift: -210:00 minutes.‌",,Normal
02YR004,CopyPaste,QR,2023-03-28T09:05:00,2023-03-28T13:20:00,2023-09-28T12:57:17,-3.5,Override: Linear‌Q(t) = (-0.09837226949896868)t + 1.4572014594671208‌,,Normal
02YR004,CopyPaste,QR,2023-03-28T05:50:00,2023-03-30T16:05:00,2023-09-28T12:49:47,-3.5,Override: Linear‌Q(t) = (-0.07216045258277004)t + 1.462331511508794‌,,Normal
