STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02ZE004,H,2011,H,8.0,7,29,1,30,NST,3.250999927520752, ,Maximum
02ZE004,H,2011,L,8.0,9,15,15,30,NST,1.8170000314712524, ,Minimum
02ZE004,H,2012,H,8.0,2,13,7,30,NST,3.5220000743865967,,Maximum
02ZE004,H,2012,L,8.0,6,26,22,30,NST,1.7769999504089355,,Minimum
02ZE004,H,2013,H,8.0,11,29,4,30,NST,3.711999893188477,,Maximum
02ZE004,H,2013,L,8.0,7,18,7,0,NST,1.8270000219345093,,Minimum
02ZE004,H,2014,H,8.0,4,17,4,0,NST,3.720999956130981,,Maximum
02ZE004,H,2014,L,8.0,7,31,22,30,NST,1.815000057220459,,Minimum
02ZE004,H,2015,H,8.0,2,6,20,45,NST,3.882999897003174,,Maximum
02ZE004,H,2015,L,8.0,7,22,9,35,NST,1.7929999828338623,,Minimum
02ZE004,H,2016,H,8.0,10,11,6,55,NST,4.71999979019165,,Maximum
02ZE004,H,2016,L,8.0,8,22,7,40,NST,1.7890000343322754,,Minimum
02ZE004,H,2017,H,8.0,4,12,1,50,NST,3.0209999084472656,,Maximum
02ZE004,H,2017,L,8.0,7,29,13,45,NST,1.758999943733215,,Minimum
02ZE004,H,2018,H,8.0,10,22,4,55,NST,4.24399995803833,,Maximum
02ZE004,H,2018,L,8.0,9,12,2,35,NST,1.7580000162124634,,Minimum
02ZE004,H,2019,H,8.0,1,22,19,20,NST,3.068000078201294, ,Maximum
02ZE004,H,2019,L,8.0,8,4,13,20,NST,1.7630000114440918, ,Minimum
02ZE004,H,2020,H,8.0,5,3,12,40,NST,3.617000102996826, ,Maximum
02ZE004,H,2020,L,8.0,8,18,14,50,NST,1.756999969482422, ,Minimum
02ZE004,H,2021,H,8.0,12,4,6,45,NST,3.095999956130981, ,Maximum
02ZE004,H,2021,L,8.0,8,11,4,10,NST,1.7380000352859497, ,Minimum
02ZE004,H,2022,H,8.0,2,19,2,50,NST,4.211999893188477, ,Maximum
02ZE004,H,2022,L,8.0,8,9,4,30,NST,1.7549999952316284, ,Minimum
02ZE004,H,2023,H,8.0,1,15,15,5,NST,3.638999938964844, ,Maximum
02ZE004,H,2023,L,8.0,8,10,6,50,NST,1.8040000200271609, ,Minimum
02ZE004,H,2024,H,8.0,10,26,10,25,NST,3.2060000896453857, ,Maximum
02ZE004,H,2024,L,8.0,9,8,9,10,NST,1.753999948501587, ,Minimum
02ZE004,Q,1989,H,,9,28,3,18,NST,23.600000381469727,E,Maximum
02ZE004,Q,1990,H,,4,8,17,5,NST,30.399999618530277,E,Maximum
02ZE004,Q,1991,H,,11,3,6,57,NST,44.400001525878906,E,Maximum
02ZE004,Q,1992,H,,3,25,3,30,NST,63.900001525878906,E,Maximum
02ZE004,Q,1993,H,,5,2,22,28,NST,33.599998474121094,,Maximum
02ZE004,Q,1994,H,,4,12,2,18,NST,29.299999237060547,,Maximum
02ZE004,Q,1995,H,,4,19,4,42,NST,34.79999923706055,E,Maximum
02ZE004,Q,1996,H,,2,18,16,0,NST,37.400001525878906,,Maximum
02ZE004,Q,1997,H,,9,5,20,0,NST,46.09999847412109,E,Maximum
02ZE004,Q,1998,H,,4,14,12,0,NST,40.09999847412109,,Maximum
02ZE004,Q,1999,H,,1,10,19,30,NST,55.59999847412109, ,Maximum
02ZE004,Q,2000,H,,1,28,1,30,NST,67.5,E,Maximum
02ZE004,Q,2001,H,,4,29,1,5,NST,39.09999847412109, ,Maximum
02ZE004,Q,2002,H,,3,5,3,30,NST,37.5, ,Maximum
02ZE004,Q,2003,H,,10,6,8,30,NST,59.79999923706055, ,Maximum
02ZE004,Q,2004,H,,12,21,1,30,NST,55.59999847412109, ,Maximum
02ZE004,Q,2005,H,,12,13,8,30,NST,29.700000762939453, ,Maximum
02ZE004,Q,2006,H,,1,17,6,30,NST,25.299999237060547, ,Maximum
02ZE004,Q,2007,H,,8,10,7,30,NST,26.899999618530277, ,Maximum
02ZE004,Q,2008,H,,2,20,6,30,NST,43.79999923706055, ,Maximum
02ZE004,Q,2009,H,,3,4,12,30,NST,42.29999923706055, ,Maximum
02ZE004,Q,2010,H,,9,21,20,30,NST,66.0,E,Maximum
02ZE004,Q,2011,H,,7,29,1,30,NST,33.040000915527344, ,Maximum
02ZE004,Q,2011,L,,9,15,15,30,NST,0.2720000147819519, ,Minimum
02ZE004,Q,2012,H,,2,13,7,30,NST,44.900001525878906,,Maximum
02ZE004,Q,2012,L,,6,26,22,30,NST,0.12099999934434892,,Minimum
02ZE004,Q,2013,H,,11,29,4,30,NST,53.29999923706055,,Maximum
02ZE004,Q,2013,L,,7,18,7,0,NST,0.3160000145435333,,Minimum
02ZE004,Q,2014,H,,4,17,4,0,NST,53.70000076293945,,Maximum
02ZE004,Q,2014,L,,7,31,22,30,NST,0.25999999046325684,,Minimum
02ZE004,Q,2015,H,,2,6,20,45,NST,64.69999694824219,E,Maximum
02ZE004,Q,2015,L,,9,14,12,55,NST,0.164000004529953,,Minimum
02ZE004,Q,2016,H,,10,11,6,55,NST,116.0,E,Maximum
02ZE004,Q,2016,L,,8,22,7,40,NST,0.15199999511241913,,Minimum
02ZE004,Q,2017,H,,4,12,0,25,NST,26.200000762939453,,Maximum
02ZE004,Q,2017,L,,7,29,13,45,NST,0.0689999982714653,,Minimum
02ZE004,Q,2018,H,,10,22,4,55,NST,85.19999694824219,E,Maximum
02ZE004,Q,2018,L,,9,12,2,35,NST,0.06700000166893005,,Minimum
02ZE004,Q,2019,H,,1,22,19,20,NST,28.0, ,Maximum
02ZE004,Q,2019,L,,8,4,13,20,NST,0.07900000363588333, ,Minimum
02ZE004,Q,2020,H,,5,3,12,40,NST,51.29999923706055,E,Maximum
02ZE004,Q,2020,L,,8,18,14,50,NST,0.07000000029802322, ,Minimum
02ZE004,Q,2021,H,,12,4,6,45,NST,28.700000762939453, ,Maximum
02ZE004,Q,2021,L,,8,11,4,10,NST,0.03400000184774399,E,Minimum
02ZE004,Q,2022,H,,2,19,2,35,NST,83.0,E,Maximum
02ZE004,Q,2022,L,,8,9,4,30,NST,0.06599999964237213, ,Minimum
02ZE004,Q,2023,H,,1,15,15,5,NST,51.79999923706055, ,Maximum
02ZE004,Q,2023,L,,8,10,6,50,NST,0.2029999941587448, ,Minimum
02ZE004,Q,2024,H,,10,26,10,25,NST,32.79999923706055, ,Maximum
02ZE004,Q,2024,L,,9,8,9,10,NST,0.04500000178813934, ,Minimum
