STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02ZF001,H,2011,H,8.0,6.0,20.0,11.0,30.0,NST,2.627000093460083,,Maximum
02ZF001,H,2011,L,8.0,9.0,15.0,20.0,30.0,NST,1.190999984741211,,Minimum
02ZF001,H,2012,H,8.0,11.0,25.0,6.0,30.0,NST,2.594000101089477,,Maximum
02ZF001,H,2012,L,8.0,8.0,12.0,20.0,30.0,NST,1.2059999704360962,,Minimum
02ZF001,H,2013,H,8.0,11.0,28.0,22.0,0.0,NST,2.48799991607666,,Maximum
02ZF001,H,2013,L,8.0,8.0,30.0,3.0,30.0,NST,1.3309999704360962,,Minimum
02ZF001,H,2014,H,8.0,4.0,17.0,0.0,15.0,NST,2.73799991607666,,Maximum
02ZF001,H,2014,L,8.0,8.0,18.0,17.0,0.0,NST,1.1759999990463257,,Minimum
02ZF001,H,2015,H,8.0,2.0,6.0,17.0,45.0,NST,3.118000030517578,,Maximum
02ZF001,H,2015,L,8.0,10.0,9.0,21.0,30.0,NST,1.0880000591278076,,Minimum
02ZF001,H,2016,H,8.0,10.0,11.0,1.0,45.0,NST,3.595999956130981,,Maximum
02ZF001,H,2016,L,8.0,8.0,22.0,16.0,15.0,NST,1.1720000505447388,,Minimum
02ZF001,H,2017,H,8.0,4.0,17.0,20.0,0.0,NST,2.308000087738037,,Maximum
02ZF001,H,2017,L,8.0,8.0,20.0,17.0,40.0,NST,1.0720000267028809,,Minimum
02ZF001,H,2019,H,8.0,12.0,15.0,19.0,20.0,NST,2.5269999504089355, ,Maximum
02ZF001,H,2019,L,8.0,9.0,3.0,11.0,15.0,NST,1.131999969482422, ,Minimum
02ZF001,H,2020,H,8.0,5.0,3.0,2.0,35.0,NST,3.063999891281128, ,Maximum
02ZF001,H,2020,L,8.0,8.0,25.0,19.0,40.0,NST,1.1200000047683716, ,Minimum
02ZF001,H,2021,H,8.0,12.0,12.0,15.0,10.0,NST,2.628999948501587, ,Maximum
