STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02ZG003,H,2011,H,8.0,2,27,15,30,NST,2.246999979019165, ,Maximum
02ZG003,H,2011,L,8.0,9,13,20,5,NST,0.8970000147819519, ,Minimum
02ZG003,H,2012,H,8.0,11,9,16,30,NST,2.1519999504089355,,Maximum
02ZG003,H,2012,L,8.0,6,24,21,30,NST,0.8519999980926514,,Minimum
02ZG003,H,2013,H,8.0,8,11,2,15,NST,2.680999994277954,,Maximum
02ZG003,H,2013,L,8.0,7,17,22,30,NST,0.8840000033378601,,Minimum
02ZG003,H,2014,H,8.0,3,14,17,0,NST,2.703000068664551,,Maximum
02ZG003,H,2014,L,8.0,10,5,12,0,NST,0.8840000033378601,,Minimum
02ZG003,H,2015,H,8.0,1,23,20,15,NST,2.38700008392334,,Maximum
02ZG003,H,2015,L,8.0,10,1,23,0,NST,0.9089999794960022,,Minimum
02ZG003,H,2016,H,8.0,5,8,22,30,NST,2.1480000019073486,,Maximum
02ZG003,H,2016,L,8.0,8,6,19,35,NST,0.8949999809265137,,Minimum
02ZG003,H,2017,H,8.0,4,8,19,40,NST,2.4059998989105225,,Maximum
02ZG003,H,2017,L,8.0,7,29,20,45,NST,0.8820000290870667,,Minimum
02ZG003,H,2019,H,8.0,2,11,5,50,NST,2.4019999504089355, ,Maximum
02ZG003,H,2020,H,8.0,9,19,5,35,NST,2.556999921798706, ,Maximum
02ZG003,H,2020,L,8.0,8,17,14,25,NST,0.8999999761581421, ,Minimum
02ZG003,H,2021,H,8.0,3,19,21,0,NST,2.1640000343322754, ,Maximum
02ZG003,H,2021,L,8.0,8,30,19,55,NST,0.8840000033378601, ,Minimum
02ZG003,H,2022,H,8.0,2,5,19,45,NST,2.345000028610229, ,Maximum
02ZG003,H,2022,L,8.0,9,14,16,30,NST,0.890999972820282, ,Minimum
02ZG003,H,2023,H,8.0,8,31,9,35,NST,2.0810000896453857, ,Maximum
02ZG003,H,2023,L,8.0,5,8,10,55,NST,0.890999972820282, ,Minimum
02ZG003,Q,1980,H,,8,16,12,31,NST,75.5999984741211,,Maximum
02ZG003,Q,1981,H,,10,18,12,13,NST,85.5999984741211,,Maximum
02ZG003,Q,1982,H,,7,1,4,4,NST,49.900001525878906,,Maximum
02ZG003,Q,1983,H,,6,2,20,17,NST,66.4000015258789,,Maximum
02ZG003,Q,1984,H,,2,5,15,8,NST,33.099998474121094,,Maximum
02ZG003,Q,1985,H,,7,19,16,22,NST,53.70000076293945,,Maximum
02ZG003,Q,1986,H,,4,16,19,57,NST,50.70000076293945,,Maximum
02ZG003,Q,1988,H,,10,6,3,40,NST,53.09999847412109,,Maximum
02ZG003,Q,1990,H,,2,11,12,30,NST,100.0,E,Maximum
02ZG003,Q,1991,H,,10,12,10,41,NST,33.900001525878906,,Maximum
02ZG003,Q,1992,H,,5,3,21,40,NST,30.100000381469727,,Maximum
02ZG003,Q,1993,H,,10,1,2,29,NST,96.4000015258789,E,Maximum
02ZG003,Q,1994,H,,3,12,2,25,NST,95.5999984741211,E,Maximum
02ZG003,Q,1995,H,,9,11,3,45,NST,88.9000015258789,,Maximum
02ZG003,Q,1996,H,,12,11,8,0,NST,29.0,,Maximum
02ZG003,Q,1997,H,,9,5,12,0,NST,83.5999984741211,,Maximum
02ZG003,Q,1998,H,,4,14,4,30,NST,72.0,,Maximum
02ZG003,Q,1999,H,,10,19,6,0,NST,91.0999984741211, ,Maximum
02ZG003,Q,2000,H,,1,27,17,30,NST,57.09999847412109, ,Maximum
02ZG003,Q,2001,H,,9,14,21,0,NST,94.8000030517578,E,Maximum
02ZG003,Q,2002,H,,11,15,2,15,NST,47.0, ,Maximum
02ZG003,Q,2003,H,,5,3,20,20,NST,63.79999923706055, ,Maximum
02ZG003,Q,2004,H,,4,16,1,35,NST,89.5999984741211, ,Maximum
02ZG003,Q,2005,H,,3,31,3,10,NST,130.0,E,Maximum
02ZG003,Q,2006,H,,12,8,20,30,NST,49.900001525878906, ,Maximum
02ZG003,Q,2007,H,,8,1,8,30,NST,65.30000305175781, ,Maximum
02ZG003,Q,2008,H,,2,15,3,30,NST,76.69999694824219, ,Maximum
02ZG003,Q,2009,H,,3,4,0,0,NST,72.9000015258789, ,Maximum
02ZG003,Q,2010,H,,9,21,12,30,NST,171.0,E,Maximum
02ZG003,Q,2011,H,,10,3,13,20,NST,54.70000076293945, ,Maximum
02ZG003,Q,2011,L,,9,13,20,5,NST,0.1509999930858612, ,Minimum
02ZG003,Q,2012,H,,11,9,16,30,NST,55.79999923706055,,Maximum
02ZG003,Q,2012,L,,6,24,21,30,NST,0.09000000357627869,E,Minimum
02ZG003,Q,2013,H,,8,11,2,15,NST,101.0,E,Maximum
02ZG003,Q,2013,L,,7,17,22,30,NST,0.19200000166893005,,Minimum
02ZG003,Q,2014,H,,4,9,21,15,NST,68.30000305175781,,Maximum
02ZG003,Q,2014,L,,10,5,12,0,NST,0.1809999942779541,,Minimum
02ZG003,Q,2015,H,,4,12,1,35,NST,28.600000381469727,,Maximum
02ZG003,Q,2015,L,,10,1,23,0,NST,0.3269999921321869,,Minimum
02ZG003,Q,2016,H,,5,8,22,30,NST,53.79999923706055,,Maximum
02ZG003,Q,2016,L,,8,6,19,35,NST,0.2409999966621399,,Minimum
02ZG003,Q,2017,H,,4,8,19,40,NST,69.69999694824219,,Maximum
02ZG003,Q,2017,L,,7,29,20,45,NST,0.16699999570846558,,Minimum
02ZG003,Q,2019,H,,12,15,19,30,NST,50.900001525878906, ,Maximum
02ZG003,Q,2020,H,,9,19,5,35,NST,81.9000015258789, ,Maximum
02ZG003,Q,2020,L,,8,17,14,25,NST,0.19699999690055847,E,Minimum
02ZG003,Q,2021,H,,3,19,21,50,NST,55.400001525878906, ,Maximum
02ZG003,Q,2021,L,,8,30,19,55,NST,0.210999995470047, ,Minimum
02ZG003,Q,2022,H,,2,5,20,0,NST,67.5, ,Maximum
02ZG003,Q,2022,L,,9,14,16,30,NST,0.2409999966621399, ,Minimum
02ZG003,Q,2023,H,,8,31,9,35,NST,50.09999847412109, ,Maximum
02ZG003,Q,2023,L,,5,8,10,55,NST,0.2409999966621399, ,Minimum
