Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02ZJ001,2024-04-17T14:43:00,-3.5,Discharge/Débit,,2.428,3.85,26.0,-0.00336,-0.0201,-0.0201,"Measurement condition : Clear; Cloudy , Mist , Calm Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ WATER LEVEL ERROR LESS THAN 0.003 M. NO SRC REQUIRED. LOGGER CALLED CORRECT. Mid-section",20.0,9.66,0.399,6.0,7.8,Provisional/Provisoire,5.96
02ZJ001,2024-04-17T14:20:00,-3.5,Stage/Niveau d'eau,2.426,,,,,,,,,HG: 2.427 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZJ001,2024-02-13T15:40:00,-3.5,Stage/Niveau d'eau,2.262,,,,,,,,,HG: 2.272 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZJ001,2023-10-25T17:55:00,-3.5,Stage/Niveau d'eau,2.416,,,,,,,,,HG: 2.417 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZJ001,2023-10-25T17:35:00,-3.5,Discharge/Débit,,2.419,3.57,26.0,-0.00658,-0.0401,-0.0401,"Measurement condition : Clear; Cloudy , No Precipitation , Light Wind Blowing Cross Stream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ LOGGER CALLED CORRECT. Mid-section",16.7,9.88,0.362,10.0,9.4,Provisional/Provisoire,4.86
02ZJ001,2023-08-29T15:20:30,-3.5,Discharge/Débit,,2.105,0.077,26.01,0.00783,0.3952,-0.0587,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Downstream",,"MEASUREMENT 1 OF 2. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ LOGGER CALLED CORRECT. Mid-section",8.0,1.0,0.077,20.0,17.0,Provisional/Provisoire,19.0
02ZJ001,2023-08-29T14:55:00,-3.5,Stage/Niveau d'eau,2.105,,,,,,,,,HG: 2.105 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZJ001,2023-08-02T13:56:00,-3.5,Discharge/Débit,,2.161,0.351,26.01,0.0094,0.20030001,0.0,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Cross Stream",,"MEASUREMENT #1 OF 2. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ MGH FOR MEASUREMENT # 2 = 2.161m STRAT TIME G.H = 2.161 m    AND FINISH TIME G.H = 2.161 m Mid-section",8.1,1.48,0.238,18.0,19.4,Provisional/Provisoire,12.5
02ZJ001,2023-08-02T13:25:00,-3.5,Stage/Niveau d'eau,2.161,,,,,,,,,HG: 2.171 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Purged  (PU),,,,,,Provisional/Provisoire,
02ZJ001,2023-06-27T14:59:30,-3.5,Discharge/Débit,,2.239,0.966,26.0,0.0101,0.098500006,-0.0378,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ LOGGER RESET -0.010 METRES. Mid-section",12.0,2.88,0.336,13.0,14.5,Provisional/Provisoire,9.58
