Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02ZK002,2024-05-30T14:35:00,-3.5,Stage/Niveau d'eau,1.48,,,,,,,,,GC: 0.000 HG: 1.480 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZK002,2024-04-10T12:27:30,-3.5,Discharge/Débit,,1.432,3.35,26.00,0.000231,0.0115,-0.0117999995,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Moderate Wind Blowing Cross Stream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",23.0,9.96,0.336,-3.0,1.5,Provisional/Provisoire,11.7
02ZK002,2024-04-10T11:45:00,-3.5,Stage/Niveau d'eau,1.435,,,,,,,,,HG: 1.460 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2024-02-29T15:15:00,-3.5,Stage/Niveau d'eau,1.564,,,,,,,,,HG: 1.590 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2023-11-15T14:40:00,-3.5,Stage/Niveau d'eau,1.359,,,,,,,,,HG: 1.359 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZK002,2023-08-30T14:16:30,-3.5,Discharge/Débit,,1.289,1.35,26.00,0.0035,0.030199999,-0.0987,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Very Light Wind Blowing Downstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ LOGGER CALLED CORRECT, ERROR WITHIN 0.003 M. Mid-section",23.0,7.34,0.183,20.0,18.2,Provisional/Provisoire,14.2
02ZK002,2023-08-30T13:45:00,-3.5,Stage/Niveau d'eau,1.288,,,,,,,,,HG: 1.287 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZK002,2023-07-25T14:57:00,-3.5,Discharge/Débit,,1.209,0.697,,,,,,,"MEASUREMENT #2 OF 2 @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Tx. ISSUE WITH LOGGER/ANTENNA. NO SECOND STAGE READING FOR MEASUREMENTS #2. Mid-section",22.8,5.23,0.133,21.0,22.3,Provisional/Provisoire,21.4
02ZK002,2023-07-25T14:19:00,-3.5,Discharge/Débit,,1.21,0.734,26.00,0.0239,0.2251,0.0209,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Upstream",,"MEASUREMENT #1 OF 2 @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",22.8,5.17,0.142,21.0,22.3,Provisional/Provisoire,18.3
02ZK002,2023-07-25T13:10:00,-3.5,Stage/Niveau d'eau,1.21,,,,,,,,,HG: 1.210 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZK002,2023-07-11T12:29:00,-3.5,Discharge/Débit,,1.309,1.72,,,,,,,"MEASUREMENT # 2 OF 2. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",23.5,7.94,0.217,15.0,18.1,Provisional/Provisoire,12.8
02ZK002,2023-07-11T12:01:30,-3.5,Discharge/Débit,,1.31,1.66,,,,,,,"MEASUREMENT # 1 OF 2. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",23.5,7.61,0.218,15.0,18.1,Provisional/Provisoire,14.0
02ZK002,2023-07-11T11:15:00,-3.5,Stage/Niveau d'eau,1.31,,,,,,,,,HG: 1.304 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2023-05-25T12:14:00,-3.5,Discharge/Débit,,1.406,3.13,26.00,0.0151,0.0836,0.045900002,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind Swirling/Variable",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",23.3,10.1,0.31,4.0,9.5,Provisional/Provisoire,12.7
02ZK002,2023-05-25T11:40:00,-3.5,Stage/Niveau d'eau,1.406,,,,,,,,,HG: 1.423 Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2023-03-08T13:25:00,-3.5,Stage/Niveau d'eau,1.332,,,,,,,,,HG: 1.260 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2023-01-05T13:30:00,-3.5,Stage/Niveau d'eau,1.46,,,,,,,,,HG: 1.474 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2023-01-04T14:15:00,-3.5,Stage/Niveau d'eau,1.505,,,,,,,,,HG: 1.524 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2022-12-08T12:55:00,-3.5,Stage/Niveau d'eau,1.389,,,,,,,,,HG: 1.389 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZK002,2022-10-21T14:05:30,-3.5,Discharge/Débit,,1.346,2.08,,,,,,,"MEASUREMENT # 2 OF 2  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",23.5,8.0,0.26,12.0,,Provisional/Provisoire,12.3
02ZK002,2022-10-21T13:29:00,-3.5,Discharge/Débit,,1.346,2.06,,,,,,,MEASUREMENT # 1 OF 2  Mid-section,23.5,7.97,0.258,12.0,,Provisional/Provisoire,9.04
02ZK002,2022-10-21T12:50:00,-3.5,Stage/Niveau d'eau,1.345,,,,,,,,,HG: 1.345 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZK002,2022-07-28T14:00:30,-3.5,Discharge/Débit,,1.276,1.2,,,,,,,MEASUREMENT 2 OF 2 Mid-section,23.0,6.42,0.188,21.0,22.3,Provisional/Provisoire,11.5
02ZK002,2022-07-28T13:27:00,-3.5,Discharge/Débit,,1.276,1.16,25.00.,-0.0336,-0.0091,-0.0091,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Upstream",,MEASUREMENT 1 OF 2 Mid-section,23.0,6.21,0.186,21.0,22.3,Provisional/Provisoire,12.1
02ZK002,2022-07-28T13:11:00,-3.5,Stage/Niveau d'eau,1.276,,,,,,,,,,,,,,,Provisional/Provisoire,
02ZK002,2022-07-28T13:10:00,-3.5,Stage/Niveau d'eau,1.276,,,,,,,,,HG: 1.287 Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2022-06-06T13:21:30,-3.5,Discharge/Débit,,1.432,3.3,,,,,,,Mid-section,24.0,9.52,0.347,15.0,12.0,Provisional/Provisoire,8.4
02ZK002,2022-06-06T12:57:00,-3.5,Discharge/Débit,,1.432,3.17,25.00.,-0.0341,-0.0428,-0.0428,"Measurement condition : ; Clear , No Precipitation , Calm Wind ",,Mid-section,24.5,9.37,0.339,15.0,12.0,Provisional/Provisoire,10.8
02ZK002,2022-06-06T12:30:00,-3.5,Stage/Niveau d'eau,1.432,,,,,,,,,HG: 1.377 Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2022-02-25T15:20:00,-3.5,Stage/Niveau d'eau,1.559,,,,,,,,,GC: 0.000 HG: 1.696 SRC: -0.137 Reset (RS),,,,,,Provisional/Provisoire,
02ZK002,2022-02-25T15:10:00,-3.5,Stage/Niveau d'eau,1.559,,,,,,,,,GC: 0.000 HG: 1.673 SRC: -0.114 Purged  (PU),,,,,,Provisional/Provisoire,
02ZK002,2022-01-06T14:20:00,-3.5,Stage/Niveau d'eau,1.443,,,,,,,,,HG: 1.443 No Reset (NR),,,,,,Final/Finales,
02ZK002,2021-12-16T13:40:00,-3.5,Stage/Niveau d'eau,1.506,,,,,,,,,HG: 1.496 SRC: 0.010 Reset (RS),,,,,,Final/Finales,
02ZK002,2021-07-08T13:52:00,-3.5,Discharge/Débit,,1.241,0.766,,,,,,,Mid-section,22.0,7.01,0.109,18.0,16.8,Final/Finales,
02ZK002,2021-07-08T13:22:30,-3.5,Discharge/Débit,,1.241,0.808,,,,,,,Mid-section,22.0,7.33,0.11,18.0,16.8,Final/Finales,
02ZK002,2021-07-08T12:40:00,-3.5,Stage/Niveau d'eau,1.236,,,,,,,,,HG: 1.245 SRC: -0.009 Purged  (PU),,,,,,Final/Finales,
02ZK002,2021-05-14T16:29:00,-3.5,Discharge/Débit,,1.278,1.15,,,,,,,Mid-section,23.5,6.21,0.184,8.0,11.0,Final/Finales,
02ZK002,2021-05-14T16:07:00,-3.5,Stage/Niveau d'eau,1.278,,,,,,,,,HG: 1.268 SRC: 0.010 No Reset (NR),,,,,,Final/Finales,
