Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
02ZK004,AdjustableTrim,HG,2024-02-08T03:25:00,2024-02-08T14:30:00,2024-02-08T14:58:55,-3.5,INVALID SPIKES,"UpperThresholdPoints:(Time:2024-02-08T03:25:00Z,Value:2.600450642706517);(Time:2024-02-08T09:27:39.622Z,Value:2.5886019152493835);(Time:2024-02-08T14:30:00Z,Value:2.5746402333657166),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-02-03T03:35:00,2024-02-03T13:15:00,2024-02-05T18:57:08,-3.5,invalid spike,"UpperThresholdPoints:(Time:2024-02-03T03:35:00Z,Value:2.5458397739272636);(Time:2024-02-03T13:15:00Z,Value:2.52699792322609),TrimAction:Delete",Normal
02ZK004,DeleteRegion,HG,2024-02-03T02:15:00,2024-02-03T02:25:00,2024-02-05T18:56:51,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-03T00:20:00,2024-02-03T00:25:00,2024-02-05T18:56:40,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T22:30:00,2024-02-02T22:30:00,2024-02-05T18:56:24,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T18:35:00,2024-02-02T18:40:00,2024-02-05T18:50:53,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T16:55:00,2024-02-02T17:00:00,2024-02-05T18:50:41,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T15:35:00,2024-02-02T15:40:00,2024-02-05T18:50:29,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T14:10:00,2024-02-02T14:20:00,2024-02-05T18:50:18,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T09:55:00,2024-02-02T10:00:00,2024-02-05T18:49:40,-3.5,,,Normal
02ZK004,DeleteRegion,HG,2024-02-02T04:35:00,2024-02-02T05:15:00,2024-02-05T18:49:17,-3.5,invalid spike,,Normal
02ZK004,AdjustableTrim,HG,2024-02-02T00:40:00,2024-02-04T11:15:00,2024-02-05T19:04:57,-3.5,,"UpperThresholdPoints:(Time:2024-02-02T00:40:00Z,Value:2.474453078113096);(Time:2024-02-03T15:39:06.172Z,Value:2.3544605925630395);(Time:2024-02-04T11:15:00Z,Value:2.3077968481824622),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-01-21T10:45:00,2024-01-31T18:25:00,2024-02-01T14:44:11,-3.5,,"UpperThresholdPoints:(Time:2024-01-21T10:45:00Z,Value:2.4892627917429584);(Time:2024-01-23T07:21:42.056Z,Value:2.3661777238770365);(Time:2024-01-23T19:18:55.565Z,Value:2.3535072021849563);(Time:2024-01-24T14:56:27.595Z,Value:2.301920078152915);(Time:2024-01-24T21:21:50.078Z,Value:2.368029467636084);(Time:2024-01-25T06:17:04.637Z,Value:2.483832568160638);(Time:2024-01-26T01:43:54.376Z,Value:2.463921748358798);(Time:2024-01-26T15:17:28.506Z,Value:2.510078648808519);(Time:2024-01-26T20:38:37.241Z,Value:2.4648267856225177);(Time:2024-01-27T17:31:05.31Z,Value:2.472972120995998);(Time:2024-01-27T23:02:56.336Z,Value:2.4403907795020774);(Time:2024-01-28T12:15:05.884Z,Value:2.4449159658206776);(Time:2024-01-29T15:32:56.435Z,Value:2.413239661590477);(Time:2024-01-30T12:14:42.212Z,Value:2.508268574281079);(Time:2024-01-31T05:33:04.457Z,Value:2.5994896139544683);(Time:2024-01-31T18:25:00Z,Value:2.5694723763423184),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-01-17T09:00:00,2024-01-21T14:55:00,2024-01-21T15:55:46,-3.5,,"UpperThresholdPoints:(Time:2024-01-17T09:00:00Z,Value:2.4477669868239413);(Time:2024-01-17T11:53:00.359Z,Value:2.4387556076159655);(Time:2024-01-17T16:49:29.634Z,Value:2.643698930166405);(Time:2024-01-17T21:10:11.928Z,Value:2.6800341682090245);(Time:2024-01-18T05:10:42.822Z,Value:2.7940516393082797);(Time:2024-01-18T09:05:51.557Z,Value:2.8015105818761654);(Time:2024-01-18T16:10:08.624Z,Value:2.778681754549294);(Time:2024-01-18T21:42:24.88Z,Value:2.741434720489661);(Time:2024-01-19T13:02:32.976Z,Value:2.5984541703897817);(Time:2024-01-20T19:42:49.166Z,Value:2.490317619894074);(Time:2024-01-21T14:55:00Z,Value:2.475899413161313),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-01-15T07:20:00,2024-01-15T16:05:00,2024-01-21T15:55:09,-3.5,INVALID PRESSURE SPIKES,"UpperThresholdPoints:(Time:2024-01-15T07:20:00Z,Value:2.378466771803381);(Time:2024-01-15T16:05:00Z,Value:2.374674347893077),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-01-08T01:00:00,2024-01-08T13:30:00,2024-01-08T14:41:06,-3.5,INVALID SLUSH SPIKES ,"UpperThresholdPoints:(Time:2024-01-08T01:00:00Z,Value:2.403842455843302);(Time:2024-01-08T13:30:00Z,Value:2.499084628569216),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-01-07T12:05:00,2024-01-13T17:40:00,2024-01-21T15:53:40,-3.5,,"UpperThresholdPoints:(Time:2024-01-07T12:05:00Z,Value:2.3227202654193544);(Time:2024-01-08T02:17:42.48Z,Value:2.381647688652446);(Time:2024-01-08T14:50:31.967Z,Value:2.4829032609684623);(Time:2024-01-08T21:50:42.843Z,Value:2.454684494913179);(Time:2024-01-09T14:54:54.354Z,Value:2.5102920633162373);(Time:2024-01-10T14:33:01.062Z,Value:2.545150539031587);(Time:2024-01-11T04:59:38.495Z,Value:2.5011624625336455);(Time:2024-01-12T02:26:26.804Z,Value:2.5393407930790284);(Time:2024-01-13T00:10:45.566Z,Value:2.4289556199804205);(Time:2024-01-13T17:40:00Z,Value:2.4198260191978287),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2024-01-05T12:35:00,2024-01-07T23:30:00,2024-01-08T00:05:27,-3.5,,"UpperThresholdPoints:(Time:2024-01-05T12:35:00Z,Value:2.3142566609837303);(Time:2024-01-06T03:13:30.899Z,Value:2.43834720728469);(Time:2024-01-07T13:53:16.639Z,Value:2.358574713234073);(Time:2024-01-07T15:10:38.169Z,Value:2.571301364035718);(Time:2024-01-07T23:30:00Z,Value:2.6200512215110945),TrimAction:Delete",Normal
02ZK004,AdjustableTrim,HG,2023-12-29T20:50:00,2023-12-31T00:15:00,2024-01-02T14:57:55,-3.5,INVALID PRESSURE SPIKES ,"UpperThresholdPoints:(Time:2023-12-29T20:50:00Z,Value:2.2987886019276047);(Time:2023-12-30T11:57:38.796Z,Value:2.439052895504655);(Time:2023-12-30T14:02:36.345Z,Value:2.4055300600241134);(Time:2023-12-30T17:09:12.684Z,Value:2.384786780717909);(Time:2023-12-30T21:45:47.258Z,Value:2.3614505914984294);(Time:2023-12-31T00:15:00Z,Value:2.3631791981072796),TrimAction:Delete",Normal
02ZK004,CopyPaste,HG,2023-07-28T23:30:00,2023-07-31T04:40:00,2023-09-15T13:36:04,-3.5,"RFT - Copied logger data to fill gapOverride: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-07-25T23:30:00,2023-07-26T13:35:00,2023-09-15T13:37:03,-3.5,"RFT - Copied logger data to fill gapOverride: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-07-22T23:30:00,2023-07-23T07:35:00,2023-09-15T13:37:31,-3.5,"RFT - Copied logger data to fill gapOverride: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-07-18T23:30:00,2023-07-19T23:35:00,2023-09-15T13:38:21,-3.5,"RFT - Copied logger data to fill gapOverride: Copy & Paste‌Source Data Set: Stage.Working@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-07-18T23:25:00,2023-07-19T20:05:00,2023-09-15T13:39:16,-3.5,"RFT - Copied logger data to fill gapOverride: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-07-02T18:05:00,2023-07-04T12:50:00,2023-07-18T13:00:25,-3.5,"Override: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-05-01T14:35:00,2023-06-01T11:50:00,2023-06-05T12:53:43,-3.5,"Override: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,CopyPaste,HG,2023-04-13T12:36:01,2023-05-17T15:30:00,2023-06-05T12:55:05,-3.5,"Override: Copy & Paste‌Source Data Set: Stage.Logger@02ZK004, time shift: -210:00 minutes.‌",,Normal
02ZK004,Drift,HG,2022-03-30T13:20:00,2022-04-21T14:20:00,2023-06-16T14:49:51,-3.5,SUSPECTED SENSOR DRIFT,"DriftPoints:(Offset:0,Time:2022-03-30T13:20:00Z);(Offset:0.013,Time:2022-04-21T14:20:00Z)",Normal
02ZK004,DeleteRegion,HG,2022-03-25T03:55:00,2022-03-25T18:15:00,2023-06-16T14:45:46,-3.5,SUSPECTED LEAK,,Normal
02ZK004,DeleteRegion,HG,2022-03-17T14:10:00,2022-03-17T14:25:00,2022-03-21T14:00:17,-3.5,invalid spike,,Normal
02ZK004,DeleteRegion,HG,2022-03-17T11:15:00,2022-03-17T12:30:00,2022-03-21T13:59:51,-3.5,invalid spike,,Normal
