Station ID/Identification de la station,Curve Number/Numéro de courbe,Remarks/Remarques,Type/Catégorie,Approval/Approbation,Offset/Décalage
02ZM020,35.00,CURVE # 34.00 CHANGE OF CURVE #33.00 BASED ON 2019 MM RESULTS. 2019 MM'S ONLY USED BELOW GH 1.084,LogarithmicTable,Provisional/Provisoire,(0.6479:0.506);(0.92913:0.496);(0.53);
02ZM020,34.00,CURVE # 34.00 CHANGE OF CURVE #33.00 BASED ON 2019 MM RESULTS. 2019 MM'S ONLY USED BELOW GH 1.084,LogarithmicTable,Final/Finales,(1.084:0.492);(0.22);
02ZM020,33.00,CURVE # 33.00 CHANGE OF CURVE #32.00 BASED ON 2018 MM RESULTS. 2018 MM'S ONLY USED BELOW GH 1.768,LogarithmicTable,Final/Finales,(1.084:0.5);(0.22);
02ZM020,32.00,new curve #32 developed using 2017 mm's. low range below 0.690 HG addressed with this curve change.,LogarithmicTable,Final/Finales,(0.7087:0.53);(1.1084:0.49);(0.57);
02ZM020,31.00,new curve #31 developed using 2016 mm's. Slight refinement of mid range water based on 2016 MM's,LogarithmicTable,Final/Finales,(0.7087:0.53);(1.1084:0.49);(0.57);
02ZM020,30.000,new curve #30 developed using 2015 mm's. Only 2015 MM's below 0.875 meters were used in curve development. Slight refinement of high water based on 2015 MM's,LogarithmicTable,Final/Finales,(0.7087:0.53);(1.1084:0.41);(0.57);
02ZM020,29.000,new curve #29 developed using 2013 and 2014 mm's as well as sept 2001 high MM,LogarithmicTable,Final/Finales,(1.1762:0.58);(0.58);
02ZM020,28.000,new curve #28 developed using 2013 mm's as well as sept 2001 high MM,LogarithmicTable,Final/Finales,(1.1762:0.58);(0.58);
02ZM020,27.000,Refinement of # 26 below 0.7910 meters based on 2012 MM results.,LogarithmicTable,Final/Finales,(0.8134:0.32);(0.32);
02ZM020,26.000,"Refinement of # 25 below 0.700 meters based on 2011 MM results, as well as created using new technology RDT",LogarithmicTable,Final/Finales,(0.791:0.47);(0.32);
02ZM020,25.000,- low water refinement post IGOR below 0.750,LinearTable,Final/Finales,
02ZM020,24.000,Extension due to Hurricane IGOR,LinearTable,Final/Finales,
02ZM020,23.000,HQFIT1. low water refinement,LinearTable,Final/Finales,
02ZM020,22.000,,LinearTable,Final/Finales,
02ZM020,21.000,HQFIT1.0,LinearTable,Final/Finales,
02ZM020,20.000,HQFIT1.0,LinearTable,Final/Finales,
02ZM020,19.000,HQFIT1.0,LinearTable,Final/Finales,
02ZM020,18.000,,LinearTable,Final/Finales,
02ZM020,17.000,,LinearTable,Final/Finales,
02ZM020,16.000,LOW WATER CHANGE,LinearTable,Final/Finales,
02ZM020,15.000,LOW WATER CHANGE,LinearTable,Final/Finales,
02ZM020,14.000-SC1,,LinearTable,Final/Finales,
02ZM020,14.000,,LinearTable,Final/Finales,
02ZM020,13.010,,LinearTable,Final/Finales,
02ZM020,13.000,,LinearTable,Final/Finales,
02ZM020,12.010,,LinearTable,Final/Finales,
02ZM020,12.000,,LinearTable,Final/Finales,
02ZM020,11.010,,LinearTable,Final/Finales,
02ZM020,11.000,,LinearTable,Final/Finales,
02ZM020,10.100,,LinearTable,Final/Finales,
02ZM020,10.000,,LinearTable,Final/Finales,
02ZM020,9.010,,LinearTable,Final/Finales,
02ZM020,9.000,,LinearTable,Final/Finales,
02ZM020,8.010,,LinearTable,Final/Finales,
02ZM020,8.000,,LinearTable,Final/Finales,
02ZM020,7.010,,LinearTable,Final/Finales,
02ZM020,7.000,,LinearTable,Final/Finales,
02ZM020,6.010,,LinearTable,Final/Finales,
02ZM020,6.000,,LinearTable,Final/Finales,
02ZM020,5.000,,LinearTable,Final/Finales,
