STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
02ZM020,H,2011,H,8.0,10,27,3,15,NST,1.5889999866485596, ,Maximum
02ZM020,H,2011,L,8.0,9,13,21,20,NST,0.6079999804496765, ,Minimum
02ZM020,H,2012,H,8.0,2,13,1,0,NST,1.8580000400543213,,Maximum
02ZM020,H,2012,L,8.0,8,7,23,30,NST,0.6100000143051147,,Minimum
02ZM020,H,2013,H,8.0,3,4,11,25,NST,1.8220000267028809,,Maximum
02ZM020,H,2013,L,8.0,1,11,8,45,NST,0.656000018119812,,Minimum
02ZM020,H,2014,H,8.0,5,28,2,55,NST,1.8029999732971191,,Maximum
02ZM020,H,2014,L,8.0,8,4,1,10,NST,0.6359999775886536,,Minimum
02ZM020,H,2015,H,8.0,4,28,1,17,NST,1.6820000410079956,,Maximum
02ZM020,H,2015,L,8.0,9,11,17,57,NST,0.6389999985694885,,Minimum
02ZM020,H,2016,H,8.0,11,27,21,2,NST,1.7070000171661377,,Maximum
02ZM020,H,2016,L,8.0,3,25,3,57,NST,0.625,,Minimum
02ZM020,H,2017,H,8.0,9,11,23,12,NST,2.0239999294281006,,Maximum
02ZM020,H,2017,L,8.0,11,3,15,37,NST,0.578000009059906,,Minimum
02ZM020,H,2018,H,8.0,9,12,16,17,NST,1.837000012397766,,Maximum
02ZM020,H,2018,L,8.0,9,11,17,32,NST,0.5600000023841858,,Minimum
02ZM020,H,2019,H,8.0,11,22,3,22,NST,1.6929999589920044, ,Maximum
02ZM020,H,2019,L,8.0,8,9,14,17,NST,0.5960000157356262, ,Minimum
02ZM020,H,2020,H,8.0,9,19,6,7,NST,1.825000047683716, ,Maximum
02ZM020,H,2020,L,8.0,7,14,19,42,NST,0.5789999961853027, ,Minimum
02ZM020,H,2021,H,8.0,8,20,21,7,NST,1.850000023841858, ,Maximum
02ZM020,H,2021,L,8.0,7,19,18,2,NST,0.5580000281333923, ,Minimum
02ZM020,H,2022,H,8.0,9,12,4,32,NST,2.3289999961853027, ,Maximum
02ZM020,H,2022,L,8.0,8,7,18,57,NST,0.5799999833106995, ,Minimum
02ZM020,Q,1987,H,,4,3,15,40,NST,7.71999979019165,,Maximum
02ZM020,Q,1988,H,,2,25,9,2,NST,14.300000190734863,,Maximum
02ZM020,Q,1989,H,,12,4,15,9,NST,16.0,,Maximum
02ZM020,Q,1990,H,,5,20,17,58,NST,19.399999618530277,,Maximum
02ZM020,Q,1992,H,,6,16,5,34,NST,15.100000381469728,,Maximum
02ZM020,Q,1993,H,,2,20,6,13,NST,20.5,,Maximum
02ZM020,Q,1994,H,,3,12,0,6,NST,20.299999237060547,,Maximum
02ZM020,Q,1995,H,,11,23,10,0,NST,21.0, ,Maximum
02ZM020,Q,1996,H,,11,16,20,0,NST,17.399999618530273, ,Maximum
02ZM020,Q,1997,H,,10,16,23,30,NST,16.899999618530273, ,Maximum
02ZM020,Q,1998,H,,10,17,1,30,NST,22.5, ,Maximum
02ZM020,Q,1999,H,,4,29,3,0,NST,23.0, ,Maximum
02ZM020,Q,2000,H,,3,18,6,30,NST,21.0, ,Maximum
02ZM020,Q,2001,H,,9,19,10,20,NST,31.399999618530277, ,Maximum
02ZM020,Q,2002,H,,7,20,14,45,NST,19.299999237060547, ,Maximum
02ZM020,Q,2003,H,,5,10,4,45,NST,24.200000762939453, ,Maximum
02ZM020,Q,2004,H,,11,16,10,30,NST,24.399999618530277, ,Maximum
02ZM020,Q,2005,H,,4,12,4,45,NST,26.200000762939453, ,Maximum
02ZM020,Q,2006,H,,12,8,18,30,NST,21.100000381469727, ,Maximum
02ZM020,Q,2007,H,,8,1,6,15,NST,17.299999237060547, ,Maximum
02ZM020,Q,2008,H,,11,29,18,35,NST,31.799999237060547, ,Maximum
02ZM020,Q,2009,H,,10,17,8,30,NST,23.100000381469727, ,Maximum
02ZM020,Q,2010,H,,9,21,12,30,NST,65.80000305175781,E,Maximum
02ZM020,Q,2011,H,,10,27,3,15,NST,9.850000381469728, ,Maximum
02ZM020,Q,2011,L,,9,13,21,20,NST,0.12600000202655792, ,Minimum
02ZM020,Q,2012,H,,2,13,1,0,NST,15.800000190734863,,Maximum
02ZM020,Q,2012,L,,8,7,23,30,NST,0.06300000101327896,,Minimum
02ZM020,Q,2013,H,,3,4,13,0,NST,16.0,,Maximum
02ZM020,Q,2014,H,,5,28,2,55,NST,16.5,,Maximum
02ZM020,Q,2014,L,,8,5,6,55,NST,0.090999998152256,,Minimum
02ZM020,Q,2015,H,,4,28,1,17,NST,13.199999809265137,,Maximum
02ZM020,Q,2016,H,,11,27,21,2,NST,13.699999809265137,,Maximum
02ZM020,Q,2017,H,,9,11,23,7,NST,20.799999237060547,,Maximum
02ZM020,Q,2017,L,,11,3,15,37,NST,0.04699999839067459,E,Minimum
02ZM020,Q,2018,H,,9,12,16,17,NST,17.799999237060547,,Maximum
02ZM020,Q,2018,L,,9,11,17,32,NST,0.06400000303983688,,Minimum
02ZM020,Q,2019,H,,11,22,3,22,NST,13.899999618530272, ,Maximum
02ZM020,Q,2019,L,,8,9,14,17,NST,0.08900000154972076, ,Minimum
02ZM020,Q,2020,H,,9,19,6,7,NST,17.5, ,Maximum
02ZM020,Q,2020,L,,7,14,19,42,NST,0.06199999898672104,E,Minimum
02ZM020,Q,2021,H,,8,20,21,7,NST,17.700000762939453, ,Maximum
02ZM020,Q,2021,L,,7,19,18,2,NST,0.0430000014603138,E,Minimum
02ZM020,Q,2022,H,,9,12,4,32,NST,32.70000076293945, ,Maximum
02ZM020,Q,2022,L,,8,7,18,57,NST,0.08500000089406967, ,Minimum
