Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
02ZM020,2024-05-28T14:00:00,-3.5,Stage/Niveau d'eau,0.681,,,,,,,,,HG: 0.681 No Reset (NR),,,,,,Provisional/Provisoire,
02ZM020,2024-05-13T12:39:30,-3.5,Discharge/Débit,,0.81,0.638,32.0,-0.042,-0.1885,-0.034,"Measurement condition : Clear; Clear , No Precipitation , Calm Wind Blowing Upstream",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",3.8,1.26,0.507,10.0,7.5,Provisional/Provisoire,4.79
02ZM020,2024-05-13T12:20:00,-3.5,Stage/Niveau d'eau,0.812,,,,,,,,,HG: 0.810 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZM020,2024-03-21T12:35:00,-3.5,Stage/Niveau d'eau,0.812,,,,,,,,,HG: 0.234 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02ZM020,2024-03-21T12:05:00,-3.5,Stage/Niveau d'eau,0.812,,,,,,,,,HG: 0.850 Reset (RS),,,,,,Provisional/Provisoire,
02ZM020,2024-03-20T16:40:00,-3.5,Stage/Niveau d'eau,0.822,,,,,,,,,HG: 0.761 Surge: 0.001  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02ZM020,2024-03-06T15:05:00,-3.5,Stage/Niveau d'eau,0.898,,,,,,,,,HG: 0.891 Surge: 0.010  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
02ZM020,2024-01-10T15:45:00,-3.5,Stage/Niveau d'eau,0.664,,,,,,,,,HG: 0.654 Reset (RS). WAs entered initially at incorrect time of 12:20,,,,,,Provisional/Provisoire,
02ZM020,2023-12-21T17:05:00,-3.5,Stage/Niveau d'eau,0.759,,,,,,,,,HG: 0.759 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
02ZM020,2023-12-21T15:25:00,-3.5,Stage/Niveau d'eau,0.691,,,,,,,,,Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.,,,,,,Provisional/Provisoire,
