Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
03NE001,2024-06-12T13:11:00,-4,Discharge/Débit,,2.152,5.54,11.0,0.009,-0.0216,-0.0167,"Measurement condition : Clear; Clear , No Precipitation , Light Wind Blowing Downstream",,"@ Uncertainty: QRev Uncertainty Analysis (DS Mueller, 2016), 2-sigma value (1 x Uncertainty Value reported in *.xml File). @ NO SRC, LOGGER CALLED CORRECT. ADCP by Moving Boat",21.4,27.9,0.199,15.0,8.3,Provisional/Provisoire,5.6
03NE001,2024-06-12T12:35:00,-4,Stage/Niveau d'eau,2.15,,,,,,,,,HG: 2.150 Surge: 0.002  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
03NE001,2024-03-21T16:26:00,-4,Discharge/Débit,,1.432,0.104,11.0,0.048,-0.2907,-0.2336,"Measurement condition : Ice; Clear , No Precipitation , Light Wind Blowing Upstream",100% ICE AT GAUGE. OPEN D/S,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ UNABLE TO OBTAIN OSWL DUE TO HELICOPTER TIME CONSTRAINTS. Mid-section",4.0,1.16,0.09,-5.0,1.0,Final/Finales,7.13
03NE001,2023-10-04T18:44:30,-4,Discharge/Débit,,1.491,0.2,11.0,0.00526,-0.09020001,-0.02,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",4.3,0.98,0.204,12.0,,Final/Finales,5.64
03NE001,2023-10-04T18:25:00,-4,Stage/Niveau d'eau,1.491,,,,,,,,,GC: 0.000 HG: 1.507 Surge: 0.003  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
03NE001,2023-06-12T15:31:30,-4,Discharge/Débit,,2.057,4.18,11.0,0.008,-0.0348,-0.0348,"Measurement condition : Clear; Smokey , No Precipitation ,  ",,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",13.0,5.18,0.807,17.0,4.5,Final/Finales,9.54
03NE001,2023-06-12T15:15:00,-4,Stage/Niveau d'eau,2.057,,,,,,,,,HG: 2.085 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
03NE001,2022-10-07T19:50:00,-4,Stage/Niveau d'eau,1.719,,,,,,,,,HG: 1.691 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Reset (RS),,,,,,Final/Finales,
03NE001,2022-06-14T13:52:00,-4,Stage/Niveau d'eau,2.314,,,,,,,,,HG: 2.312 No Reset (NR),,,,,,Final/Finales,
03NE001,2022-06-08T14:28:00,-4,Discharge/Débit,,2.311,6.89,11.0,-0.0813,-0.1697,-0.1697,"Measurement condition : Clear; Clear , No Precipitation ,  ",,ADCP by Moving Boat,20.0,29.5,0.234,18.0,,Final/Finales,6.4
03NE001,2022-06-08T13:47:00,-4,Stage/Niveau d'eau,2.306,,,,,,,,,HG: 2.303 No Reset (NR),,,,,,Final/Finales,
03NE001,2021-10-04T15:36:30,-4,Discharge/Débit,,2.104,5.11,10.0,0.0284,0.0197,0.0197,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable",,Mid-section,14.1,8.06,0.634,8.0,8.4,Final/Finales,5.1
03NE001,2021-10-04T14:58:00,-4,Stage/Niveau d'eau,2.104,,,,,,,,,HG: 2.104 No Reset (NR),,,,,,Final/Finales,
03NE001,2021-07-11T18:23:00,-4,Discharge/Débit,,2.121,5.09,10.0,0.00993,-0.0273,-0.0273,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Very Light Wind Blowing Upstream",,Mid-section,14.0,7.13,0.714,21.0,11.4,Final/Finales,9.92
03NE001,2021-07-11T17:14:00,-4,Stage/Niveau d'eau,2.121,,,,,,,,,HG: 2.121 No Reset (NR),,,,,,Final/Finales,
03NE001,2021-06-05T18:27:30,-4,Discharge/Débit,,2.628,15.9,10.0,-0.0258,-0.052699998,-0.052699998,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Calm Wind Blowing Downstream",,ICE IN POND  Corrected M.G.H. includes Sensor Reset Correction of 0.011 and Gage Correction of 0.000 applied to Weighted M.G.H of 2.617 RESET TO OSWL. ADCP by Moving Boat,26.3,40.3,0.394,16.0,,Final/Finales,4.2
03NE001,2021-06-05T17:53:00,-4,Stage/Niveau d'eau,2.628,,,,,,,,,HG: 2.617 SRC: 0.011 Reset (RS),,,,,,Final/Finales,
03NE001,2020-10-05T17:29:30,-4,Discharge/Débit,,2.065,3.92,10.0,-0.0267,-0.075,-0.075,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Light Wind Blowing Downstream",,Corrected M.G.H. includes Sensor Reset Correction of -0.022 and Gage Correction of 0.000 applied to Weighted M.G.H of 2.087 HG RESET TO OSWL Mid-section,12.0,5.94,0.66,4.0,7.0,Final/Finales,17.3
03NE001,2020-10-05T16:30:00,-4,Stage/Niveau d'eau,2.065,,,,,,,,,HG: 2.087 SRC: -0.022,,,,,,Final/Finales,
03NE001,2020-10-05T16:27:00,-4,Stage/Niveau d'eau,2.065,,,,,,,,,HG: 2.087 SRC: -0.022 Reset (RS),,,,,,Final/Finales,
03NE001,2020-07-29T17:50:00,-4,Stage/Niveau d'eau,1.88,,,,,,,,,HG: 1.886 SRC: -0.006 Reset (RS),,,,,,Final/Finales,
03NE001,2020-07-29T17:32:00,-4,Discharge/Débit,,1.88,2.09,10.0,0.00164,0.0076,0.0076,"Measurement condition : ; Clear ,  , Light Wind ",,Corrected M.G.H. includes Sensor Reset Correction of -0.006 and Gage Correction of 0.000 applied to Weighted M.G.H of 1.886 RESET TO OSWL Mid-section,8.0,4.16,0.503,26.0,15.4,Final/Finales,7.0
03NE001,2019-09-24T17:15:00,-4,Stage/Niveau d'eau,1.748,,,,,,,,,Source:Manual,,,,,,Final/Finales,
03NE001,2019-09-24T04:00:00,-4,Discharge/Débit,,1.748,1.04,,,,,,,Sources:Manual,7.9,3.27,0.319,8.0,9.3,Final/Finales,
03NE001,2019-07-25T17:12:36,-4,Discharge/Débit,,2.017,3.84,,,,,,,"Sources:Manual,Import",11.5,4.778,0.8045,16.0,12.18,Final/Finales,3.2
03NE001,2019-07-25T17:00:00,-4,Stage/Niveau d'eau,2.017,,,,,,,,,Source:Manual Sensor Reset Correction of -0.068,,,,,,Final/Finales,
03NE001,2019-05-31T16:15:00,-4,Stage/Niveau d'eau,2.085,,,,,,,,,Source:Manual,,,,,,Final/Finales,
03NE001,2019-03-14T16:00:00,-4,Stage/Niveau d'eau,1.449,,,,,,,,,Source:Manual,,,,,,Final/Finales,
03NE001,2019-03-14T15:38:30,-4,Discharge/Débit,,1.449,0.087,,,,,,,Sources:Manual,3.3,1.155,0.075,-16.0,,Final/Finales,
03NE001,2018-09-25T17:18:30,-4,Discharge/Débit,,1.954,2.74,,,,,,,100 metres below gauge MGH has had sensor reset applied at upload (1.954 + 0.000) Sources:eHSN v1.2.4,9.8,3.6,0.769,1.0,7.4,Final/Finales,
