STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
03NE011,2,2003,"MAX., & MIN. INST. & MAX., & MIN. DAILY WATER LEVEL NOT VALID- MISSING DATA
MAX.  & MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.
",
03NE011,2,2011,MIN. INST. DISCHARGES NOT VALID- OCCURRED DURING BACKWATER CONDITIONS,MIN. INST. DEBITS NON VALIDES ? RELEVES AU COURS DE CONDITIONS DE REMOUS
03NE011,2,2012,MAX. & MIN. INST. DISCHARGE NOT VALID- MISSING DATA AND\OR OCCURRED DURING ESTIMATED PERIOD,
03NE011,2,2013,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS. MIN. INST. WATER LEVEL NOT VALID- MISSING DATA. MIN. DAILY WATER LEVEL NOT VALID- MISSING DATA,
03NE011,2,2014,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.  MIN. INST.& MIN. DAILY WATER LEVELS NOT VALID- MISSING DATA,
03NE011,2,2015,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS MIN. INST. & MIN. DAILY WATER LEVEL NOT VALID- MISSING DATA,
03NE011,2,2016,"MAX. & MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.
MIN. INST. WATER LEVEL NOT VALID- MISSING DATA.",
03NE011,2,2017,MIN INST. WATER LEVEL NOT VALID ? MISSING DATA. MAX & MIN INST. DISCHARGE NOT VALID ? OCCURRED DURING BACKWATER CONDITIONS.,
03NE011,2,2018,MIN INST. DISCHARGE NOT VALID - OCCURRED DURING BACKWATER CONDITIONS.,
03NE011,2,2019,"MAX., & MIN. INST. & MAX., & MIN. DAILY WATER LEVEL NOT VALID- MISSING DATA

MAX.  & MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER 
CONDITIONS.
",
03NE011,2,2020,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.,
03NE011,2,2021,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.,
03NE011,2,2022,"WATER LEVEL UNAVAILABLE FOR THE PERIODS OF FEB 20 TO MAR 25, APR 8-30 AND MAY 12-14 - EQUIPMENT MALFUNCTION.
MAX., MIN. INST. & MAX., MIN. DAILY WATER LEVEL NOT VALID- MISSING DATA.
MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.
",
03NE011,2,2023,MIN. INST. DISCHARGE NOT VALID- OCCURRED DURING BACKWATER CONDITIONS.,
