STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
03NE012,H,2011,H,8.0,5,4,12,30,AST,1.3029999732971191,,Maximum
03NE012,H,2012,H,8.0,4,29,21,0,AST,1.8350000381469729,,Maximum
03NE012,H,2014,H,8.0,5,16,9,0,AST,1.434000015258789,,Maximum
03NE012,H,2016,H,8.0,5,5,15,0,AST,1.6150000095367432,,Maximum
03NE012,H,2016,L,8.0,4,6,8,0,AST,0.31200000643730164,,Minimum
03NE012,H,2017,H,8.0,5,12,10,0,AST,1.4950000047683716,,Maximum
03NE012,H,2018,H,8.0,5,30,12,0,AST,1.6130000352859497,,Maximum
03NE012,H,2018,L,8.0,4,10,21,0,AST,0.39500001072883606,,Minimum
03NE012,H,2019,H,8.0,11,11,8,0,AST,1.0789999961853027, ,Maximum
03NE012,H,2020,H,8.0,5,10,14,0,AST,1.7690000534057615, ,Maximum
03NE012,H,2020,L,8.0,1,25,16,0,AST,0.4059999883174896, ,Minimum
03NE012,H,2021,H,8.0,5,21,16,0,AST,1.14900004863739, ,Maximum
03NE012,H,2021,L,8.0,8,30,1,0,AST,0.38199999928474426, ,Minimum
03NE012,H,2022,H,8.0,5,12,1,0,AST,1.1820000410079956, ,Maximum
03NE012,H,2022,L,8.0,2,17,18,0,AST,0.37400001287460327, ,Minimum
03NE012,H,2023,H,8.0,3,9,2,10,AST,1.787999987602234, ,Maximum
03NE012,H,2023,L,8.0,11,2,12,20,AST,0.3580000102519989, ,Minimum
03NE012,Q,2004,H,,6,12,0,0,AST,3.059999942779541, ,Maximum
03NE012,Q,2005,H,,5,11,21,30,AST,3.3499999046325684, ,Maximum
03NE012,Q,2006,H,,5,13,21,30,AST,4.760000228881836,E,Maximum
03NE012,Q,2007,H,,9,13,7,25,AST,3.140000104904175, ,Maximum
03NE012,Q,2008,H,,5,19,11,35,AST,3.7200000286102295,,Maximum
03NE012,Q,2009,H,,6,4,21,55,AST,1.7899999618530271, ,Maximum
03NE012,Q,2010,H,,6,25,18,30,AST,4.650000095367432,E,Maximum
03NE012,Q,2011,H,,6,16,20,30,AST,5.420000076293945,,Maximum
03NE012,Q,2012,H,,5,16,19,0,AST,3.940000057220459,,Maximum
03NE012,Q,2013,H,,6,9,21,0,AST,1.559999942779541,,Maximum
03NE012,Q,2014,H,,5,22,21,0,AST,4.309999942779541,,Maximum
03NE012,Q,2016,H,,5,19,19,0,AST,3.5,,Maximum
03NE012,Q,2018,H,,6,19,0,0,AST,1.909999966621399,,Maximum
03NE012,Q,2020,H,,8,27,3,0,AST,6.75,E,Maximum
03NE012,Q,2021,H,,5,21,16,0,AST,7.190000057220459,E,Maximum
03NE012,Q,2022,H,,5,22,17,0,AST,3.380000114440918, ,Maximum
03NE012,Q,2023,H,,5,4,19,35,AST,1.1699999570846558, ,Maximum
