STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
04CA002,H,2008,H,8.0,9,9,14,25,EST,29.350000381469727,,Maximum
04CA002,H,2008,L,8.0,4,21,19,40,EST,26.9379997253418,,Minimum
04CA002,H,2009,H,8.0,8,31,17,40,EST,29.086000442504883,,Maximum
04CA002,H,2009,L,8.0,4,21,17,53,EST,26.90399932861328,,Minimum
04CA002,H,2010,H,8.0,12,31,11,11,EST,28.84600067138672,,Maximum
04CA002,H,2010,L,8.0,4,2,13,0,EST,26.54599952697754,,Minimum
04CA002,H,2011,H,8.0,1,6,11,41,EST,28.95800018310547,,Maximum
04CA002,H,2011,L,8.0,10,3,8,36,EST,26.58699989318848,,Minimum
04CA002,H,2012,H,8.0,12,31,23,51,EST,28.86400032043457,,Maximum
04CA002,H,2012,L,8.0,3,23,11,21,EST,26.67799949645996,,Minimum
04CA002,H,2013,H,8.0,5,26,11,46,EST,29.27199935913086,,Maximum
04CA002,H,2016,H,8.0,1,22,5,20,EST,29.02899932861328,,Maximum
04CA002,H,2016,L,8.0,4,17,21,30,EST,26.70499992370605,,Minimum
04CA002,H,2017,H,8.0,1,15,2,25,EST,29.36599922180176,,Maximum
04CA002,H,2017,L,8.0,10,30,3,5,EST,26.63400077819824,,Minimum
04CA002,H,2018,H,8.0,6,16,14,40,EST,28.275999069213867,,Maximum
04CA002,H,2018,L,8.0,4,28,21,50,EST,26.488000869750977,,Minimum
04CA002,H,2019,H,8.0,11,16,13,5,EST,29.25, ,Maximum
04CA002,H,2019,L,8.0,4,23,21,25,EST,26.65999984741211, ,Minimum
04CA002,H,2020,H,8.0,6,28,12,40,EST,29.516000747680664, ,Maximum
04CA002,H,2020,L,8.0,5,2,2,20,EST,26.868000030517575, ,Minimum
04CA002,H,2021,H,8.0,6,17,16,15,EST,28.541000366210938, ,Maximum
04CA002,H,2021,L,8.0,4,14,21,40,EST,26.82900047302246, ,Minimum
04CA002,H,2022,H,8.0,6,2,8,0,EST,30.165000915527344, ,Maximum
04CA002,H,2022,L,8.0,4,14,10,10,EST,27.11400032043457, ,Minimum
04CA002,H,2023,H,8.0,6,12,18,45,EST,27.77899932861328, ,Maximum
04CA002,H,2023,L,8.0,4,29,8,50,EST,26.733999252319336, ,Minimum
04CA002,Q,1970,H,,7,8,17,0,CST,770.0,,Maximum
04CA002,Q,1972,H,,5,22,20,53,CST,722.0,,Maximum
04CA002,Q,1973,H,,5,24,0,0,CST,640.0,,Maximum
04CA002,Q,1974,H,,6,19,12,6,CST,697.0,,Maximum
04CA002,Q,1975,H,,6,27,10,43,CST,691.0,,Maximum
04CA002,Q,1976,H,,5,15,16,0,CST,379.0,,Maximum
04CA002,Q,1977,H,,10,24,15,10,EST,282.0,,Maximum
04CA002,Q,1979,H,,6,7,5,1,EST,715.0,,Maximum
04CA002,Q,1980,H,,5,16,13,0,EST,414.0,,Maximum
04CA002,Q,1981,H,,6,30,22,17,EST,499.0,,Maximum
04CA002,Q,1982,H,,6,15,15,41,EST,887.0,,Maximum
04CA002,Q,1983,H,,6,29,14,53,EST,691.0,,Maximum
04CA002,Q,1984,H,,5,21,16,49,EST,407.0,,Maximum
04CA002,Q,1985,H,,7,7,17,5,EST,1020.0,,Maximum
04CA002,Q,1986,H,,5,19,18,41,EST,682.0,,Maximum
04CA002,Q,1988,H,,6,5,22,23,EST,317.0,,Maximum
04CA002,Q,1989,H,,6,4,15,15,EST,380.0,,Maximum
04CA002,Q,1990,H,,5,26,15,42,EST,783.0,,Maximum
04CA002,Q,1991,H,,6,18,16,50,EST,264.0,,Maximum
04CA002,Q,1993,H,,7,31,21,1,EST,312.0,,Maximum
04CA002,Q,1994,H,,8,12,17,42,EST,535.0,,Maximum
04CA002,Q,2008,H,,9,9,14,25,EST,867.0, ,Maximum
04CA002,Q,2009,H,,8,31,17,40,EST,762.0, ,Maximum
04CA002,Q,2010,H,,9,18,14,31,EST,559.0, ,Maximum
04CA002,Q,2011,H,,6,6,15,31,EST,580.0,,Maximum
04CA002,Q,2012,H,,6,28,14,1,EST,673.0,,Maximum
04CA002,Q,2013,H,,5,26,11,46,EST,848.0,,Maximum
04CA002,Q,2016,H,,11,12,0,20,EST,574.0,,Maximum
04CA002,Q,2017,H,,6,27,8,40,EST,792.0,,Maximum
04CA002,Q,2018,H,,6,16,14,40,EST,468.0,,Maximum
04CA002,Q,2019,H,,10,29,22,35,EST,716.0, ,Maximum
04CA002,Q,2020,H,,6,28,12,40,EST,929.0, ,Maximum
04CA002,Q,2021,H,,6,17,16,15,EST,570.0, ,Maximum
04CA002,Q,2022,H,,6,2,8,0,EST,1290.0, ,Maximum
04CA002,Q,2023,H,,6,12,18,45,EST,351.0, ,Maximum
