STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05AA033,H,2012,H,8.0,7,15,13,31,MST,8.27400016784668, ,Maximum
05AA033,H,2013,H,8.0,6,20,14,1,MST,8.272000312805176,,Maximum
05AA033,H,2014,H,8.0,6,18,20,31,MST,8.82699966430664,,Maximum
05AA033,H,2015,H,8.0,5,17,11,41,MST,8.322999954223633,,Maximum
05AA033,H,2016,H,8.0,5,30,5,21,MST,8.104999542236328,,Maximum
05AA033,H,2017,H,8.0,3,14,17,36,MST,9.517000198364258,,Maximum
05AA033,H,2018,H,8.0,3,18,9,34,MST,9.258999824523926,,Maximum
05AA033,H,2019,H,8.0,3,23,16,50,MST,8.715999603271484, ,Maximum
05AA033,H,2020,H,8.0,3,29,19,5,MST,8.635000228881836, ,Maximum
05AA033,H,2022,H,8.0,6,13,10,10,MST,8.131999969482422, ,Maximum
05AA033,H,2023,H,8.0,3,26,19,35,MST,8.35099983215332, ,Maximum
05AA033,Q,2005,H,,6,7,12,30,MST,33.900001525878906, ,Maximum
05AA033,Q,2005,L,,2,22,0,0,MST,0.0,B,Minimum
05AA033,Q,2006,H,,6,15,12,55,MST,4.389999866485596, ,Maximum
05AA033,Q,2006,L,,8,1,0,0,MST,0.0, ,Minimum
05AA033,Q,2007,L,,2,22,0,0,MST,0.0,B,Minimum
05AA033,Q,2008,H,,6,11,21,0,MST,5.059999942779541, ,Maximum
05AA033,Q,2008,L,,2,27,0,0,MST,0.0,B,Minimum
05AA033,Q,2009,H,,7,26,20,55,MST,6.360000133514404, ,Maximum
05AA033,Q,2009,L,,3,1,0,0,MST,0.0,B,Minimum
05AA033,Q,2011,H,,6,8,16,1,MST,9.93000030517578, ,Maximum
05AA033,Q,2011,L,,3,1,0,0,MST,0.0,B,Minimum
05AA033,Q,2012,H,,7,15,13,31,MST,1.690000057220459, ,Maximum
05AA033,Q,2012,L,,6,3,21,31,MST,0.0, ,Minimum
05AA033,Q,2013,H,,6,20,14,1,MST,0.8669999837875366,,Maximum
05AA033,Q,2013,L,,3,1,0,0,MST,0.0,B,Minimum
05AA033,Q,2014,H,,6,18,20,31,MST,10.399999618530272,,Maximum
05AA033,Q,2015,H,,5,17,11,41,MST,1.149999976158142,,Maximum
05AA033,Q,2015,L,,7,26,4,21,MST,0.0,,Minimum
05AA033,Q,2016,H,,8,10,9,41,MST,0.07699999958276749,,Maximum
05AA033,Q,2016,L,,4,30,2,36,MST,0.0,,Minimum
05AA033,Q,2017,H,,5,17,16,36,MST,3.4800000190734863,,Maximum
05AA033,Q,2017,L,,5,13,23,1,MST,0.0,,Minimum
05AA033,Q,2018,L,,2,27,11,30,MST,0.0,B,Minimum
05AA033,Q,2019,H,,5,26,8,0,MST,1.940000057220459, ,Maximum
05AA033,Q,2019,L,,2,28,14,15,MST,0.0,B,Minimum
05AA033,Q,2020,H,,6,30,19,20,MST,4.199999809265137, ,Maximum
05AA033,Q,2021,H,,7,11,13,55,MST,0.08399999886751175, ,Maximum
05AA033,Q,2022,H,,6,13,10,10,MST,0.38199999928474426, ,Maximum
05AA033,Q,2023,H,,4,10,21,0,MST,0.7440000176429749, ,Maximum
