Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05BG006,Drift,HG,2024-01-16T19:45:00,2024-01-26T21:25:00,2024-01-29T15:59:55,-7,SRC (0.000 TO 0.014m) NO RESET TO  INNOVATION HG3.,"DriftPoints:(Offset:0,Time:2024-01-16T19:45:00Z);(Offset:0.014,Time:2024-01-26T21:25:00Z)",Normal
05BG006,CopyPaste,HG,2024-01-16T19:45:00,2024-01-26T21:25:00,2024-01-29T15:51:44,-7,"OC - C&P FROM INNOVATION STAGE.TELEMETRY3Override: Copy & Paste‌Source Data Set: Stage.Telemetry3@05BGX06, time shift: 00:00 minutes.‌",,PreProcessing
05BG006,CopyPaste,QR,2024-01-01T07:00:00,2024-01-27T07:00:00,2024-02-01T20:38:03,-7,2024 Ice work begins.,,Normal
05BG006,CopyPaste,QR,2023-12-17T07:25:00,2024-01-01T06:59:59,2024-02-01T18:47:51,-7,B - IceOverride: Linear‌Q(t) = (0.01574328089534115)t + 0.6711315822775452‌,,Normal
05BG006,CopyPaste,HG,2023-12-11T18:30:00,2024-01-16T19:40:00,2024-01-17T17:13:16,-7,"OC - C&P FROM INNOVATION STAGE.TELEMETRY3Override: Copy & Paste‌Source Data Set: Stage.Telemetry3@05BGX06, time shift: 00:00 minutes.‌",,PreProcessing
05BG006,Drift,HG,2023-12-11T18:30:00,2024-01-16T19:40:00,2024-01-17T17:16:58,-7,"SRC (-0.007 TO -0.010) NO RESET, USING INNOVATION HG3 DATA","DriftPoints:(Offset:-0.007,Time:2023-12-11T18:30:00Z);(Offset:-0.01,Time:2024-01-16T19:40:00Z)",Normal
05BG006,CopyPaste,HG,2023-12-07T07:15:00,2023-12-07T12:20:00,2024-02-06T17:36:19,-7,"Brief period where Innovation Ott data loss, Override with stable trace from operations Ott with no silting lined up with innovation override.  Override: Copy & Paste‌Source Data Set: Stage.Telemetry@05BG006, time shift: 00:00 minutes.‌",,Normal
05BG006,Drift,HG,2023-11-02T11:35:00,2023-12-11T18:25:00,2023-12-12T20:23:34,-7,"EST SRC (-0.012 TO -0.070m) RESET, APPLIED BACK TO SUSPECTED ORIFICE MOVEMENT","DriftPoints:(Offset:-0.012,Time:2023-11-02T11:35:00Z);(Offset:-0.07,Time:2023-12-11T18:25:00Z)",Normal
05BG006,CopyPaste,HG,2023-11-01T13:35:00,2023-12-11T18:30:00,2024-02-06T17:26:36,-7,"C&P from Innovation stage working3 Ott as operations Ott experiencing general orifice instability from either silting or slush. Override: Copy & Paste‌Source Data Set: Stage.Working3 (Innovation - OTT PLS with Pipe Chamber)@05BGX06, time shift: 00:00 minutes.‌",,Normal
05BG006,CopyPaste,QR,2023-11-01T07:05:00,2023-12-20T18:05:00,2023-12-20T18:51:32,-7,B - Ice OverridesOverride: Linear‌Q(t) = (0.0027757893493656604)t + 0.808‌with freehand adjustment‌,,Normal
