STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05BH016,H,2013,H,8.0,6,21,15,45,MST,6.546999931335449,,Maximum
05BH016,H,2014,H,8.0,3,3,13,0,MST,7.538000106811523,,Maximum
05BH016,H,2015,H,8.0,3,10,1,50,MST,5.956999778747559,,Maximum
05BH016,H,2016,H,8.0,8,7,6,15,MST,6.380000114440918,,Maximum
05BH016,H,2017,H,8.0,3,15,17,35,MST,6.681000232696533,,Maximum
05BH016,H,2018,H,8.0,4,21,7,55,MST,6.652999877929688,,Maximum
05BH016,H,2019,H,8.0,3,16,2,20,MST,6.853000164031982, ,Maximum
05BH016,H,2020,H,8.0,4,9,21,5,MST,6.558000087738037, ,Maximum
05BH016,H,2021,H,8.0,3,14,4,25,MST,5.960999965667725, ,Maximum
05BH016,H,2022,H,8.0,6,14,22,15,MST,6.263000011444092, ,Maximum
05BH016,H,2023,H,8.0,3,31,20,15,MST,6.084000110626221, ,Maximum
05BH016,Q,2013,H,,6,21,15,45,MST,5.579999923706055,E,Maximum
05BH016,Q,2013,L,,3,1,0,0,MST,0.0,B,Minimum
05BH016,Q,2014,H,,4,8,9,45,MST,5.71999979019165,E,Maximum
05BH016,Q,2015,H,,8,22,4,5,MST,0.7110000252723694,,Maximum
05BH016,Q,2016,H,,8,7,6,15,MST,1.0099999904632568,,Maximum
05BH016,Q,2018,H,,4,21,7,55,MST,5.739999771118164,,Maximum
05BH016,Q,2019,H,,6,28,0,10,MST,4.239999771118164, ,Maximum
05BH016,Q,2019,L,,2,25,14,20,MST,0.0,B,Minimum
05BH016,Q,2020,H,,4,18,9,5,MST,3.700000047683716, ,Maximum
05BH016,Q,2022,H,,6,14,22,35,MST,3.2699999809265137, ,Maximum
05BH016,Q,2023,H,,4,9,14,20,MST,0.6489999890327454,B,Maximum
