STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05BL019,H,2012,H,8.0,6,24,8,0,MST,1.7009999752044678,,Maximum
05BL019,H,2013,H,8.0,6,20,8,0,MST,4.991000175476074,,Maximum
05BL019,H,2014,H,8.0,6,19,8,40,MST,2.0420000553131104,,Maximum
05BL019,H,2015,H,8.0,6,3,7,40,MST,1.5119999647140503,,Maximum
05BL019,H,2016,H,8.0,7,17,17,55,MST,1.350000023841858, ,Maximum
05BL019,H,2017,H,8.0,6,1,1,50,MST,1.74399995803833, ,Maximum
05BL019,H,2018,H,8.0,5,17,9,10,MST,1.6779999732971191,,Maximum
05BL019,H,2019,H,8.0,6,24,5,50,MST,1.5759999752044678,,Maximum
05BL019,H,2021,H,8.0,6,4,3,15,MST,1.7860000133514404, ,Maximum
05BL019,H,2022,H,8.0,6,18,23,10,MST,2.094000101089477, ,Maximum
05BL019,H,2022,L,8.0,4,16,7,55,MST,0.6980000138282776, ,Minimum
05BL019,H,2023,H,8.0,5,17,6,35,MST,1.5729999542236328, ,Maximum
05BL019,Q,1951,H,,6,15,2,0,MST,115.0,,Maximum
05BL019,Q,1952,H,,6,12,10,30,MST,53.5,,Maximum
05BL019,Q,1953,H,,6,9,1,0,MST,283.0,,Maximum
05BL019,Q,1954,H,,5,19,22,0,MST,89.80000305175781,,Maximum
05BL019,Q,1955,H,,6,13,2,0,MST,71.9000015258789,,Maximum
05BL019,Q,1956,H,,5,20,23,0,MST,90.5999984741211,,Maximum
05BL019,Q,1957,H,,5,20,6,0,MST,47.0,,Maximum
05BL019,Q,1958,H,,5,23,1,0,MST,47.900001525878906,,Maximum
05BL019,Q,1959,H,,6,6,2,0,MST,60.900001525878906,,Maximum
05BL019,Q,1960,H,,6,3,22,0,MST,61.20000076293945,,Maximum
05BL019,Q,1961,H,,5,27,8,0,MST,119.0,,Maximum
05BL019,Q,1962,H,,6,18,4,0,MST,38.20000076293945,,Maximum
05BL019,Q,1963,H,,6,29,20,0,MST,186.0,,Maximum
05BL019,Q,1964,H,,6,8,18,0,MST,113.0,,Maximum
05BL019,Q,1965,H,,6,18,5,0,MST,138.0,,Maximum
05BL019,Q,1966,H,,6,4,23,0,MST,66.5,,Maximum
05BL019,Q,1967,H,,5,30,18,0,MST,258.0,,Maximum
05BL019,Q,1968,H,,6,10,23,59,MST,43.59999847412109,,Maximum
05BL019,Q,1969,H,,6,29,16,48,MST,94.9000015258789,,Maximum
05BL019,Q,1970,H,,6,13,23,8,MST,101.0,,Maximum
05BL019,Q,1971,H,,6,6,9,30,MST,93.1999969482422,,Maximum
05BL019,Q,1972,H,,6,1,0,30,MST,134.0,,Maximum
05BL019,Q,1973,H,,6,7,8,0,MST,64.5999984741211,,Maximum
05BL019,Q,1974,H,,6,17,2,30,MST,143.0,,Maximum
05BL019,Q,1975,H,,6,20,0,30,MST,174.0,,Maximum
05BL019,Q,1976,H,,8,5,15,0,MST,101.0,,Maximum
05BL019,Q,1977,H,,6,8,3,0,MST,19.700000762939453,,Maximum
05BL019,Q,1978,H,,6,6,3,0,MST,77.30000305175781,,Maximum
05BL019,Q,1979,H,,5,27,3,0,MST,68.69999694824219,,Maximum
05BL019,Q,1980,H,,5,26,7,30,MST,70.0999984741211,,Maximum
05BL019,Q,1981,H,,5,26,1,30,MST,148.0,,Maximum
05BL019,Q,1982,H,,6,15,1,40,MST,46.29999923706055,,Maximum
05BL019,Q,1983,H,,5,30,2,33,MST,46.900001525878906,,Maximum
05BL019,Q,1984,H,,5,31,1,53,MST,35.79999923706055,,Maximum
05BL019,Q,1985,H,,9,12,23,44,MST,40.5,,Maximum
05BL019,Q,1986,H,,5,29,1,26,MST,106.0,,Maximum
05BL019,Q,1987,H,,5,13,2,40,MST,39.59999847412109,,Maximum
05BL019,Q,1988,H,,6,8,4,31,MST,53.29999923706055,,Maximum
05BL019,Q,1989,H,,6,7,2,34,MST,41.400001525878906,,Maximum
05BL019,Q,1990,H,,5,26,2,39,MST,214.0,,Maximum
05BL019,Q,1991,H,,5,21,0,34,MST,88.69999694824219,,Maximum
05BL019,Q,1992,H,,7,9,17,33,MST,65.9000015258789,,Maximum
05BL019,Q,1994,H,,6,7,3,16,MST,49.79999923706055,,Maximum
05BL019,Q,1995,H,,6,6,20,51,MST,661.0,,Maximum
05BL019,Q,1996,H,,6,9,0,29,MST,101.0,,Maximum
05BL019,Q,1997,H,,6,1,3,55,MST,114.0,,Maximum
05BL019,Q,1998,H,,5,27,19,20,MST,187.0,,Maximum
05BL019,Q,1999,H,,5,26,6,15,MST,40.20000076293945, ,Maximum
05BL019,Q,1999,L,,3,5,0,0,MST,1.0,B,Minimum
05BL019,Q,2000,H,,6,10,3,5,MST,30.0, ,Maximum
05BL019,Q,2001,H,,6,4,14,25,MST,61.09999847412109, ,Maximum
05BL019,Q,2002,H,,6,17,0,15,MST,161.0, ,Maximum
05BL019,Q,2003,H,,5,30,0,0,MST,50.59999847412109, ,Maximum
05BL019,Q,2004,H,,6,11,6,0,MST,37.0, ,Maximum
05BL019,Q,2005,H,,6,7,20,25,MST,173.0, ,Maximum
05BL019,Q,2006,H,,6,15,23,50,MST,72.5, ,Maximum
05BL019,Q,2007,H,,6,5,7,0,MST,58.79999923706055, ,Maximum
05BL019,Q,2008,H,,5,24,19,30,MST,225.0, ,Maximum
05BL019,Q,2009,H,,5,31,2,0,MST,41.20000076293945, ,Maximum
05BL019,Q,2010,H,,6,18,0,0,MST,63.5, ,Maximum
05BL019,Q,2011,H,,5,26,19,45,MST,96.0, ,Maximum
05BL019,Q,2012,H,,6,24,8,0,MST,115.0,,Maximum
05BL019,Q,2013,H,,6,20,8,0,MST,1000.0,A,Maximum
05BL019,Q,2014,H,,6,19,8,40,MST,122.0,,Maximum
05BL019,Q,2015,H,,6,3,7,40,MST,37.29999923706055,,Maximum
05BL019,Q,2016,H,,7,17,17,55,MST,25.899999618530277, ,Maximum
05BL019,Q,2017,H,,6,1,1,50,MST,83.0999984741211, ,Maximum
05BL019,Q,2018,H,,5,17,9,10,MST,41.59999847412109,,Maximum
05BL019,Q,2019,H,,6,24,5,50,MST,40.0,,Maximum
05BL019,Q,2021,H,,6,4,3,15,MST,64.0, ,Maximum
05BL019,Q,2022,H,,6,18,23,10,MST,136.0, ,Maximum
05BL019,Q,2023,H,,5,17,6,35,MST,39.79999923706055, ,Maximum
