Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05CC007,CopyPaste,QR,2024-01-01T07:00:00,2024-01-30T20:35:00,2024-02-14T20:31:05,-7,OC. ADJUSTED DISCHARGE UNDER ICE CONDITONS.Override: Linear‌Q(t) = (0.03487087836956761)t + 2.1294085834234595‌,,Normal
05CC007,Drift,HG,2023-12-12T22:00:00,2024-01-30T21:10:00,2024-01-31T15:45:48,-7,SRC (0.000 TO -0.007m) RESET,"DriftPoints:(Offset:0,Time:2023-12-12T22:00:00Z);(Offset:-0.007,Time:2024-01-30T21:10:00Z)",Normal
05CC007,CopyPaste,QR,2023-12-12T21:35:00,2024-01-01T06:55:00,2024-02-14T20:17:25,-7,OC. ADJUSTED DISCHARGE UNDER ICE CONDITONS.OC. ADJUSTED DISCHARGE UNDER ICE CONDITONS.Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
05CC007,Drift,HG,2023-12-12T21:15:00,2023-12-12T21:55:00,2023-12-13T17:15:14,-7,SRC (0.000 TO -0.006m) RESET,"DriftPoints:(Offset:0,Time:2023-12-12T21:15:00Z);(Offset:-0.006,Time:2023-12-12T21:55:00Z)",Normal
05CC007,DeleteRegion,HG,2023-12-12T21:05:00,2023-12-12T21:10:00,2023-12-13T17:11:29,-7,DR - MAINTENANCE,,Normal
05CC007,DeleteRegion,HG,2023-11-29T03:05:00,2023-12-12T20:35:00,2023-12-13T17:10:36,-7,"DR - ORIFICE LINE FROZEN, STAGE INVALID",,Normal
05CC007,AdjustableTrim,HG,2023-11-06T11:55:00,2023-11-16T01:35:00,2024-02-15T16:59:12,-7,DR. DELETED DATA FOR SUSPECTED PRESSURE LEAK.,"UpperThresholdPoints:(Time:2023-11-06T11:55:00Z,Value:1.221863968400362);(Time:2023-11-08T03:18:27.806Z,Value:1.224175651917475);(Time:2023-11-09T03:12:56.016Z,Value:1.22787434730853);(Time:2023-11-10T05:27:21.124Z,Value:1.2225574734554958);(Time:2023-11-11T01:16:54.761Z,Value:1.217240601366136);(Time:2023-11-12T08:28:43.279Z,Value:1.2186276114764039);(Time:2023-11-13T08:58:10.713Z,Value:1.2103055508147973);(Time:2023-11-14T05:40:13.188Z,Value:1.21076788751822);(Time:2023-11-15T05:34:41.397Z,Value:1.2190899481798265);(Time:2023-11-16T01:35:00Z,Value:1.2190899481798265),TrimAction:Delete",Normal
05CC007,CopyPaste,QR,2023-10-29T12:50:00,2023-12-12T21:30:00,2023-12-20T18:15:16,-7,OC. ADJUSTED DISCHARGE DURING ICE INFLUENCE.Override: Freehand‌Override: Freehand‌Override: Freehand‌,,Normal
05CC007,CopyPaste,QR,2023-10-28T15:00:00,2023-10-29T00:05:00,2023-12-20T15:42:52,-7,OC. ADJUSTED DISCHARGE DURING ICE INFLUENCE.Override: Freehand‌,,Normal
05CC007,CopyPaste,QR,2023-10-28T04:00:00,2023-10-28T10:35:00,2023-12-20T15:42:08,-7,OC. ADJUSTED DISCHARGE DURING ICE INFLUENCE.Override: Linear‌Q(t) = (-0.014122290871254942)t + 0.3987386417924068‌,,Normal
05CC007,CopyPaste,QR,2023-10-27T16:00:00,2023-10-27T23:35:00,2023-12-20T15:40:22,-7,OC. ADJUSTED DISCHARGE DURING ICE INFLUENCE.Override: Freehand‌,,Normal
05CC007,CopyPaste,QR,2023-10-24T11:30:00,2023-10-27T01:05:00,2023-12-20T15:33:42,-7,OC. ADJUSTED DISCHARGE DURING ICE INFLUENCE.Override: Freehand‌,,Normal
