STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05CC009,H,2012,H,8.0,7,26,16,15,MST,1.7960000038146973,,Maximum
05CC009,H,2013,H,8.0,4,6,8,30,MST,1.6349999904632568,,Maximum
05CC009,H,2017,H,8.0,3,31,9,30,MST,1.955999970436096, ,Maximum
05CC009,H,2018,H,8.0,4,21,21,35,MST,2.013999938964844,,Maximum
05CC009,H,2019,H,8.0,3,25,12,55,MST,1.5789999961853027,,Maximum
05CC009,H,2020,H,8.0,4,19,12,30,MST,2.0280001163482666, ,Maximum
05CC009,H,2021,H,8.0,3,21,10,15,MST,1.3459999561309814, ,Maximum
05CC009,H,2022,H,8.0,7,8,1,20,MST,1.9759999513626096, ,Maximum
05CC009,H,2023,H,8.0,6,22,11,40,MST,1.5609999895095823, ,Maximum
05CC009,Q,1973,H,,7,3,11,0,MST,17.399999618530273,,Maximum
05CC009,Q,1981,H,,7,31,21,30,MST,29.200000762939453,,Maximum
05CC009,Q,1982,H,,7,5,22,34,MST,37.400001525878906,,Maximum
05CC009,Q,1984,H,,4,1,8,43,MST,3.490000009536743,,Maximum
05CC009,Q,1986,H,,7,19,6,45,MST,34.900001525878906,,Maximum
05CC009,Q,1988,H,,7,9,6,27,MST,6.809999942779541,,Maximum
05CC009,Q,1989,H,,4,15,15,44,MST,16.600000381469727,,Maximum
05CC009,Q,1990,H,,7,4,13,56,MST,88.80000305175781,,Maximum
05CC009,Q,1991,H,,5,15,9,8,MST,27.799999237060547,,Maximum
05CC009,Q,1992,H,,6,1,5,8,MST,4.840000152587891,,Maximum
05CC009,Q,1997,H,,4,18,12,0,MST,17.299999237060547,,Maximum
05CC009,Q,1998,H,,7,2,13,0,MST,7.130000114440918,,Maximum
05CC009,Q,1999,H,,7,10,9,0,MST,18.899999618530277, ,Maximum
05CC009,Q,1999,L,,3,6,0,0,MST,0.04699999839067459,B,Minimum
05CC009,Q,2000,H,,7,12,9,0,MST,17.899999618530273, ,Maximum
05CC009,Q,2001,H,,8,1,2,0,MST,13.300000190734863, ,Maximum
05CC009,Q,2002,H,,4,23,17,0,MST,3.4100000858306885,B,Maximum
05CC009,Q,2002,L,,7,17,19,0,MST,0.0, ,Minimum
05CC009,Q,2003,H,,4,11,9,2,MST,18.600000381469727,B,Maximum
05CC009,Q,2004,H,,7,14,5,0,MST,1.5800000429153442, ,Maximum
05CC009,Q,2005,H,,4,3,9,0,MST,17.700000762939453, ,Maximum
05CC009,Q,2006,H,,4,4,16,0,MST,9.65999984741211, ,Maximum
05CC009,Q,2007,H,,5,6,15,0,MST,33.29999923706055, ,Maximum
05CC009,Q,2008,H,,4,30,4,0,MST,2.690000057220459, ,Maximum
05CC009,Q,2009,H,,7,8,19,55,MST,2.0299999713897705, ,Maximum
05CC009,Q,2010,H,,7,16,1,50,MST,7.610000133514404, ,Maximum
05CC009,Q,2011,H,,4,27,20,45,MST,24.5, ,Maximum
05CC009,Q,2012,H,,7,26,16,15,MST,9.130000114440918,,Maximum
05CC009,Q,2013,H,,5,27,22,30,MST,7.960000038146973,,Maximum
05CC009,Q,2014,H,,4,24,18,15,MST,18.899999618530277,,Maximum
05CC009,Q,2016,H,,5,27,17,5,MST,2.7100000381469727, ,Maximum
05CC009,Q,2017,H,,3,31,9,30,MST,14.800000190734863,B,Maximum
05CC009,Q,2017,L,,3,1,10,50,MST,0.0,B,Minimum
05CC009,Q,2018,H,,4,21,21,35,MST,20.0,,Maximum
05CC009,Q,2019,L,,3,1,0,0,MST,0.0,B,Minimum
05CC009,Q,2020,H,,4,21,3,30,MST,16.299999237060547, ,Maximum
05CC009,Q,2021,H,,5,20,13,5,MST,2.319999933242798, ,Maximum
05CC009,Q,2022,H,,7,8,1,20,MST,8.8100004196167, ,Maximum
05CC009,Q,2023,H,,6,22,11,40,MST,4.329999923706055, ,Maximum
