Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05CE006,2024-06-07T17:20:00,-7,Discharge/Débit,,0.817,0.037,17.0,-0.0179,-0.3197,0.0,"Measurement condition : Clear; Clear , No Precipitation , Moderate Wind Blowing Upstream",control is clear. ,"Wade ~150m d/s, just past control. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ No src found for HG. Src found for HG2, reset.  Orifice tip clear - cleaned underneath. DWL taken from orifice block.  See field review for MGH calc.  Mid-section",3.5,0.58,0.064,16.0,16.2,Provisional/Provisoire,12.2
05CE006,2024-06-07T16:40:00,-7,Stage/Niveau d'eau,0.817,,,,,,,,,HG: 0.818 HG2: 1.019 Surge: 0.005  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05CE006,2024-04-03T14:47:00,-7,Discharge/Débit,,1.016,0.359,17.0,-0.06,-0.3398,0.00029999999,"Measurement condition : Ice; Cloudy , No Precipitation , Moderate Wind Blowing Downstream","Still some ice on the edges in the water in the gauge pool in front of the shelter.
Some ice on the bottom of the creek at control as well. Backwater likely.",Good wading mmnt downstream of the gauge around 70 m.  Bit of a SRC to HG. HG2 not valid. Float sitting on ice in the well still. Not Reset. Purged the line @ 07:51 and recovered well. Reset the sensor after. Using the DWL's for the MGH due to the reset mid mmnt. Mid-section,5.3,2.32,0.155,9.0,1.0,Provisional/Provisoire,3.13
05CE006,2024-04-03T14:40:00,-7,Stage/Niveau d'eau,1.015,,,,,,,,,GC: 0.000 HG: 0.993 HG2: 1.238 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  No Reset (NR),,,,,,Provisional/Provisoire,
05CE006,2024-03-19T20:04:00,-7,Discharge/Débit,,1.529,2.38,17.0,-0.159,-0.3607,-0.3164,"Measurement condition : Clear; Cloudy , No Precipitation , Very Light Wind Blowing Downstream",Looks clear but could be flow over ice.,"Wade at usual spot ~150m ds of gauge. ICE on edges. Two shallow spots in middle of mmnt due to rock. No ice in mmnt section. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ SRC found, ICE on edges. Stage dropping during visit. HG valid, HG2 is not, appears to be frozen. Mid-section",8.6,4.49,0.529,0.0,0.6,Provisional/Provisoire,10.5
05CE006,2024-03-19T19:40:00,-7,Stage/Niveau d'eau,1.537,,,,,,,,,HG: 1.565 HG2: 1.340 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05CE006,2024-02-20T16:40:00,-7,Stage/Niveau d'eau,0.964,,,,,,,,,HG: 0.964 Reset (RS),,,,,,Provisional/Provisoire,
05CE006,2024-02-20T16:30:00,-7,Stage/Niveau d'eau,0.964,,,,,,,,,HG: 0.959 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05CE006,2023-11-02T15:40:00,-7,Stage/Niveau d'eau,0.802,,,,,,,,,HG: 0.800 HG2: 0.802 Found (FD),,,,,,Provisional/Provisoire,
05CE006,2023-11-02T15:12:00,-7,Discharge/Débit,,0.8,0.019,17.0,-0.0256,-0.4902,0.0116,"Measurement condition : Ice; Cloudy , No Precipitation , Very Light Wind Blowing Downstream","ICE throughout channel, control clear.","wading mmnt taken at d/s side of bridge, open section. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Float pinned at 2.807 See MGH calc in field review. Mid-section",4.45,0.661,0.029,2.0,0.0,Provisional/Provisoire,23.3
