Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05DF006,DeleteRegion,HG,2024-01-01T07:00:00,2024-03-01T06:59:05,2024-01-31T01:44:25,-7,DELETE REGION - OUTSIDE OF OPERATING PERIOD,,Normal
05DF006,AdjustableTrim,HG,2023-11-01T22:00:00,2024-03-01T07:00:00,2023-11-02T19:51:50,-7,SHUT DOWN,"UpperThresholdPoints:(Time:2023-11-01T22:00:00Z,Value:1.9663228692945875);(Time:2024-03-01T07:00:00Z,Value:1.9663228692945875),TrimAction:Delete",Normal
05DF006,CopyPaste,QR,2023-10-22T17:25:00,2023-11-02T06:59:59,2024-01-18T00:05:20,-7,ICEOverride: Linear‌Q(t) = (-0.000964004336871617)t + 0.048185631888029656‌,,Normal
05DF006,CopyPaste,QR,2023-05-12T18:00:00,2023-05-12T22:15:00,2024-01-17T23:59:03,-7,Debris on control - remove excess backwater. Override: Linear‌Q(t) = (-0.021691296891480964)t + 0.06584278086920764‌,,Normal
05DF006,DeleteRegion,HG,2023-04-12T19:45:00,2023-04-12T19:45:00,2023-04-12T22:15:55,-7,"DR - INVALID, PULLED BUCKETS TO CONFIRM WELL CONNECTION",,Normal
05DF006,DeleteRegion,HG,2023-04-12T19:40:00,2023-04-12T19:40:00,2024-01-17T19:26:48,-7,Maintenance - delete.,,Normal
05DF006,CopyPaste,QR,2023-04-06T18:45:01,2023-04-12T12:45:00,2024-01-17T23:50:45,-7,ICEOverride: Linear‌Q(t) = (0.04045060647030098)t + 0.005996150882978668‌,,Normal
05DF006,DeleteRegion,HG,2023-03-21T18:00:00,2023-03-21T18:10:00,2024-01-17T19:22:51,-7,Maintenance - delete,,Normal
05DF006,Offset,HG,2023-03-17T19:30:00,2023-03-21T17:55:00,2023-03-22T16:32:53,-7,EST SRC (-0.013m) RESET - SKIM ICE IN WELL,Offset:-0.013,Normal
05DF006,DeleteRegion,HG,2023-03-15T01:24:59,2023-03-17T19:25:00,2023-03-22T16:31:54,-7,DR - WELL FROZEN - DATA INVALID,,Normal
05DF006,SinglePoint,HG,2023-03-14T20:00:00,2023-03-14T20:00:00,2023-03-15T16:00:25,-7,INSERT DWL VALUE. HG INVALID,Value:0.712,Normal
05DF006,CopyPaste,QR,2023-03-02T04:15:01,2023-04-06T18:00:01,2024-01-17T23:48:15,-7,ICE,,Normal
05DF006,CopyPaste,QR,2023-03-01T07:00:01,2023-04-06T19:30:00,2024-01-17T23:44:57,-7,ICEOverride: Linear‌Q(t) = (0.00012321738074962948)t + 0.0015‌,,Normal
05DF006,DeleteRegion,HG,2023-03-01T07:00:00,2023-03-15T02:05:00,2023-03-15T16:00:09,-7,DR - WELL FROZEN,,Normal
05DF006,DeleteRegion,HG,2023-01-01T07:00:00,2023-03-01T06:55:00,2023-03-01T19:46:27,-7,DELETE REGION - OUTSIDE OF OPERATING PERIOD,,Normal
05DF006,DeleteRegion,HG,2022-11-01T23:40:00,2023-01-01T06:59:59,2022-11-07T14:49:35,-7,OUTSIDE OPERATIONAL PERIOD,,Normal
05DF006,CopyPaste,HG,2022-09-09T14:40:00,2022-09-09T16:45:00,2023-06-14T20:52:50,-7,"COPY/PASTE LOGGER DATA TO FILL TELEMETRY GAPOverride: Copy & Paste‌Source Data Set: Stage.Logger@05DF006, time shift: 00:00 minutes.‌",,Normal
05DF006,CopyPaste,QR,2022-07-07T23:10:00,2022-07-08T02:00:00,2023-09-06T16:40:16,-7,"DEBRIS CAUGHT ON CONTROL, OVERRIDE Q Override: Linear‌Q(t) = (8.470588235294118)t + 13.2‌",,Normal
05DF006,CopyPaste,HG,2022-03-14T12:35:00,2022-03-14T13:45:00,2023-06-14T20:57:22,-7,"COPY/PASTE FROM LOGGER TO FILL TELEMETRY GAPOverride: Copy & Paste‌Source Data Set: Stage.Logger@05DF006, time shift: 00:00 minutes.‌",,Normal
05DF006,CopyPaste,QR,2022-03-01T07:05:00,2022-03-12T17:50:00,2023-09-06T16:57:35,-7,DRAW IN Q UNDER ICEOverride: Linear‌Q(t) = (0.0007774340309372158)t + 0.0013‌,,Normal
05DF006,SinglePoint,QR,2022-03-01T07:00:00,2022-03-01T07:00:00,2023-09-06T17:01:54,-7,UNDER ICE,Value:0.0013,Normal
05DF006,DeleteRegion,HG,2021-12-01T07:00:00,2022-03-01T06:59:59,2021-11-08T16:12:33,-7,Outside of operating period-J.Resmer,,Normal
05DF006,DeleteRegion,HG,2021-11-01T07:00:00,2022-01-01T06:59:59,2021-11-08T16:12:06,-7,Outside of operating period-J.Resmer,,Normal
05DF006,DeleteRegion,HG,2021-10-25T17:55:00,2021-10-25T18:05:00,2021-10-26T13:05:40,-7,DR - MAINTENANCE,,Normal
05DF006,Drift,HG,2021-08-12T18:45:00,2021-09-13T18:30:00,2021-09-14T13:24:19,-7,SRC - (0.000 TO 0.007m) RESET,"DriftPoints:(Offset:0,Time:2021-08-12T18:45:00Z);(Offset:0.007,Time:2021-09-13T18:30:00Z)",Normal
05DF006,CopyPaste,HG,2021-07-21T20:15:00,2021-07-23T17:45:00,2022-02-11T16:57:05,-7,"COPY AND PASTED IN MISSING DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@05DF006, time shift: 00:00 minutes.‌",,PreProcessing
05DF006,Drift,HG,2021-04-07T19:50:00,2021-05-26T21:05:00,2021-05-27T19:02:42,-7,SRC (0.000M TO -0.005M) RESET,"DriftPoints:(Offset:0,Time:2021-04-07T19:50:00Z);(Offset:-0.005,Time:2021-05-26T21:05:00Z)",Normal
05DF006,CopyPaste,QR,2021-03-12T17:50:01,2021-03-12T22:40:01,2022-12-29T22:01:26,-7,BACKWATER FROM ICEOverride: Freehand‌,,Normal
05DF006,CopyPaste,QR,2021-03-12T17:20:01,2021-03-17T00:45:01,2022-12-29T21:39:31,-7,BACKWATER FROM ICEOverride: Freehand‌,,Normal
05DF006,CopyPaste,QR,2021-03-09T02:30:01,2021-04-04T18:40:00,2022-12-29T21:33:24,-7,BACKWATER FROM ICEOverride: Freehand‌,,Normal
05DF006,SinglePoint,HG,2021-02-25T20:45:00,2021-02-25T20:45:00,2021-04-13T15:38:11,-7,INVALID RECORD ADJUSTED TO OUTSIDE DWL.,Value:0.839,Normal
05DF006,CopyPaste,QR,2021-02-25T07:00:01,2021-04-04T01:00:01,2022-06-27T21:46:48,-7,Override: Linear‌Q(t) = (-0.00005035280306204182)t + 0.13059752122091828‌,,Normal
05DF006,DeleteRegion,HG,2021-02-25T07:00:00,2021-02-27T01:10:00,2021-04-13T15:36:23,-7,WELL FROZEN AT VISIT- INVALID RECORD DURING THAWING.,,Normal
05DF006,DeleteRegion,HG,2020-11-01T07:00:00,2021-02-25T06:59:59,2021-04-09T00:53:31,-7,OUTSIDE OPERATING PERIOD,,Normal
05DF006,CopyPaste,QR,2020-10-26T16:00:00,2020-11-01T06:45:00,2021-12-01T20:18:55,-7,BACKWATER FROM ICEOverride: Freehand‌,,Normal
05DF006,CopyPaste,QR,2020-10-15T07:00:00,2020-11-01T06:59:59,2021-11-05T21:49:48,-7,OC - ICEOverride: Freehand‌,,Normal
05DF006,CopyPaste,QR,2020-05-07T20:05:00,2020-05-11T22:30:00,2021-12-01T19:15:07,-7,EST. USING 05DF009 AS AN INDICATOROverride: Freehand‌,,Normal
05DF006,Drift,HG,2020-04-28T15:05:00,2020-05-26T19:25:00,2020-06-01T15:58:44,-7,SRC: [0.000m] to [0.005m]; RS,"DriftPoints:(Offset:0,Time:2020-04-28T15:05:00Z);(Offset:0.005,Time:2020-05-26T19:25:00Z)",Normal
05DF006,Drift,QR,2020-04-26T01:15:00,2020-04-28T15:10:00,2021-12-01T17:35:44,-7,EST. MISSING DATA,"DriftPoints:(Offset:0,Time:2020-04-26T01:15:00Z);(Offset:4.087904053259075,Time:2020-04-28T15:10:00Z)",Normal
05DF006,CopyPaste,QR,2020-04-24T21:15:00,2020-04-24T23:30:00,2021-12-01T17:34:46,-7,EST MISSING DATA FROM 05DF009Override: Linear‌Q(t) = (-4.403979325948285)t + 6.8552859020288786‌,,Normal
05DF006,SinglePoint,HG,2020-04-21T22:41:00,2020-04-21T22:41:00,2021-11-19T12:19:02,-7,DWL OBSERVED 2.170m @ 15:41,Value:2.17,Normal
