Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05DF006,2024-06-05T16:43:00,-7,Discharge/Débit,,1.215,0.358,10.0,-0.252,-0.7484,0.0,"Measurement condition : Debris; Clear , No Precipitation , Moderate Wind Swirling/Variable",Beaver dam D/S. Section control,"@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @. MMT 100m D/S of gauge. Just below the beaver dam. Aquatic vegetation growing in the channel. Measured more backwater than last visit. Stage stable on visit. No SRC.  Mid-section",3.7,0.851,0.421,18.0,15.0,Provisional/Provisoire,6.55
05DF006,2024-06-05T16:15:00,-7,Stage/Niveau d'eau,1.215,,,,,,,,,HG: 1.216 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05DF006,2024-05-08T16:21:30,-7,Discharge/Débit,,1.279,0.816,10.0,-0.182,-0.5513,0.0,"Measurement condition : Altered; Cloudy , No Precipitation , Calm Wind ",Beaver Dam,"FT2 wade 120m u/s @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",4.6,2.81,0.291,9.0,8.6,Provisional/Provisoire,3.66
05DF006,2024-05-08T16:15:00,-7,Stage/Niveau d'eau,1.278,,,,,,,,,HG: 1.278 Found (FD),,,,,,Provisional/Provisoire,
05DF006,2024-04-22T19:36:00,-7,Discharge/Débit,,0.952,0.019,10.0,-0.269,-0.9424,0.0,"Measurement condition : Altered; Clear , No Precipitation , Moderate Wind Blowing Cross Stream",New beaverdam 200m d/s causing backwater,"FT2 Wade 120m u/s  wind blowing upstream, Appears to be flowing backwards at gauge @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Mid-section",4.3,1.02,0.019,13.0,6.3,Provisional/Provisoire,23.0
05DF006,2024-04-22T19:20:00,-7,Stage/Niveau d'eau,0.951,,,,,,,,,GC: 0.000 HG: 0.954 Found (FD),,,,,,Provisional/Provisoire,
05DF006,2024-03-21T17:59:00,-7,Discharge/Débit,,0.943,0.312,10.0,0.00015,0.0084,0.2159,"Measurement condition : Ice; Cloudy , Light Snow , Calm Wind ","Little over Ice flow D/S of Gauge coming from a spring or little stream from the field on the right bank side
100% Ice cover at gauge","FT2 wade 100 m U/S of gauge. Open water, 10% ice cover @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ WL increasing during mmt Mid-section",3.2,1.33,0.235,-8.0,0.0,Provisional/Provisoire,4.67
05DF006,2024-03-21T17:10:00,-7,Stage/Niveau d'eau,0.916,,,,,,,,,HG: 0.918 Found (FD),,,,,,Provisional/Provisoire,
05DF006,2024-02-28T18:54:30,-7,Discharge/Débit,,0.707,0.002,10.0,-0.116,-0.91370004,-0.8717,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind ",Ice,"Estimation Using FT2, 9 panels 2m d/s of gauge Mid-section",7.5,1.71,0.001,-20.0,0.0,Provisional/Provisoire,126.0
05DF006,2024-02-28T18:30:00,-7,Stage/Niveau d'eau,0.707,,,,,,,,,HG: 1.171 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05DF006,2023-11-01T23:10:30,-7,Discharge/Débit,,0.803,0.038,10.0,-0.0748,-0.59029996,-0.462,"Measurement condition : Ice; Partly Cloudy , No Precipitation , Calm Wind Swirling/Variable","Ice in channel, but clear @ D/S riffle","open-water wading mmt @ D/S riffle. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ ECG not working properly, replaced bat , regrounded still not working. Should be replaced. pinned  float @ 15:20 beacause heatlamps not working, installed spare and it blew right away.  Mid-section",2.2,0.309,0.122,0.0,0.0,Final/Finales,12.9
05DF006,2023-11-01T22:05:00,-7,Stage/Niveau d'eau,0.803,,,,,,,,,GC: 0.000 HG: 0.802 Found (FD),,,,,,Final/Finales,
05DF006,2023-08-14T16:20:00,-7,Stage/Niveau d'eau,1.036,,,,,,,,,HG: 1.034 Found (FD),,,,,,Final/Finales,
05DF006,2023-08-14T15:54:30,-7,Discharge/Débit,,1.035,0.768,10.0,0.0515,0.3479,-0.0029,"Measurement condition : Clear; Clear , No Precipitation , Very Light Wind Swirling/Variable","Flow below vegetation on banks in gauge vicinity, control clear of vegetation and debris 250m d/s at mmnt section (COL2)","good quality FT2 wade 250m d/s of gauge.@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Stage stable during mmnt, no SRC required, stage tracing well.  Mid-section",4.6,1.36,0.563,23.0,19.5,Final/Finales,4.68
05DF006,2023-06-08T21:45:00,-7,Stage/Niveau d'eau,0.718,,,,,,,,,GC: 0.000 HG: 0.720 No Reset (NR),,,,,,Provisional/Provisoire,
05DF006,2023-04-12T20:00:00,-7,Discharge/Débit,,0.957,0.346,8.0,-0.325,0.0115,0.0115,"Measurement condition : Altered; Partly Cloudy , No Precipitation , Light Wind Swirling/Variable",Appears backed-up but beaver dam not visible from gauge,"Wade approximately 100m d/s gauge. Errors at edges only. Good measurement. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Bailed water from well to confirm well is connected to creek. HG dropped (12:45) then recovered. Mid-section",3.65,0.8,0.432,12.0,2.0,Provisional/Provisoire,9.56
05DF006,2023-04-12T19:35:00,-7,Stage/Niveau d'eau,0.962,,,,,,,,,HG: 0.963 No Reset (NR),,,,,,Provisional/Provisoire,
05DF006,2023-03-21T17:55:00,-7,Stage/Niveau d'eau,0.79,,,,,,,,,GC: 0.000 HG: 0.803 No Reset (NR),,,,,,Provisional/Provisoire,
05DF006,2023-03-14T20:17:30,-7,Discharge/Débit,,0.712,0.002,10.0,-0.127,-0.9332,0.0028,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",beaver dam,Drill 6 holes 50 cm distance. Flowing d/s and u/s with FT2. Double shot at 5 holes. 0.002 m3/s total. Estimated. FT2 measurement as indicator. Not download mmt in ehsn because estimated flow. ,,,,-5.0,0.0,Provisional/Provisoire,
05DF006,2023-03-14T20:00:00,-7,Stage/Niveau d'eau,0.712,,,,,,,,,GC: 0.000 No Reset (NR),,,,,,Provisional/Provisoire,
05DF006,2022-11-01T21:05:00,-7,Stage/Niveau d'eau,0.818,,,,,,,,,HG: 0.819 Found (FD),,,,,,Final/Finales,
05DF006,2022-11-01T20:43:00,-7,Discharge/Débit,,0.819,0.004,10.0,-0.207,-0.9593,0.0047999998,"Measurement condition : Altered; Cloudy , No Precipitation , Moderate Wind Blowing Upstream",Beaver dam somewhere between gauge and wading section (unseen),"Easy FT2 boot wade 250m d/s of gauge across farmers field. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Flushed intake, stage tracing well no SRC.  Mid-section",2.4,0.269,0.016,3.0,4.0,Final/Finales,11.5
05DF006,2022-09-22T17:00:00,-7,Stage/Niveau d'eau,0.76,,,,,,,,,HG: 0.760 Found (FD),,,,,,Final/Finales,
05DF006,2022-09-22T16:34:30,-7,Discharge/Débit,,0.762,0.005,10.0,-0.147,-0.9189,-0.0062,"Measurement condition : Altered; Clear , No Precipitation , Very Light Wind Blowing Downstream",Some debris and dam partially built d/s of mmnt section. ,"Easy FT2 wade 250m d/s. Beaver dam visible 50m u/s of mmnt section@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Stage is tracing well, did not flush intake Mid-section",3.8,0.933,0.005,10.0,10.0,Final/Finales,35.6
05DF006,2022-08-18T16:45:00,-7,Stage/Niveau d'eau,0.791,,,,,,,,,HG: 0.790 Found (FD),,,,,,Final/Finales,
05DF006,2022-08-18T16:14:30,-7,Discharge/Débit,,0.791,0.019,10.0,-0.107,-0.7597,0.0033000002,"Measurement condition : Vegetation; Clear , No Precipitation , Calm Wind ","COL2 photo taken at measurement section showing rocky/debris control, COL photo taken from gauge has no visible control feature, likely small beaver dam d/s but above mmnt section.","FT2 easy boot wade ~100m d/s of gauge across farmers field. @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ Stage is tracing well,  Mid-section",2.7,0.481,0.04,23.0,17.5,Final/Finales,9.45
05DF006,2022-07-06T17:34:30,-7,Discharge/Débit,,1.404,3.38,10.0,0.0669,0.2207,-0.00029999999,"Measurement condition : Clear; Cloudy , No Precipitation , Calm Wind ","Riffles visible 25m d/s of gauge above stormwater outlet, vegetation on banks also hanging into creek.","FT2 wade 100m d/s  @ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @ No SRC, stage is tracing well. Intake flushed. Mid-section",7.5,5.39,0.626,14.0,16.0,Final/Finales,4.59
05DF006,2022-07-06T16:45:00,-7,Stage/Niveau d'eau,1.408,,,,,,,,,HG: 1.406 Found (FD),,,,,,Final/Finales,
05DF006,2022-05-30T18:37:30,-7,Discharge/Débit,,0.799,0.047,10.0,-0.0535,-0.46240002,0.0069,"Measurement condition : Clear; Partly Cloudy , No Precipitation , Moderate Wind Blowing Upstream","low water, riffle control clear ~100m d/s","FT2 wade 200m d/s of gauge, winds blowing u/s at measurement section and gauge No SRC required, ECG tied in on previous visit 0.000 GC Mid-section",4.25,1.58,0.03,15.0,15.6,Final/Finales,6.34
05DF006,2022-05-30T18:00:00,-7,Stage/Niveau d'eau,0.797,,,,,,,,,HG: 0.797 Found (FD),,,,,,Final/Finales,
05DF006,2022-05-12T21:24:00,-7,Discharge/Débit,,0.836,0.061,10.0,-0.0693,-0.51919997,-0.0038,"Measurement condition : Altered; Partly Cloudy , No Precipitation , Very Light Wind Swirling/Variable",Suspect. Beaver activity ds of gauge,"Slow and deep water, lots of deposited mud on edges. Firmer in middle of channel. 3.6%Iso uncertainty. Well working. Mid-section",8.0,6.62,0.009,18.0,13.0,Final/Finales,23.8
05DF006,2022-05-12T20:35:00,-7,Stage/Niveau d'eau,0.836,,,,,,,,,GC: 0.000 HG: 0.837 No Reset (NR),,,,,,Final/Finales,
