Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05EA002,DeleteRegion,HG,2023-11-01T07:00:00,2024-03-01T06:59:59,2023-11-01T18:46:37,-7,OUTSIDE OF OPERATING PERIOD,,Normal
05EA002,DeleteRegion,HG,2023-09-24T02:30:00,2023-09-24T02:35:00,2023-09-25T16:48:43,-7,DR - SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-09-23T23:30:00,2023-09-23T23:30:00,2023-09-25T16:47:51,-7,DR - SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-09-19T02:20:00,2023-09-19T02:35:00,2023-09-25T16:44:09,-7,DR - SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-09-19T02:05:00,2023-09-19T02:05:00,2023-09-25T16:43:57,-7,DR SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-08-22T16:05:00,2023-08-22T16:05:00,2023-09-25T16:42:40,-7,DR - SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-08-22T11:10:00,2023-08-22T11:10:00,2023-09-25T16:42:24,-7,DR - SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-08-22T04:25:00,2023-08-22T04:25:00,2023-09-25T16:42:11,-7,DR SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-08-06T23:35:00,2023-08-06T23:35:00,2023-09-25T16:34:54,-7,PRESSURE SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-07-20T09:35:00,2023-07-20T09:35:00,2023-07-26T16:53:21,-7,DR - TRIMMED SPIKE,,Normal
05EA002,DeleteRegion,HG,2023-06-23T06:35:00,2023-06-23T06:35:00,2023-09-25T16:34:29,-7,PRESSURE LEAK,,Normal
05EA002,Drift,HG,2023-06-22T00:55:00,2023-06-22T17:50:00,2023-09-25T16:29:22,-7,EST SRC (-0.032 TO -0.020) SUSPECTED ORIFICE BLOCKAGE AND RELEASE,"DriftPoints:(Offset:-0.032,Time:2023-06-22T00:55:00Z);(Offset:-0.02,Time:2023-06-22T17:50:00Z)",Normal
05EA002,Drift,HG,2023-06-05T21:10:00,2023-07-25T21:40:00,2023-07-26T16:52:02,-7,SRC (0.000 TO -0.008m) RESET,"DriftPoints:(Offset:0,Time:2023-06-05T21:10:00Z);(Offset:-0.008,Time:2023-07-25T21:40:00Z)",Normal
05EA002,DeleteRegion,HG,2023-05-22T00:05:00,2023-05-22T00:05:00,2023-06-12T17:54:41,-7,DR - Spike,,Normal
05EA002,DeleteRegion,HG,2023-05-20T21:35:00,2023-05-20T21:35:00,2023-06-12T17:53:59,-7,DR - Spike,,Normal
05EA002,DeleteRegion,HG,2023-05-11T03:50:00,2023-05-11T03:50:00,2023-06-12T17:52:58,-7,DR - Spike,,Normal
05EA002,Drift,HG,2023-04-25T19:15:00,2023-06-05T21:05:00,2023-06-12T17:49:48,-7,SRC (0.000m to 0.008m) RESET,"DriftPoints:(Offset:0,Time:2023-04-25T19:15:00Z);(Offset:0.008,Time:2023-06-05T21:05:00Z)",Normal
05EA002,DeleteRegion,HG,2023-04-25T19:10:00,2023-04-25T19:10:00,2023-04-26T19:41:09,-7,DR - MAINTENANCE,,Normal
