Station ID/Identification de la station,Date (UTC)/Date (TUC),Timezone Offset/Décalage Horaire,Activity Type/Type d'activité,Gauge Height/Niveau,Mean Gauge Height/Niveau Moyen,Discharge/Débit,Rating Curve Table Number/Numéro de cource de tarage,Shift From Base Curve/Décalage par rapport à la courbe de base,Deviation From Base Curve/Déviation par rapport à la courbe de base,Deviation From Shifted Curve/Déviation par rapport à la courbe décalée,Control Condition/Condition de contrôle,Control Condition Remarks/Remark sur les condition de contrôle,Activity Remarks/Remarques des activités,Width/Largeur,Area/Secteur,Velocity/Vitesse,Air Temperature/Température de l'air,Water Temperature/La température de l'eau,Approval/Approbation,Uncertainty/Incertitude
05EE005,2024-05-07T15:12:30,-7,Discharge/Débit,,0.855,0.003,5.0,-0.0625,-0.6416,0.0,"Measurement condition : Vegetation; Mostly Cloudy , Moderate Rain , Moderate Wind ","weeds in channel low water mmn, water seeping through boulders at the gauge area","@ Uncertainty: IVE method, 2-sigma value (2 x Uncertainty Value reported in *.ft File). @, the mmnt was imported although it was a poor mmnt with a very narroow section N/R Mid-section",0.4,0.025,0.133,14.0,9.0,Provisional/Provisoire,2.19
05EE005,2024-05-07T14:55:00,-7,Stage/Niveau d'eau,0.852,,,,,,,,,HG: 0.854 HG2: 0.880 Surge: 0.000  * The uncertainty value is equivalent to the surge value in eHSN.  Found (FD),,,,,,Provisional/Provisoire,
05EE005,2024-04-08T21:15:00,-7,Discharge/Débit,,0.868,0.001,5.0,-0.118,-0.90760005,-0.89809996,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",Trickle flow thru culvert,"still ice downstream of control in channel - rotten, ESTIMATED",,,,15.0,3.3,Provisional/Provisoire,
05EE005,2024-04-08T20:50:00,-7,Stage/Niveau d'eau,0.869,,,,,,,,,GC: 0.000 HG: -9999.000 HG2: 0.903 Found (FD),,,,,,Provisional/Provisoire,
05EE005,2024-02-27T16:00:00,-7,Discharge/Débit,,,0.0,,,,,"Measurement condition : Ice; Clear , No Precipitation , Very Light Wind ",frozen to bottom.,zero flow,,,,-30.0,,Provisional/Provisoire,
05EE005,2023-11-03T15:25:00,-7,Stage/Niveau d'eau,0.708,,,,,,,,,GC: 0.000 HG: 0.707 HG2: 0.680 Found (FD),,,,,,Final/Finales,
05EE005,2023-11-03T15:25:00,-7,Discharge/Débit,,,0.0,5.0,,,,"Measurement condition : Ice; Clear , No Precipitation , Calm Wind ",ice,"no flow thru culvet , drys ",,,,,,Final/Finales,
05EE005,2023-06-28T16:30:00,-7,Stage/Niveau d'eau,0.687,,,,,,,,,GC: 0.000 HG: 0.688 Reset (RS),,,,,,Final/Finales,
05EE005,2023-05-09T14:25:00,-7,Stage/Niveau d'eau,0.717,,,,,,,,,HG: 0.933 HG2: 0.880 Found (FD),,,,,,Final/Finales,
05EE005,2023-05-09T14:20:00,-7,Discharge/Débit,,,0.0,,,,,"Measurement condition : ;  ,  ,  ",Nothing coming out of culvert,,,,,,,Final/Finales,
05EE005,2023-05-08T23:00:00,-7,Discharge/Débit,,,0.0,,,,,"Measurement condition : Clear; Mostly Cloudy , No Precipitation , Heavy Wind ",A tiny trickle running out of culvert just above gauge - Under 0.0005m3/s. No water flowing passed gauge. ,,,,,,,Final/Finales,
05EE005,2023-05-08T22:20:00,-7,Stage/Niveau d'eau,0.729,,,,,,,,,HG: 0.730 HG2: 0.912 Found (FD),,,,,,Final/Finales,
05EE005,2023-03-09T20:45:00,-7,Discharge/Débit,,,0.0,,,,,"Measurement condition : Ice; Cloudy , No Precipitation , Heavy Wind Blowing Upstream","Snow and thin ice in culvert, no water in gauge pool","No mmnt, no water/ice in channel - culvert dry",,,,-15.0,,Provisional/Provisoire,
05EE005,2022-10-24T23:55:00,-7,Stage/Niveau d'eau,0.676,,,,,,,,,GC: 0.000 HG: 0.674 Found (FD),,,,,,Final/Finales,
05EE005,2022-10-24T23:52:30,-7,Discharge/Débit,,0.676,0.0,5.0,,,,"Measurement condition : Ice; Cloudy , No Precipitation , Light Wind Swirling/Variable",Minor debris on control. Skim ice covering gauge pool.,"0 Flow, no inputs or outputs from gauge pool. ",,,,2.0,5.0,Final/Finales,
05EE005,2022-09-13T15:45:00,-7,Discharge/Débit,,,0.0,5.0,,,,"Measurement condition : No Flow; Cloudy , No Precipitation , Very Light Wind ",Some debris built up on control.,"No flow, water level significantly below point of 0 flow.",,,,14.0,,Final/Finales,
05EE005,2022-09-13T15:40:00,-7,Stage/Niveau d'eau,0.63,,,,,,,,,GC: 0.000 HG: 0.627 Found (FD),,,,,,Final/Finales,
05EE005,2022-07-28T23:00:00,-7,Stage/Niveau d'eau,0.657,,,,,,,,,GC: 0.000 HG: 0.654 Found (FD),,,,,,Final/Finales,
05EE005,2022-06-06T21:25:00,-7,Discharge/Débit,,0.706,0.0,,,,-1.0,"Measurement condition : No Flow; Cloudy , No Precipitation , Light Wind ","Clear, no flow.","0 Flow, water well below control. No input from u/s culvert.",,,,,,Final/Finales,
05EE005,2022-06-06T21:25:00,-7,Stage/Niveau d'eau,0.706,,,,,,,,,HG: 0.704 Found (FD),,,,,,Final/Finales,
