STATION_NUMBER,REMARK_TYPE_CODE,YEAR,REMARK_EN,REMARK_FR
05FC002,2,1999,"GAUGE REMOVED AUG 9, 1999. DATA AFTER AUG 10 IS ESTIMATED BETWEEN MISCELLANEOUS MEASUREMENTS ",JAUGE RETIREE LE 9 AOUT 1999. DONNEES APRES LE 10 AOUT ESTIMEES A PARTIR DE DONNEES DIVERSES 
05FC002,2,2000,NEW GAUGE LOCATION. ,JAUGE RELOCALISEE.
05FC002,2,2002,MAXIMUM INSTANTANEOUS DISCHARGE OCCURRED WHEN THE ORIFICE WAS SILTED AND SEVERAL READINGS HAD TO BE DISREGARD,DEBIT INSTANTANE MAXIMAL A ETE RELEVE LORSQUE L'ORIFICE ETAIT ENVASE ET PLUSIEURS LECTURES ONT DU ETRE ECARTEES
05FC002,2,2003,MAXIMUM AND MINIMUM DAILY WATER LEVELS NOT VALID - MISSING RECORD,
05FC002,2,2004,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,DEBIT INSTANTANE MAXIMAL NON VALIDE EN RAISON DE CONDITIONS GLACIELLES
05FC002,2,2011,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO EQUIPMENT MALFUNCTION,DEBIT INSTANTANE MAXIMAL NON VALIDE EN RAISON D'UNE DEFAILLANCE DU MATERIEL
05FC002,2,2012,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
05FC002,2,2014,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
05FC002,2,2015,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
05FC002,2,2017,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
05FC002,2,2019,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
05FC002,2,2020,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO EQUIPMENT MALFUNCTION,DEBIT INSTANTANE MAXIMAL NON VALIDE EN RAISON D'UNE DEFAILLANCE DU MATERIEL
05FC002,2,2021,CHANNEL DRY FOR ENTIRE OPERATING PERIOD; NO VALID WATER LEVEL DATA. MAXIMUM AND MINIMUM INSTANTANEOUS DISCHARGE NOT VALID; ZERO FLOW OCCURRED ,
05FC002,2,2023,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO EQUIPMENT MALFUNCTION,DEBIT INSTANTANE MAXIMAL NON VALIDE EN RAISON D'UNE DEFAILLANCE DU MATERIEL
05FC002,2,2024,MAXIMUM INSTANTANEOUS DISCHARGE NOT VALID DUE TO ICE CONDITIONS,
