date,STATION_NUMBER,water_level_m,quality_symbol
2012-03-01,05FC007,,
2012-04-01,05FC007,,
2012-05-01,05FC007,0.7210000157356262,
2012-06-01,05FC007,0.6159999966621399,
2012-07-01,05FC007,0.6299999952316284,
2012-08-01,05FC007,0.6890000104904175,
2013-03-01,05FC007,,
2013-04-01,05FC007,0.7749999761581421,
2013-05-01,05FC007,0.8330000042915344,
2013-06-01,05FC007,0.6510000228881836,
2013-07-01,05FC007,0.6190000176429749,
2013-08-01,05FC007,0.593999981880188,
2013-09-01,05FC007,0.5669999718666077,
2013-10-01,05FC007,0.5009999871253967,
2014-03-01,05FC007,,
2014-04-01,05FC007,,
2014-05-01,05FC007,0.6919999718666077,
2014-06-01,05FC007,0.6150000095367432,
2014-07-01,05FC007,0.75,
2014-08-01,05FC007,0.640999972820282,
2014-09-01,05FC007,0.6240000128746033,
2014-10-01,05FC007,0.6309999823570251,
2015-03-01,05FC007,,
2015-04-01,05FC007,0.7639999985694885,
2015-05-01,05FC007,0.6190000176429749,
2015-06-01,05FC007,0.6029999852180481,
2015-07-01,05FC007,0.5789999961853027,
2015-08-01,05FC007,0.6050000190734863,
2015-09-01,05FC007,0.6039999723434448,
2015-10-01,05FC007,0.628000020980835,
2016-03-01,05FC007,,
2016-04-01,05FC007,0.6869999766349792,
2016-05-01,05FC007,0.6320000290870667,
2016-06-01,05FC007,0.781000018119812,
2016-07-01,05FC007,0.6140000224113464,
2016-08-01,05FC007,0.6399999856948853,
2016-09-01,05FC007,0.6380000114440918,
2016-10-01,05FC007,0.6269999742507935,
2017-03-01,05FC007,,
2017-04-01,05FC007,0.7760000228881836,
2017-05-01,05FC007,0.699999988079071,
2017-06-01,05FC007,0.6039999723434448,
2017-07-01,05FC007,0.5770000219345093,
2017-10-01,05FC007,,
2018-04-01,05FC007,,
2018-05-01,05FC007,0.7279999852180481,
2018-06-01,05FC007,0.621999979019165,
2018-07-01,05FC007,0.5690000057220459,
2018-08-01,05FC007,0.5019999742507935,
2019-03-01,05FC007,,
2019-04-01,05FC007,,
2019-05-01,05FC007,,
2019-06-01,05FC007,,
2019-07-01,05FC007,0.5609999895095825,
2019-08-01,05FC007,0.5889999866485596,
2019-09-01,05FC007,0.4699999988079071,
2019-10-01,05FC007,0.4580000042915344,
2019-11-01,05FC007,0.4569999873638153,
2020-03-01,05FC007,0.4189999997615814,
2020-04-01,05FC007,,
2020-05-01,05FC007,,
2020-06-01,05FC007,0.5419999957084656,
2020-07-01,05FC007,0.5659999847412109,
2020-08-01,05FC007,0.5609999895095825,
2020-09-01,05FC007,0.4620000123977661,
2021-04-01,05FC007,,
2021-05-01,05FC007,0.5,
2021-06-01,05FC007,0.5120000243186951,
2021-07-01,05FC007,0.42800000309944153,
2021-08-01,05FC007,0.2939999997615814,
2021-09-01,05FC007,0.16200000047683716,
2021-10-01,05FC007,0.09700000286102296,
2022-06-01,05FC007,,
