Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05GA012,DeleteRegion,HG,2024-01-01T07:00:00,2024-03-01T06:59:59,2023-12-18T15:50:57,-7,DR - OUTSIDE OF OPERATING PERIOD,,Normal
05GA012,DeleteRegion,HG,2023-11-01T07:00:00,2024-01-01T06:59:59,2023-11-06T16:32:22,-7,DR - Station closed for the season,,Normal
05GA012,CopyPaste,QR,2023-08-14T15:00:00,2023-11-01T06:59:59,2023-08-17T13:14:44,-7,ZERO DISCHARGE OVERRIDEOverride: Linear‌Q(t) = (0)t + 0‌,,Normal
05GA012,DeleteRegion,HG,2023-07-24T02:25:00,2023-11-01T07:00:00,2023-08-02T13:32:18,-7,"DR - INVALID STAGE, SENSOR OUT OF WATER",,Normal
05GA012,CopyPaste,QR,2023-07-24T02:20:00,2023-08-14T15:00:00,2023-08-14T15:23:30,-7,ZERO FLOWOverride: Linear‌Q(t) = (0)t + 0‌,,Normal
05GA012,SinglePoint,HG,2023-05-03T16:30:00,2023-05-03T16:30:00,2023-05-04T22:45:13,-7,INSERT DWL VALUE,Value:1.038,Normal
05GA012,CopyPaste,HG,2023-04-22T01:15:00,2023-05-03T15:30:00,2023-05-04T19:48:47,-7,"FILL DATA GAP - C&P LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@05GA012, time shift: 00:00 minutes.‌",,PreProcessing
05GA012,DeleteRegion,HG,2023-04-17T03:05:00,2023-04-17T03:05:00,2023-04-17T13:14:15,-7,DR - INVALID SPIKE,,Normal
05GA012,Drift,HG,2023-04-16T21:00:00,2023-04-16T21:45:00,2023-04-17T13:12:55,-7,EST SRC (-0.034m to -0.012m) TEMPORARY SENSOR ISSUE DUE TO ICE BREAKUP,"DriftPoints:(Offset:-0.03405220013076371,Time:2023-04-16T21:00:00Z);(Offset:-0.012096103998098684,Time:2023-04-16T21:45:00Z)",Normal
05GA012,AdjustableTrim,HG,2023-04-15T21:50:00,2023-04-16T08:25:00,2023-04-17T13:09:10,-7,ADJUSTABLE TRIM APPLIED TO REMOVE INVALID SPIKES DUE TO ICE BREAKUP,"LowerThresholdPoints:(Time:2023-04-15T21:50:00Z,Value:1.264249756058113);(Time:2023-04-15T22:35:26.299Z,Value:1.271418283091604);(Time:2023-04-15T23:45:28.128Z,Value:1.2692677249815567);(Time:2023-04-16T00:53:44.028Z,Value:1.259470739858836);(Time:2023-04-16T02:42:34.697Z,Value:1.2551734750421448);(Time:2023-04-16T06:34:19.766Z,Value:1.305062676518642);(Time:2023-04-16T08:25:00Z,Value:1.2933216737121813),TrimAction:Delete",Normal
05GA012,CopyPaste,QR,2023-04-12T06:10:00,2023-04-15T17:15:00,2023-05-09T16:37:57,-7,ICE OVERRIDEOverride: Linear‌Q(t) = (0.04397909055028005)t + 0‌,,Normal
05GA012,Drift,HG,2023-04-11T19:50:00,2023-04-18T17:24:00,2023-04-20T00:14:04,-7,"SRC (0 TO 0.21), RESET","DriftPoints:(Offset:0,Time:2023-04-11T19:50:00Z);(Offset:0.021,Time:2023-04-18T17:24:00Z)",Normal
