date,STATION_NUMBER,flow_cms,quality_symbol
1984-04-01,05GA012,,
1984-05-01,05GA012,0.0,
1984-06-01,05GA012,0.0,
1984-07-01,05GA012,0.0,
1984-08-01,05GA012,0.0,
1984-09-01,05GA012,0.0,
1984-10-01,05GA012,0.0,
1984-11-01,05GA012,0.0,
1985-02-01,05GA012,,
1985-03-01,05GA012,0.0,B
1985-04-01,05GA012,0.30000001192092896,B
1985-05-01,05GA012,0.03500000014901161,
1985-06-01,05GA012,0.003000000026077032,
1985-07-01,05GA012,0.0,
1985-08-01,05GA012,0.0,
1985-09-01,05GA012,0.0,
1985-10-01,05GA012,0.0,
1985-11-01,05GA012,0.0,
1986-02-01,05GA012,,
1986-03-01,05GA012,0.11299999803304672,B
1986-04-01,05GA012,0.0020000000949949026,
1986-05-01,05GA012,0.0,
1986-06-01,05GA012,0.0,
1986-07-01,05GA012,0.0,
1986-08-01,05GA012,0.0,
1986-09-01,05GA012,0.0,
1986-10-01,05GA012,0.0,
1986-11-01,05GA012,0.0,
1987-02-01,05GA012,,
1987-03-01,05GA012,0.0,B
1987-04-01,05GA012,0.15700000524520874,B
1987-05-01,05GA012,0.0,
1987-06-01,05GA012,0.0,
1987-07-01,05GA012,0.0,
1987-08-01,05GA012,0.0,E
1987-09-01,05GA012,0.0,E
1987-10-01,05GA012,0.0,
1987-11-01,05GA012,0.0,
1988-02-01,05GA012,,
1988-03-01,05GA012,0.0,B
1988-04-01,05GA012,0.0,
1988-05-01,05GA012,0.0,
1988-06-01,05GA012,0.0,
1988-07-01,05GA012,0.0,
1988-08-01,05GA012,0.0,
1988-09-01,05GA012,0.0,
1988-10-01,05GA012,0.0,
1989-02-01,05GA012,,
1989-03-01,05GA012,0.0,B
1989-04-01,05GA012,0.0,B
1989-05-01,05GA012,0.0,
1989-06-01,05GA012,0.0,
1989-07-01,05GA012,0.0,
1989-08-01,05GA012,0.0,
1989-09-01,05GA012,0.0,
1989-10-01,05GA012,0.0,
1990-02-01,05GA012,,
1990-03-01,05GA012,0.0,B
1990-04-01,05GA012,0.009999999776482582,
1990-05-01,05GA012,0.0,
1990-06-01,05GA012,0.0,
1990-07-01,05GA012,0.0,
1990-08-01,05GA012,0.0,
1990-09-01,05GA012,0.0,
1990-10-01,05GA012,0.0,
1991-02-01,05GA012,,
1991-03-01,05GA012,0.0,B
1991-04-01,05GA012,0.0,
1991-05-01,05GA012,0.0,
1991-06-01,05GA012,0.0,
1991-07-01,05GA012,0.28200000524520874,
1991-08-01,05GA012,0.0,
1991-09-01,05GA012,0.0,
1991-10-01,05GA012,0.0,
1991-11-01,05GA012,0.0,B
1992-02-01,05GA012,,
1992-03-01,05GA012,0.004999999888241291,B
1992-04-01,05GA012,0.0010000000474974513,
1992-05-01,05GA012,0.003000000026077032,
1992-06-01,05GA012,0.0020000000949949026,
1992-07-01,05GA012,0.0,
1992-08-01,05GA012,0.0,
1992-09-01,05GA012,0.0,
1992-10-01,05GA012,0.0,
1992-11-01,05GA012,0.0,
1993-02-01,05GA012,,
1993-03-01,05GA012,0.0,B
1993-04-01,05GA012,0.9210000038146972,B
1993-05-01,05GA012,0.0949999988079071,
1993-06-01,05GA012,0.0010000000474974513,
1993-07-01,05GA012,0.2419999986886978,
1993-08-01,05GA012,0.0,
1993-09-01,05GA012,0.0010000000474974513,
1993-10-01,05GA012,0.0010000000474974513,
1994-03-01,05GA012,0.0,B
1994-04-01,05GA012,0.08699999749660492,B
1994-05-01,05GA012,0.01899999938905239,
1994-06-01,05GA012,0.010999999940395355,
1994-07-01,05GA012,0.0,
1994-08-01,05GA012,0.0,
1994-09-01,05GA012,0.0,
1994-10-01,05GA012,0.0,
1994-11-01,05GA012,0.0,A
1995-02-01,05GA012,,
1995-03-01,05GA012,0.0,B
1995-04-01,05GA012,0.0010000000474974513,B
1995-05-01,05GA012,0.0010000000474974513,
1995-06-01,05GA012,0.0,
1995-07-01,05GA012,0.0,
1995-08-01,05GA012,0.0,
1995-09-01,05GA012,0.0,
1995-10-01,05GA012,0.0,
1996-02-01,05GA012,,
1996-03-01,05GA012,0.0,B
1996-04-01,05GA012,0.0,B
1996-05-01,05GA012,0.0,
1996-06-01,05GA012,0.0,
1996-07-01,05GA012,0.0,
1996-08-01,05GA012,0.0010000000474974513,
1996-09-01,05GA012,0.0,
1996-10-01,05GA012,0.0,
1996-11-01,05GA012,0.0,
1997-02-01,05GA012,,
1997-03-01,05GA012,0.0,B
1997-04-01,05GA012,5.150000095367432,
