STATION_NUMBER,DATA_TYPE,YEAR,PEAK_CODE,PRECISION_CODE,MONTH,DAY,HOUR,MINUTE,TIME_ZONE,PEAK,SYMBOL,CODE DESCRIPTION
05HD036,H,2011,H,8.0,4,11,21,23,CST,4.11299991607666, ,Maximum
05HD036,H,2011,L,8.0,8,30,21,3,CST,1.837000012397766, ,Minimum
05HD036,H,2012,H,8.0,3,13,21,48,CST,2.622999906539917, ,Maximum
05HD036,H,2012,L,8.0,9,8,20,53,CST,1.7280000448226929, ,Minimum
05HD036,H,2013,H,8.0,3,30,23,10,CST,4.189000129699707,,Maximum
05HD036,H,2013,L,8.0,9,5,23,50,CST,1.830999970436096,,Minimum
05HD036,H,2014,H,8.0,3,10,19,20,CST,4.078999996185303,,Maximum
05HD036,H,2014,L,8.0,8,1,17,10,CST,1.8240000009536743,,Minimum
05HD036,H,2015,H,8.0,3,12,5,5,CST,3.803999900817871,,Maximum
05HD036,H,2015,L,8.0,7,26,23,5,CST,1.787999987602234,,Minimum
05HD036,H,2016,H,8.0,3,6,7,35,CST,2.70199990272522,,Maximum
05HD036,H,2016,L,8.0,11,29,16,10,CST,1.8359999656677248,,Minimum
05HD036,H,2017,H,8.0,3,19,1,0,CST,4.5879998207092285,,Maximum
05HD036,H,2017,L,8.0,9,3,15,20,CST,1.7319999933242798,,Minimum
05HD036,H,2018,H,8.0,4,21,21,15,CST,3.825999975204468,,Maximum
05HD036,H,2018,L,8.0,8,14,14,5,CST,1.7400000095367432,,Minimum
05HD036,H,2019,H,8.0,3,20,21,50,CST,3.9670000076293945, ,Maximum
05HD036,H,2019,L,8.0,8,6,11,5,CST,1.758999943733215, ,Minimum
05HD036,H,2020,H,8.0,3,31,1,35,CST,3.930999994277954, ,Maximum
05HD036,H,2020,L,8.0,9,2,10,45,CST,1.6929999589920044, ,Minimum
05HD036,H,2021,H,8.0,3,7,0,20,CST,2.875, ,Maximum
05HD036,H,2021,L,8.0,8,17,18,35,CST,1.722000002861023, ,Minimum
05HD036,H,2022,H,8.0,3,19,4,20,CST,4.127999782562256, ,Maximum
05HD036,H,2022,L,8.0,8,20,19,25,CST,1.7000000476837158, ,Minimum
05HD036,H,2023,H,8.0,4,12,23,30,CST,4.539999961853027, ,Maximum
05HD036,H,2023,L,8.0,8,21,2,40,CST,1.6920000314712524, ,Minimum
05HD036,H,2024,H,8.0,3,14,2,35,CST,3.443000078201294, ,Maximum
05HD036,H,2024,L,8.0,8,28,2,30,CST,1.7009999752044678, ,Minimum
05HD036,Q,1955,H,,4,10,15,30,MST,92.9000015258789,,Maximum
05HD036,Q,1956,H,,3,26,16,50,MST,12.0,B,Maximum
05HD036,Q,1958,H,,4,1,18,0,MST,57.79999923706055,B,Maximum
05HD036,Q,1959,H,,6,28,18,0,MST,10.300000190734863,,Maximum
05HD036,Q,1960,H,,3,19,23,0,MST,49.29999923706055,B,Maximum
05HD036,Q,1961,H,,3,19,22,0,MST,9.460000038146973,B,Maximum
05HD036,Q,1962,H,,3,27,9,0,MST,22.799999237060547,B,Maximum
05HD036,Q,1965,H,,4,14,17,0,MST,61.400001525878906,,Maximum
05HD036,Q,1967,H,,4,11,18,0,MST,52.09999847412109,B,Maximum
05HD036,Q,1968,H,,3,6,12,45,MST,6.989999771118164,B,Maximum
05HD036,Q,1969,H,,4,5,1,7,MST,50.09999847412109,,Maximum
05HD036,Q,1970,H,,4,8,2,41,MST,42.79999923706055,B,Maximum
05HD036,Q,1971,H,,4,8,8,27,CST,34.0,B,Maximum
05HD036,Q,1972,H,,3,19,8,10,CST,19.799999237060547,B,Maximum
05HD036,Q,1973,H,,3,26,8,15,CST,5.269999980926514,,Maximum
05HD036,Q,1974,H,,4,11,2,45,CST,11.899999618530272,B,Maximum
05HD036,Q,1975,H,,4,25,0,45,CST,34.29999923706055,,Maximum
05HD036,Q,1976,H,,3,19,22,17,CST,38.79999923706055,B,Maximum
05HD036,Q,1977,H,,4,8,1,7,CST,3.940000057220459,B,Maximum
05HD036,Q,1979,H,,4,19,23,8,CST,23.700000762939453,B,Maximum
05HD036,Q,1980,H,,3,20,22,7,CST,4.869999885559082,B,Maximum
05HD036,Q,1981,H,,2,18,2,15,CST,7.320000171661377,B,Maximum
05HD036,Q,1982,H,,4,13,20,33,CST,45.29999923706055,B,Maximum
05HD036,Q,1983,H,,3,31,18,59,CST,20.399999618530277,,Maximum
05HD036,Q,1984,H,,3,25,8,20,CST,2.5299999713897705,B,Maximum
05HD036,Q,1985,H,,4,3,22,2,CST,22.0,B,Maximum
05HD036,Q,1986,H,,2,28,1,45,CST,31.899999618530277,B,Maximum
05HD036,Q,1987,H,,7,29,15,34,CST,23.799999237060547,,Maximum
05HD036,Q,1988,H,,6,29,22,49,CST,4.670000076293945,,Maximum
05HD036,Q,1989,H,,3,10,20,49,CST,12.699999809265137,B,Maximum
05HD036,Q,1990,H,,3,8,0,11,CST,5.829999923706055,B,Maximum
05HD036,Q,1991,H,,6,30,15,6,CST,35.29999923706055,,Maximum
05HD036,Q,1992,H,,3,4,2,23,CST,2.720000028610229,B,Maximum
05HD036,Q,1993,H,,3,25,1,46,CST,22.299999237060547,,Maximum
05HD036,Q,1994,H,,3,3,21,2,CST,36.09999847412109,B,Maximum
05HD036,Q,1995,H,,6,20,8,0,CST,6.320000171661377,,Maximum
05HD036,Q,1996,H,,3,14,19,30,CST,38.5,B,Maximum
05HD036,Q,1997,H,,3,22,17,0,CST,66.30000305175781,B,Maximum
05HD036,Q,1998,H,,8,4,12,0,CST,6.579999923706055,,Maximum
05HD036,Q,1999,H,,3,18,4,30,CST,24.100000381469727,B,Maximum
05HD036,Q,1999,L,,8,28,13,15,CST,0.004000000189989805, ,Minimum
05HD036,Q,2000,H,,7,2,8,30,CST,15.800000190734863, ,Maximum
05HD036,Q,2000,L,,8,8,4,30,CST,0.0, ,Minimum
05HD036,Q,2001,H,,3,16,15,30,CST,3.900000095367432,B,Maximum
05HD036,Q,2001,L,,7,25,19,0,CST,0.0, ,Minimum
05HD036,Q,2002,H,,4,14,20,30,CST,25.100000381469727,B,Maximum
05HD036,Q,2002,L,,1,4,14,30,CST,0.02500000037252903,B,Minimum
05HD036,Q,2003,H,,3,16,23,59,CST,35.5,B,Maximum
05HD036,Q,2003,L,,7,26,18,30,CST,0.0, ,Minimum
05HD036,Q,2004,H,,3,26,3,15,CST,17.399999618530273,B,Maximum
05HD036,Q,2004,L,,7,30,6,0,CST,0.0949999988079071, ,Minimum
05HD036,Q,2005,H,,3,30,13,15,CST,8.649999618530273,B,Maximum
05HD036,Q,2005,L,,1,15,11,0,CST,0.012000000104308128,B,Minimum
05HD036,Q,2006,H,,4,1,21,0,CST,18.100000381469727,B,Maximum
05HD036,Q,2006,L,,9,16,0,0,CST,0.0010000000474974513, ,Minimum
05HD036,Q,2007,H,,3,14,4,0,CST,34.5,B,Maximum
05HD036,Q,2007,L,,8,8,12,31,CST,0.0020000000949949026, ,Minimum
05HD036,Q,2008,H,,6,13,20,55,CST,16.299999237060547, ,Maximum
05HD036,Q,2008,L,,8,25,6,40,CST,0.004999999888241291, ,Minimum
05HD036,Q,2009,H,,4,12,22,33,CST,7.579999923706055,B,Maximum
05HD036,Q,2009,L,,9,27,0,18,CST,0.024000000208616257, ,Minimum
05HD036,Q,2010,H,,6,17,10,13,CST,50.5, ,Maximum
05HD036,Q,2010,L,,1,15,9,33,CST,0.13500000536441803,B,Minimum
05HD036,Q,2011,H,,4,27,1,33,CST,46.400001525878906, ,Maximum
05HD036,Q,2011,L,,8,30,21,3,CST,0.17599999904632568, ,Minimum
05HD036,Q,2012,H,,3,13,21,48,CST,9.779999732971191, ,Maximum
05HD036,Q,2012,L,,9,8,20,53,CST,0.03500000014901161, ,Minimum
05HD036,Q,2013,H,,3,30,23,10,CST,31.899999618530277,B,Maximum
05HD036,Q,2013,L,,9,5,23,50,CST,0.22100000083446503,,Minimum
05HD036,Q,2014,H,,3,10,17,50,CST,34.79999923706055,B,Maximum
05HD036,Q,2014,L,,2,20,11,20,CST,0.1340000033378601,B,Minimum
05HD036,Q,2015,H,,3,12,5,5,CST,27.299999237060547,B,Maximum
05HD036,Q,2017,H,,3,18,7,20,CST,53.79999923706055,B,Maximum
05HD036,Q,2017,L,,9,3,15,20,CST,0.07000000029802322,,Minimum
05HD036,Q,2018,H,,4,21,21,15,CST,35.20000076293945,,Maximum
05HD036,Q,2018,L,,8,14,14,5,CST,0.057999998331069946,,Minimum
05HD036,Q,2019,H,,3,22,22,5,CST,32.5,B,Maximum
05HD036,Q,2019,L,,8,6,11,5,CST,0.08799999952316284, ,Minimum
05HD036,Q,2020,L,,9,2,10,45,CST,0.024000000208616257, ,Minimum
05HD036,Q,2021,H,,3,7,0,20,CST,15.100000381469728, ,Maximum
05HD036,Q,2022,L,,8,21,8,45,CST,0.057999998331069946, ,Minimum
05HD036,Q,2023,H,,4,12,23,30,CST,62.900001525878906, ,Maximum
05HD036,Q,2023,L,,8,21,2,40,CST,0.04899999871850014, ,Minimum
