date,STATION_NUMBER,water_level_m,quality_symbol
2011-03-01,05JA005,,
2011-04-01,05JA005,7.118000030517578,A
2011-05-01,05JA005,6.908999919891357,
2011-06-01,05JA005,7.467000007629394,
2011-07-01,05JA005,6.205999851226807,
2011-08-01,05JA005,5.84499979019165,
2011-09-01,05JA005,5.744999885559082,
2011-10-01,05JA005,5.658999919891357,
2012-03-01,05JA005,5.690999984741211,
2012-04-01,05JA005,5.788000106811523,
2012-05-01,05JA005,6.072999954223633,
2012-06-01,05JA005,6.736000061035156,
2012-07-01,05JA005,5.751999855041504,
2012-08-01,05JA005,5.644000053405762,
2012-09-01,05JA005,5.5960001945495605,
2012-10-01,05JA005,5.572999954223633,
2013-04-01,05JA005,,
2013-05-01,05JA005,6.745999813079834,
2013-06-01,05JA005,6.770999908447266,
2013-08-01,05JA005,,
2013-09-01,05JA005,5.73199987411499,A
2013-10-01,05JA005,5.998000144958496,A
2014-03-01,05JA005,,
2014-04-01,05JA005,6.0320000648498535,
2014-05-01,05JA005,6.10099983215332,
2014-06-01,05JA005,5.752999782562256,
2014-07-01,05JA005,6.0960001945495605,
2014-08-01,05JA005,5.662000179290772,
2014-09-01,05JA005,5.908999919891357,
2014-10-01,05JA005,5.714000225067139,
2015-03-01,05JA005,,
2015-04-01,05JA005,,
2015-05-01,05JA005,6.004000186920166,
2015-06-01,05JA005,5.669000148773193,
2015-07-01,05JA005,5.664000034332275,
2015-08-01,05JA005,6.651999950408936,
2015-09-01,05JA005,5.7210001945495605,
2015-10-01,05JA005,5.652999877929688,
2016-03-01,05JA005,,
2016-04-01,05JA005,5.688000202178955,
2016-05-01,05JA005,5.710999965667725,
2016-06-01,05JA005,6.376999855041504,
2016-07-01,05JA005,5.953000068664551,
2016-08-01,05JA005,5.9679999351501465,
2016-09-01,05JA005,,
2016-10-01,05JA005,5.671000003814697,
2017-02-01,05JA005,,
2017-03-01,05JA005,6.613999843597412,
2017-04-01,05JA005,6.091000080108643,
2017-05-01,05JA005,5.913000106811523,
2017-06-01,05JA005,5.682000160217285,
2017-07-01,05JA005,5.65500020980835,
2017-08-01,05JA005,5.581999778747559,
2017-09-01,05JA005,5.561999797821045,
2017-10-01,05JA005,5.5929999351501465,
2017-11-01,05JA005,5.633999824523926,
2018-03-01,05JA005,5.835999965667725,A
2018-04-01,05JA005,6.568999767303467,
2018-05-01,05JA005,6.015999794006348,
2018-06-01,05JA005,,
2018-07-01,05JA005,5.73799991607666,
2018-08-01,05JA005,5.640999794006348,
2018-09-01,05JA005,5.638000011444092,
2018-10-01,05JA005,5.64900016784668,
2019-03-01,05JA005,,
2019-04-01,05JA005,6.636000156402588,
2019-05-01,05JA005,5.894999980926514,
2019-06-01,05JA005,5.732999801635742,
2019-07-01,05JA005,6.052999973297119,
2019-08-01,05JA005,5.855999946594238,
2019-09-01,05JA005,5.888000011444092,
2019-10-01,05JA005,5.77899980545044,
2019-11-01,05JA005,5.790999889373779,
2020-02-01,05JA005,,
2020-03-01,05JA005,6.111999988555908,
2020-04-01,05JA005,8.717000007629395,
2020-05-01,05JA005,5.939000129699707,
2020-06-01,05JA005,5.748000144958496,A
2020-07-01,05JA005,5.678999900817871,
2020-08-01,05JA005,5.623000144958496,
2020-09-01,05JA005,5.598999977111816,
2020-10-01,05JA005,5.61299991607666,
2020-11-01,05JA005,5.85699987411499,
2020-12-01,05JA005,5.860000133514404,
2021-01-01,05JA005,5.828000068664551,
2021-02-01,05JA005,5.736000061035156,
2021-03-01,05JA005,5.959000110626221,
2021-04-01,05JA005,5.705999851226807,
2021-05-01,05JA005,5.796999931335449,
2021-06-01,05JA005,5.894999980926514,
2021-07-01,05JA005,5.553999900817871,
2021-08-01,05JA005,5.572000026702881,
2021-09-01,05JA005,5.584000110626221,A
2021-10-01,05JA005,5.572000026702881,
2021-11-01,05JA005,5.574999809265137,
2021-12-01,05JA005,5.5980000495910645,
