Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05JA006,AdjustableTrim,HG,2024-01-28T23:05:00,2024-02-07T10:00:00,2024-02-12T17:15:50,-6,Removed Spikes,"UpperThresholdPoints:(Time:2024-01-28T23:05:00Z,Value:6.240545811796916);(Time:2024-01-30T08:37:48.794Z,Value:6.251598762704445);(Time:2024-02-07T10:00:00Z,Value:6.25230053736524),TrimAction:Delete",Normal
05JA006,SinglePoint,QR,2024-01-01T05:59:59,2024-01-01T05:59:59,2024-01-25T16:58:35,-6,Zero flow.,Value:0,Normal
05JA006,AdjustableTrim,HG,2023-12-22T03:25:00,2023-12-23T03:15:00,2024-01-02T17:50:41,-6,Removed Spike,"UpperThresholdPoints:(Time:2023-12-22T03:25:00Z,Value:24525.718856756957);(Time:2023-12-23T03:15:00Z,Value:24525.718856756957),TrimAction:Delete",Normal
05JA006,DeleteRegion,HG,2023-11-16T13:20:00,2023-12-08T05:20:00,2024-01-12T17:19:53,-6,"Invalid Spike - No connection, temps dropping.",,Normal
05JA006,FillGaps,QR,2023-09-22T20:00:00,2024-01-01T05:59:59,2024-01-25T16:59:23,-6,Zero flow. Channel dry.,"ResamplePeriod:PT2H,GapLimit:MaxDuration",Normal
05JA006,SinglePoint,QR,2023-09-22T20:00:00,2023-09-22T20:00:00,2024-01-12T18:10:47,-6,Zero flow.,Value:0,Normal
05JA006,FillGaps,QR,2023-09-12T20:00:00,2023-09-22T20:00:00,2024-01-12T18:11:07,-6,Zero flow.,"ResamplePeriod:PT2H,GapLimit:MaxDuration",Normal
05JA006,SinglePoint,QR,2023-09-12T20:00:00,2023-09-12T20:00:00,2024-01-12T18:09:08,-6,Zero flow - site visit.,Value:0,Normal
05JA006,FillGaps,QR,2023-08-03T21:30:00,2023-09-12T20:00:00,2024-01-12T18:10:14,-6,Zero flow.,"ResamplePeriod:PT2H,GapLimit:MaxDuration",Normal
05JA006,FillGaps,QR,2023-07-27T22:15:00,2023-07-30T08:40:00,2024-01-12T18:06:33,-6,Zero flow.,"ResamplePeriod:PT2H,GapLimit:MaxDuration",Normal
