Station ID/Identification de la station,Correction Type/Type de correction,Data Type/Type de données,Start Time (UTC)/Heure de début (TUC),End Time (UTC)/Heure de fin (TUC),Applied Time (UTC)/Temps appliqué (TUC),Timezone Offset/Décalage Horaire,Comment/Commentaire,Settings/Paramètre,Parameters Processing Order/Ordre d'application des paramètres
05JF011,DeleteRegion,HG,2023-09-10T16:15:00,2024-01-01T05:59:59,2024-01-11T15:09:10,-6,INTAKE OUT OF WATER,,Normal
05JF011,CopyPaste,QR,2023-09-10T16:10:00,2024-01-01T06:00:00,2024-01-11T17:43:37,-6,ZERO FLOW CONFIRMEDOverride: Linear‌Q(t) = (0)t + 0‌,,Normal
05JF011,DeleteRegion,HG,2023-05-11T20:30:00,2023-05-11T20:30:00,2023-05-11T22:05:27,-6,Flushing well,,Normal
05JF011,CopyPaste,HG,2023-05-05T07:05:00,2023-05-05T09:10:00,2024-01-11T16:28:11,-6,"TELEM GAP FILLED WITH LOGGER DATAOverride: Copy & Paste‌Source Data Set: Stage.Logger@05JF011, time shift: 00:00 minutes.‌",,PreProcessing
05JF011,Drift,HG,2023-05-04T20:05:00,2023-05-11T19:50:00,2023-05-04T23:32:13,-6,SRC MAY 5 TO May 11 ,"DriftPoints:(Offset:0.008,Time:2023-05-04T20:05:00Z);(Offset:0,Time:2023-05-11T19:50:00Z)",Normal
05JF011,Drift,HG,2023-04-25T22:40:00,2023-05-04T20:00:00,2023-05-04T23:30:58,-6,SRC APRIL 25 TO MAY 4,"DriftPoints:(Offset:0,Time:2023-04-25T22:40:00Z);(Offset:0.008,Time:2023-05-04T20:00:00Z)",Normal
05JF011,Offset,HG,2023-04-10T02:50:00,2023-09-10T16:10:00,2024-01-11T16:05:06,-6,GC FOR 2023,Offset:-0.009,Normal
05JF011,DeleteRegion,HG,2023-03-28T13:10:00,2023-04-10T02:45:00,2023-04-12T16:28:22,-6,Invalid,,Normal
05JF011,DeleteRegion,HG,2023-03-23T18:14:00,2023-03-28T13:05:00,2023-03-28T13:29:46,-6,Invalid - frozen,,Normal
05JF011,AdjustableTrim,HG,2023-02-12T15:24:00,2023-12-12T08:44:00,2023-02-20T15:06:50,-6,,"UpperThresholdPoints:(Time:2023-02-12T15:24:00Z,Value:94782.43303078478);(Time:2023-12-12T08:44:00Z,Value:94782.43303078478),TrimAction:Delete",Normal
05JF011,DeleteRegion,HG,2023-01-01T06:00:00,2023-03-23T18:09:00,2023-03-23T18:46:21,-6,Invalid - Frozen,,Normal
05JF011,CopyPaste,QR,2023-01-01T06:00:00,2023-04-10T02:50:00,2023-10-06T21:46:49,-6,FILLING ZERO FLOW Override: Linear‌Q(t) = (0)t + 0‌,,Normal
05JF011,SinglePoint,QR,2023-01-01T05:59:59,2023-01-01T05:59:59,2023-10-06T21:28:37,-6,,Value:0,Normal
05JF011,DeleteRegion,HG,2022-08-27T18:14:00,2022-08-27T18:14:00,2022-10-03T18:20:35,-6,"DELETE SPIKE, ",,Normal
05JF011,DeleteRegion,HG,2022-08-26T15:09:00,2023-01-01T05:59:00,2023-10-05T15:36:47,-6,INVALID WATER LEVEL. ,,Normal
05JF011,DeleteRegion,HG,2022-08-04T20:09:00,2022-08-26T15:04:00,2023-10-06T19:47:04,-6,INTAKE OUT OF WATER,,Normal
05JF011,CopyPaste,QR,2022-08-04T20:04:00,2023-01-01T05:59:59,2023-10-05T21:20:18,-6,FILLING ZERO FLOW Override: Linear‌Q(t) = (0)t + 0‌,,Normal
05JF011,DeleteRegion,HG,2022-07-29T07:19:00,2022-07-29T07:19:00,2022-10-03T18:21:05,-6,"DELETE SPIKE, ",,Normal
05JF011,DeleteRegion,HG,2022-07-04T19:44:00,2022-07-04T19:49:00,2022-07-05T13:35:09,-6,DELETE SPIKE,,Normal
05JF011,Offset,HG,2022-07-01T09:24:00,2022-07-04T19:39:00,2023-10-05T17:50:23,-6,SRC FOR SENSOR JUMP ,Offset:0.052,Normal
05JF011,DeleteRegion,HG,2022-07-01T09:19:00,2022-07-01T09:19:00,2022-07-04T14:52:00,-6,DELETE SPIKE,,Normal
05JF011,AdjustableTrim,HG,2022-06-16T16:49:00,2022-06-17T02:49:00,2022-06-20T00:41:35,-6,DELETE SPIKE,"UpperThresholdPoints:(Time:2022-06-16T16:49:00Z,Value:1.9520192178879312);(Time:2022-06-17T02:49:00Z,Value:1.9520192178879312),TrimAction:Delete",Normal
05JF011,Offset,HG,2022-06-01T19:19:00,2022-07-01T08:09:00,2023-10-05T17:48:32,-6,SRC JUNE 01 TO SENSOR JUMP,Offset:-0.012,Normal
05JF011,Drift,HG,2022-05-06T16:24:00,2022-09-29T19:00:00,2022-10-06T21:22:14,-6,"GC AS FOUND, ","DriftPoints:(Offset:-0.011,Time:2022-05-06T16:24:00Z);(Offset:-0.008,Time:2022-09-29T19:00:00Z)",Normal
05JF011,Drift,HG,2022-04-22T18:49:00,2022-05-06T16:19:00,2022-04-22T19:39:21,-6,SRC APRIL 22 TO MAY 06 ,"DriftPoints:(Offset:-0.009,Time:2022-04-22T18:49:00Z);(Offset:-0.01,Time:2022-05-06T16:19:00Z)",Normal
05JF011,Drift,HG,2022-04-05T18:24:00,2022-04-22T18:45:00,2022-04-05T19:34:43,-6,SRC APR 05 TO APR 22 ,"DriftPoints:(Offset:-0.007,Time:2022-04-05T18:24:00Z);(Offset:-0.009,Time:2022-04-22T18:45:00Z)",Normal
05JF011,Drift,HG,2022-04-01T15:34:00,2022-04-05T18:19:00,2023-10-05T17:43:20,-6,SRC APR 01 TO APR 05,"DriftPoints:(Offset:-0.014,Time:2022-04-01T15:34:00Z);(Offset:-0.007,Time:2022-04-05T18:19:00Z)",Normal
05JF011,Drift,HG,2022-03-24T18:49:00,2022-04-01T15:29:00,2023-10-05T17:35:30,-6,SRC MAR 24 TO APR 01 ,"DriftPoints:(Offset:-0.008,Time:2022-03-24T18:49:00Z);(Offset:-0.014,Time:2022-04-01T15:29:00Z)",Normal
05JF011,Drift,HG,2022-03-23T18:14:00,2022-03-24T18:44:00,2023-10-05T17:34:36,-6,SRC MAR 23 TO MAR 24,"DriftPoints:(Offset:0,Time:2022-03-23T18:14:00Z);(Offset:-0.008,Time:2022-03-24T18:44:00Z)",Normal
05JF011,Drift,HG,2022-03-23T17:04:00,2022-03-23T18:09:00,2022-10-06T22:26:02,-6,SRC DURING VISIT,"DriftPoints:(Offset:-0.005,Time:2022-03-23T17:04:00Z);(Offset:0,Time:2022-03-23T18:09:00Z)",Normal
05JF011,Drift,HG,2022-03-21T17:59:00,2022-03-23T17:00:00,2022-03-24T15:07:02,-6,SRC MAR 21 TO MAR 23,"DriftPoints:(Offset:-0.005,Time:2022-03-21T17:59:00Z);(Offset:-0.006,Time:2022-03-23T17:00:00Z)",Normal
05JF011,Offset,HG,2022-01-01T06:04:00,2022-03-21T17:55:00,2022-03-21T19:03:13,-6,SRC BROUGHT BACK TO START OF PRELIMINARY - VALID DATA. ,Offset:-0.005,Normal
05JF011,CopyPaste,QR,2022-01-01T06:00:00,2022-03-19T11:59:00,2023-10-06T21:35:34,-6,Override: Linear‌Q(t) = (0)t + 0‌,,Normal
05JF011,DeleteRegion,HG,2022-01-01T06:00:00,2022-03-19T11:54:00,2023-10-06T19:44:48,-6,INVALID WATER LEVEL ,,Normal
05JF011,Drift,HG,2022-01-01T06:00:00,2022-05-06T16:20:00,2023-09-22T22:23:09,-6,GC AS INTERPOLATED AT YEAR START AS FOUND ON MAY 26. ,"DriftPoints:(Offset:-0.007,Time:2022-01-01T06:00:00Z);(Offset:-0.011,Time:2022-05-06T16:20:00Z)",Normal
05JF011,CopyPaste,QR,2021-08-28T00:14:00,2022-01-01T06:04:00,2022-01-11T21:58:36,-6,"FILLING ZERO FLOW, Override: Linear‌Q(t) = (0)t + 0‌",,Normal
05JF011,FillGaps,QR,2021-08-28T00:14:00,2021-11-25T11:09:00,2021-12-02T22:03:12,-6,"Filling zero flow, ","ResamplePeriod:PT2H,GapLimit:MaxDuration",Normal
05JF011,Drift,HG,2021-06-05T15:44:00,2021-06-07T04:34:00,2021-11-29T18:38:26,-6,"SRC ESTIMATED, Float suspected to be caught on intake then dropped once no longer partially held up by water surface, same approx. stage as May 26 observation of this happening (0.435m).","DriftPoints:(Offset:0,Time:2021-06-05T15:44:00Z);(Offset:-0.008,Time:2021-06-07T04:34:00Z)",Normal
05JF011,DeleteRegion,HG,2021-06-05T02:09:00,2021-06-05T02:09:00,2021-06-07T14:51:02,-6,"REMOVING SPIKE, ",,Normal
05JF011,Offset,HG,2021-05-26T17:59:00,2021-05-26T18:04:00,2021-05-31T16:42:04,-6,"SRC AS FOUND, ADJUSTED FLOAT ON SITE PRIOR TO RESET, ",Offset:-0.467,Normal
05JF011,Drift,HG,2021-05-21T01:24:00,2021-05-26T17:54:00,2021-12-02T20:29:59,-6,"SRC as found May 26, estimated May 20 based on trace. ","DriftPoints:(Offset:-0.47,Time:2021-05-21T01:24:00Z);(Offset:-0.476,Time:2021-05-26T17:54:00Z)",Normal
05JF011,DeleteRegion,HG,2021-05-21T01:14:00,2021-05-21T01:14:00,2021-05-25T22:20:35,-6,"REMOVING SPIKE, ",,Normal
05JF011,DeleteRegion,HG,2021-05-21T00:09:00,2021-05-21T01:19:00,2021-12-02T20:07:19,-6,"Removing spike, ",,Normal
